Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",735373,"(+/- 2819 )",690107,"(+/- 6886 )",742147,"(+/- 5538 )",708532,"(+/- 6011 )",773212,"(+/- 216 )",723686,"(+/- 10486 )",666820,"(+/- 12561 )"
People,"Sex and Age",Male,357370,"(+/- 2904 )",334099,"(+/- 4853 )",360827,"(+/- 4088 )",346474,"(+/- 4342 )",380381,"(+/- 2230 )",349840,"(+/- 6082 )",316905,"(+/- 7998 )"
People,"Sex and Age",Female,378003,"(+/- 2306 )",356008,"(+/- 4167 )",381320,"(+/- 4459 )",362058,"(+/- 4429 )",392831,"(+/- 2230 )",373846,"(+/- 5956 )",349915,"(+/- 7084 )"
People,"Sex and Age","Under 5 years",42030,"(+/- 1466 )",39451,"(+/- 2376 )",42777,"(+/- 2736 )",44906,"(+/- 2394 )",40247,"(+/- 974 )",42352,"(+/- 2780 )",38328,"(+/- 3014 )"
People,"Sex and Age","5 to 9 years",44412,"(+/- 2440 )",39684,"(+/- 2970 )",42360,"(+/- 3425 )",43994,"(+/- 3097 )",42227,"(+/- 3429 )",43244,"(+/- 2960 )",42619,"(+/- 3983 )"
People,"Sex and Age","10 to 14 years",50144,"(+/- 2925 )",50596,"(+/- 3085 )",47378,"(+/- 4246 )",45578,"(+/- 3501 )",54546,"(+/- 3590 )",47805,"(+/- 3117 )",41683,"(+/- 4012 )"
People,"Sex and Age","15 to 19 years",45928,"(+/- 1964 )",46925,"(+/- 3134 )",54495,"(+/- 3894 )",44095,"(+/- 2535 )",49441,"(+/- 2859 )",47641,"(+/- 2634 )",49822,"(+/- 3686 )"
People,"Sex and Age","20 to 24 years",42451,"(+/- 2345 )",42552,"(+/- 2358 )",54802,"(+/- 2582 )",41289,"(+/- 2574 )",48888,"(+/- 2181 )",40842,"(+/- 2369 )",53137,"(+/- 2844 )"
People,"Sex and Age","25 to 34 years",90591,"(+/- 2464 )",86102,"(+/- 3426 )",89957,"(+/- 3703 )",82476,"(+/- 3698 )",98500,"(+/- 3124 )",93777,"(+/- 4223 )",92180,"(+/- 5066 )"
People,"Sex and Age","35 to 44 years",90870,"(+/- 2218 )",90417,"(+/- 3271 )",93028,"(+/- 4042 )",86312,"(+/- 3511 )",102754,"(+/- 2822 )",92107,"(+/- 2508 )",82152,"(+/- 3995 )"
People,"Sex and Age","45 to 54 years",88605,"(+/- 2049 )",83722,"(+/- 2873 )",92496,"(+/- 3431 )",90462,"(+/- 2702 )",96571,"(+/- 2079 )",96727,"(+/- 3350 )",69787,"(+/- 3844 )"
People,"Sex and Age","55 to 59 years",51561,"(+/- 3579 )",42213,"(+/- 2244 )",47797,"(+/- 3720 )",49596,"(+/- 2931 )",53927,"(+/- 3665 )",48103,"(+/- 4131 )",40395,"(+/- 3216 )"
People,"Sex and Age","60 to 64 years",50535,"(+/- 3297 )",47452,"(+/- 2697 )",50133,"(+/- 3013 )",48229,"(+/- 3102 )",54360,"(+/- 3579 )",46487,"(+/- 3369 )",45018,"(+/- 3138 )"
People,"Sex and Age","65 to 74 years",84492,"(+/- 1922 )",72117,"(+/- 1514 )",78659,"(+/- 1840 )",80044,"(+/- 2096 )",78856,"(+/- 1647 )",74112,"(+/- 2063 )",71943,"(+/- 2728 )"
People,"Sex and Age","75 to 84 years",41357,"(+/- 2370 )",36054,"(+/- 1808 )",39929,"(+/- 2055 )",39679,"(+/- 2253 )",39612,"(+/- 2144 )",37977,"(+/- 2175 )",29222,"(+/- 2217 )"
People,"Sex and Age","85 years and over",12397,"(+/- 1951 )",12822,"(+/- 1547 )",8336,"(+/- 1332 )",11872,"(+/- 1602 )",13283,"(+/- 1903 )",12512,"(+/- 1434 )",10534,"(+/- 1692 )"
People,"Sex and Age","Median age (years)",41.1,"(+/- 0.6 )",39.2,"(+/- 0.6 )",39.4,"(+/- 0.5 )",40.7,"(+/- 0.5 )",40.3,"(+/- 0.5 )",40.1,"(+/- 0.6 )",37.3,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",571301,"(+/- 2715 )",532285,"(+/- 5017 )",582381,"(+/- 4133 )",547217,"(+/- 4746 )",605611,"(+/- 744 )",560551,"(+/- 7380 )",520589,"(+/- 9450 )"
People,"Sex and Age","65 years and over",138246,"(+/- 2065 )",120993,"(+/- 1903 )",126924,"(+/- 1925 )",131595,"(+/- 2392 )",131751,"(+/- 1306 )",124601,"(+/- 2823 )",111699,"(+/- 3166 )"
People,Race,"Total population",735373,"(+/- 2819 )",690107,"(+/- 6886 )",742147,"(+/- 5538 )",708532,"(+/- 6011 )",773212,"(+/- 216 )",723686,"(+/- 10486 )",666820,"(+/- 12561 )"
People,Race,"One race",706290,"(+/- 5280 )",656282,"(+/- 8636 )",707645,"(+/- 8239 )",674673,"(+/- 7556 )",713953,"(+/- 6347 )",686362,"(+/- 12079 )",644061,"(+/- 13278 )"
People,Race,White,478295,"(+/- 3790 )",417989,"(+/- 4415 )",493160,"(+/- 3539 )",588935,"(+/- 6293 )",555575,"(+/- 3339 )",546977,"(+/- 6786 )",200950,"(+/- 8071 )"
People,Race,"Black or African American",198155,"(+/- 3496 )",217357,"(+/- 7522 )",188527,"(+/- 7277 )",46052,"(+/- 3582 )",126648,"(+/- 4679 )",107812,"(+/- 9146 )",420555,"(+/- 11517 )"
People,Race,"American Indian and Alaska Native",5118,"(+/- 1295 )",1921,"(+/- 630 )",1956,"(+/- 1193 )",7144,"(+/- 3395 )",4752,"(+/- 1339 )",3122,"(+/- 1590 )",817,"(+/- 495 )"
People,Race,Asian,11190,"(+/- 1219 )",7730,"(+/- 1917 )",15125,"(+/- 1240 )",4857,"(+/- 1332 )",10407,"(+/- 1867 )",13347,"(+/- 1907 )",6157,"(+/- 2355 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 216 )",152,"(+/- 144 )",0,"(+/- 216 )",43,"(+/- 66 )",1132,"(+/- 860 )",166,"(+/- 192 )",168,"(+/- 224 )"
People,Race,"Some other race",13532,"(+/- 3426 )",11133,"(+/- 2581 )",8877,"(+/- 2195 )",27642,"(+/- 4863 )",15439,"(+/- 3774 )",14938,"(+/- 3165 )",15414,"(+/- 3848 )"
People,Race,"Two or more races",29083,"(+/- 4557 )",33825,"(+/- 4772 )",34502,"(+/- 5727 )",33859,"(+/- 4314 )",59259,"(+/- 6347 )",37324,"(+/- 5375 )",22759,"(+/- 4885 )"
People,"Hispanic or Latino and Race","Total population",735373,"(+/- 2819 )",690107,"(+/- 6886 )",742147,"(+/- 5538 )",708532,"(+/- 6011 )",773212,"(+/- 216 )",723686,"(+/- 10486 )",666820,"(+/- 12561 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",25555,"(+/- 776 )",29693,"(+/- 1505 )",23532,"(+/- 1294 )",51832,"(+/- 1478 )",44311,"(+/- 5 )",34293,"(+/- 2881 )",28218,"(+/- 3327 )"
People,"Hispanic or Latino and Race",Mexican,14199,"(+/- 2701 )",18292,"(+/- 2474 )",12089,"(+/- 1975 )",36574,"(+/- 3166 )",22872,"(+/- 3754 )",21769,"(+/- 3318 )",19317,"(+/- 3762 )"
People,"Hispanic or Latino and Race","Puerto Rican",3213,"(+/- 1448 )",4441,"(+/- 1768 )",4139,"(+/- 1912 )",2101,"(+/- 1023 )",5916,"(+/- 2191 )",1293,"(+/- 741 )",818,"(+/- 759 )"
People,"Hispanic or Latino and Race",Cuban,1480,"(+/- 884 )",479,"(+/- 278 )",766,"(+/- 1040 )",1322,"(+/- 871 )",1481,"(+/- 973 )",1180,"(+/- 865 )",1024,"(+/- 821 )"
