Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",732673,(*****)
People,"Sex and Age",Male,383121,"(+/- 2429 )"
People,"Sex and Age",Female,349552,"(+/- 2429 )"
People,"Sex and Age","Under 5 years",46198,"(+/- 1366 )"
People,"Sex and Age","5 to 9 years",52071,"(+/- 3487 )"
People,"Sex and Age","10 to 14 years",52507,"(+/- 3189 )"
People,"Sex and Age","15 to 19 years",50263,"(+/- 2913 )"
People,"Sex and Age","20 to 24 years",45855,"(+/- 1975 )"
People,"Sex and Age","25 to 34 years",112341,"(+/- 3017 )"
People,"Sex and Age","35 to 44 years",102955,"(+/- 2525 )"
People,"Sex and Age","45 to 54 years",82460,"(+/- 2305 )"
People,"Sex and Age","55 to 59 years",42971,"(+/- 3000 )"
People,"Sex and Age","60 to 64 years",46642,"(+/- 2853 )"
People,"Sex and Age","65 to 74 years",67291,"(+/- 1557 )"
People,"Sex and Age","75 to 84 years",24410,"(+/- 1317 )"
People,"Sex and Age","85 years and over",6709,"(+/- 1144 )"
People,"Sex and Age","Median age (years)",35.6,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",553272,"(+/- 699 )"
People,"Sex and Age","65 years and over",98410,"(+/- 1439 )"
People,Race,"Total population",732673,(*****)
People,Race,"One race",635040,"(+/- 6708 )"
People,Race,White,435004,"(+/- 3285 )"
People,Race,"Black or African American",22003,"(+/- 2422 )"
People,Race,"American Indian and Alaska Native",100397,"(+/- 4471 )"
People,Race,Asian,47347,"(+/- 2536 )"
People,Race,"Native Hawaiian and Other Pacific Islander",11171,"(+/- 1369 )"
People,Race,"Some other race",19118,"(+/- 3239 )"
People,Race,"Two or more races",97633,"(+/- 6708 )"
People,"Hispanic or Latino and Race","Total population",732673,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",52291,"(+/- 569 )"
People,"Hispanic or Latino and Race",Mexican,22299,"(+/- 2408 )"
People,"Hispanic or Latino and Race","Puerto Rican",8653,"(+/- 2571 )"
People,"Hispanic or Latino and Race",Cuban,3182,"(+/- 1505 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",18157,"(+/- 2652 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",680382,"(+/- 569 )"
People,"Place of Birth","Total population",732673,(*****)
People,"Place of Birth",Native,673612,"(+/- 4446 )"
People,"Place of Birth","Born in United States",657364,"(+/- 5077 )"
People,"Place of Birth","State of residence",320477,"(+/- 7001 )"
People,"Place of Birth","Different state",336887,"(+/- 6574 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",16248,"(+/- 2577 )"
People,"Place of Birth","Foreign born",59061,"(+/- 4446 )"
People,Ancestry,"Total population",732673,(*****)
People,Ancestry,American,23056,"(+/- 3298 )"
People,Ancestry,Arab,2073,"(+/- 2216 )"
People,Ancestry,Czech,4589,"(+/- 1706 )"
People,Ancestry,Danish,4776,"(+/- 1358 )"
People,Ancestry,Dutch,10656,"(+/- 2577 )"
People,Ancestry,English,74547,"(+/- 5606 )"
People,Ancestry,"French (except Basque)",15296,"(+/- 2631 )"
People,Ancestry,"French Canadian",4310,"(+/- 1626 )"
People,Ancestry,German,104401,"(+/- 6583 )"
People,Ancestry,Greek,2316,"(+/- 972 )"
People,Ancestry,Hungarian,2683,"(+/- 1427 )"
People,Ancestry,Irish,68415,"(+/- 5445 )"
People,Ancestry,Italian,18539,"(+/- 3167 )"
People,Ancestry,Lithuanian,1074,"(+/- 710 )"
People,Ancestry,Norwegian,19387,"(+/- 2410 )"
People,Ancestry,Polish,14428,"(+/- 2241 )"
People,Ancestry,Portuguese,1489,"(+/- 777 )"
People,Ancestry,Russian,6697,"(+/- 1795 )"
People,Ancestry,Scotch-Irish,6725,"(+/- 1544 )"
People,Ancestry,Scottish,15924,"(+/- 2460 )"
People,Ancestry,Slovak,301,"(+/- 359 )"
People,Ancestry,"Subsaharan African",3335,"(+/- 1731 )"
People,Ancestry,Swedish,13956,"(+/- 2225 )"
People,Ancestry,Swiss,3182,"(+/- 1783 )"
People,Ancestry,Ukrainian,2419,"(+/- 994 )"
People,Ancestry,Welsh,3636,"(+/- 1136 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",2854,"(+/- 1780 )"
People,"Veteran Status","Civilian population 18 years and over",528863,"(+/- 2236 )"
People,"Veteran Status","Civilian veterans",58431,"(+/- 3546 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",702154,"(+/- 2286 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",92390,"(+/- 4793 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",179031,"(+/- 700 )"
