Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",714143,"(+/- 3986 )",771880,"(+/- 2385 )",851053,"(+/- 4247 )",688815,"(+/- 4620 )"
People,"Sex and Age",Male,354379,"(+/- 3016 )",375777,"(+/- 2439 )",422834,"(+/- 2753 )",340691,"(+/- 4234 )"
People,"Sex and Age",Female,359764,"(+/- 2976 )",396103,"(+/- 2221 )",428219,"(+/- 3518 )",348124,"(+/- 3887 )"
People,"Sex and Age","Under 5 years",42896,"(+/- 1642 )",45067,"(+/- 1146 )",52749,"(+/- 1498 )",39212,"(+/- 2076 )"
People,"Sex and Age","5 to 9 years",44183,"(+/- 3088 )",52657,"(+/- 3028 )",60537,"(+/- 3049 )",38899,"(+/- 2826 )"
People,"Sex and Age","10 to 14 years",49904,"(+/- 2998 )",48891,"(+/- 2953 )",56217,"(+/- 2839 )",49473,"(+/- 2959 )"
People,"Sex and Age","15 to 19 years",48870,"(+/- 2644 )",48930,"(+/- 1844 )",59148,"(+/- 2846 )",50015,"(+/- 3429 )"
People,"Sex and Age","20 to 24 years",40673,"(+/- 2868 )",54151,"(+/- 1822 )",63674,"(+/- 3139 )",41982,"(+/- 3150 )"
People,"Sex and Age","25 to 34 years",86784,"(+/- 2849 )",105908,"(+/- 2385 )",118287,"(+/- 2990 )",73797,"(+/- 3819 )"
People,"Sex and Age","35 to 44 years",86570,"(+/- 2696 )",99243,"(+/- 2400 )",113148,"(+/- 2276 )",85023,"(+/- 3257 )"
People,"Sex and Age","45 to 54 years",85893,"(+/- 2581 )",89535,"(+/- 1863 )",99895,"(+/- 2412 )",81429,"(+/- 2737 )"
People,"Sex and Age","55 to 59 years",46645,"(+/- 2575 )",52258,"(+/- 3352 )",50091,"(+/- 2821 )",46779,"(+/- 3016 )"
People,"Sex and Age","60 to 64 years",46956,"(+/- 2730 )",47385,"(+/- 3153 )",50893,"(+/- 2893 )",46091,"(+/- 2722 )"
People,"Sex and Age","65 to 74 years",79766,"(+/- 1878 )",76927,"(+/- 1112 )",75502,"(+/- 1504 )",82435,"(+/- 1980 )"
People,"Sex and Age","75 to 84 years",42287,"(+/- 1471 )",38956,"(+/- 1852 )",36372,"(+/- 2388 )",41067,"(+/- 2297 )"
People,"Sex and Age","85 years and over",12716,"(+/- 1315 )",11972,"(+/- 1582 )",14540,"(+/- 2060 )",12613,"(+/- 1846 )"
People,"Sex and Age","Median age (years)",39.8,"(+/- 0.4 )",37.9,"(+/- 0.3 )",36.0,"(+/- 0.3 )",40.9,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",548251,"(+/- 3016 )",596165,"(+/- 2191 )",646476,"(+/- 3099 )",531206,"(+/- 3827 )"
People,"Sex and Age","65 years and over",134769,"(+/- 2073 )",127855,"(+/- 1550 )",126414,"(+/- 1729 )",136115,"(+/- 2167 )"
People,Race,"Total population",714143,"(+/- 3986 )",771880,"(+/- 2385 )",851053,"(+/- 4247 )",688815,"(+/- 4620 )"
People,Race,"One race",665394,"(+/- 6414 )",729042,"(+/- 5046 )",684059,"(+/- 11864 )",648142,"(+/- 6915 )"
People,Race,White,530453,"(+/- 5131 )",515241,"(+/- 4829 )",579266,"(+/- 10853 )",490887,"(+/- 5522 )"
People,Race,"Black or African American",117079,"(+/- 3997 )",179828,"(+/- 3471 )",22096,"(+/- 2193 )",128399,"(+/- 4298 )"
People,Race,"American Indian and Alaska Native",3411,"(+/- 1137 )",1618,"(+/- 712 )",9364,"(+/- 2681 )",2665,"(+/- 889 )"
People,Race,Asian,2320,"(+/- 776 )",11701,"(+/- 1455 )",26737,"(+/- 2433 )",3170,"(+/- 982 )"
