Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
People,"Sex and Age","Total population",701063,"(+/- 6859 )",718090,"(+/- 6014 )",762445,"(+/- 7011 )",782605,"(+/- 8401 )",710312,"(+/- 8461 )",784724,"(+/- 11037 )",789764,"(+/- 12031 )",759705,"(+/- 11082 )",808663,"(+/- 10872 )",774782,"(+/- 6520 )",771855,"(+/- 10183 )",718792,"(+/- 8342 )",761542,"(+/- 4010 )",719826,"(+/- 10814 )",784297,"(+/- 6867 )",751686,"(+/- 13839 )",771306,"(+/- 10559 )",721174,"(+/- 13755 )",722407,"(+/- 13915 )",748911,"(+/- 7204 )",718991,"(+/- 17274 )",810279,"(+/- 15745 )",770688,"(+/- 17141 )",740591,"(+/- 2208 )",738117,"(+/- 11909 )",717217,"(+/- 3557 )",688082,"(+/- 8963 )",694675,"(+/- 15901 )",691770,"(+/- 17797 )",764996,"(+/- 21719 )",758538,"(+/- 12527 )",689035,"(+/- 10216 )",686798,"(+/- 14006 )",696606,"(+/- 19568 )",748055,"(+/- 9822 )",761959,"(+/- 10299 )",700635,"(+/- 21196 )",691366,"(+/- 13111 )",729834,"(+/- 9672 )",681700,"(+/- 15375 )",765124,"(+/- 8814 )",841945,"(+/- 13425 )",728012,"(+/- 18846 )",698216,"(+/- 17907 )",808871,"(+/- 9173 )",701726,"(+/- 12095 )",701834,"(+/- 13582 )",712717,"(+/- 8197 )",740582,"(+/- 10766 )",748539,"(+/- 13189 )",707085,"(+/- 15090 )",778194,"(+/- 14021 )",761110,"(+/- 17454 )"
People,"Sex and Age",Male,350473,"(+/- 4412 )",356039,"(+/- 4606 )",381979,"(+/- 5782 )",391741,"(+/- 4913 )",345586,"(+/- 6238 )",385893,"(+/- 8154 )",390924,"(+/- 8517 )",384313,"(+/- 8369 )",402801,"(+/- 7781 )",390254,"(+/- 5092 )",380053,"(+/- 6645 )",367620,"(+/- 4620 )",371921,"(+/- 4635 )",358938,"(+/- 6411 )",390728,"(+/- 5199 )",378211,"(+/- 8316 )",400976,"(+/- 8022 )",367580,"(+/- 8611 )",361674,"(+/- 8727 )",378318,"(+/- 4440 )",385147,"(+/- 10353 )",401448,"(+/- 9566 )",386683,"(+/- 9860 )",372997,"(+/- 1702 )",370443,"(+/- 9318 )",356634,"(+/- 3047 )",334584,"(+/- 7099 )",345909,"(+/- 9419 )",346963,"(+/- 11250 )",369374,"(+/- 12183 )",374663,"(+/- 8776 )",344592,"(+/- 8160 )",336863,"(+/- 8757 )",370173,"(+/- 11382 )",377798,"(+/- 7243 )",389483,"(+/- 6964 )",338340,"(+/- 12462 )",340350,"(+/- 7553 )",362543,"(+/- 7422 )",340575,"(+/- 8949 )",378465,"(+/- 6458 )",422249,"(+/- 7124 )",353586,"(+/- 10858 )",344013,"(+/- 10780 )",399773,"(+/- 6943 )",350755,"(+/- 8173 )",344739,"(+/- 8489 )",349267,"(+/- 6030 )",380891,"(+/- 9169 )",367518,"(+/- 9338 )",363371,"(+/- 9156 )",404201,"(+/- 9970 )",378522,"(+/- 11018 )"
People,"Sex and Age",Female,350590,"(+/- 5144 )",362051,"(+/- 4072 )",380466,"(+/- 5534 )",390864,"(+/- 5611 )",364726,"(+/- 5870 )",398831,"(+/- 6053 )",398840,"(+/- 6323 )",375392,"(+/- 8400 )",405862,"(+/- 7061 )",384528,"(+/- 4316 )",391802,"(+/- 5985 )",351172,"(+/- 4668 )",389621,"(+/- 4744 )",360888,"(+/- 5459 )",393569,"(+/- 6373 )",373475,"(+/- 7872 )",370330,"(+/- 6495 )",353594,"(+/- 8385 )",360733,"(+/- 7998 )",370593,"(+/- 3897 )",333844,"(+/- 9547 )",408831,"(+/- 8500 )",384005,"(+/- 9733 )",367594,"(+/- 1664 )",367674,"(+/- 7875 )",360583,"(+/- 3027 )",353498,"(+/- 7472 )",348766,"(+/- 10297 )",344807,"(+/- 9693 )",395622,"(+/- 12974 )",383875,"(+/- 8910 )",344443,"(+/- 7608 )",349935,"(+/- 9919 )",326433,"(+/- 10455 )",370257,"(+/- 8306 )",372476,"(+/- 9056 )",362295,"(+/- 11912 )",351016,"(+/- 8638 )",367291,"(+/- 6637 )",341125,"(+/- 9007 )",386659,"(+/- 7531 )",419696,"(+/- 10594 )",374426,"(+/- 13417 )",354203,"(+/- 10530 )",409098,"(+/- 8047 )",350971,"(+/- 8150 )",357095,"(+/- 8693 )",363450,"(+/- 6381 )",359691,"(+/- 8633 )",381021,"(+/- 8920 )",343714,"(+/- 7917 )",373993,"(+/- 9274 )",382588,"(+/- 10415 )"
People,"Sex and Age","Under 5 years",33293,"(+/- 1731 )",32193,"(+/- 1636 )",46836,"(+/- 2104 )",36073,"(+/- 1389 )",32647,"(+/- 2662 )",48371,"(+/- 3789 )",46860,"(+/- 4023 )",52656,"(+/- 3949 )",51566,"(+/- 2327 )",51342,"(+/- 2077 )",41650,"(+/- 2006 )",30420,"(+/- 1466 )",36584,"(+/- 2880 )",35201,"(+/- 1921 )",43288,"(+/- 3474 )",57202,"(+/- 3437 )",44856,"(+/- 3488 )",37572,"(+/- 3361 )",37897,"(+/- 3275 )",44779,"(+/- 1509 )",51221,"(+/- 4190 )",54696,"(+/- 3988 )",56988,"(+/- 3771 )",39321,"(+/- 784 )",43496,"(+/- 4519 )",41017,"(+/- 935 )",33976,"(+/- 3170 )",28858,"(+/- 3483 )",38462,"(+/- 3830 )",39718,"(+/- 3955 )",50697,"(+/- 3832 )",37316,"(+/- 3542 )",27022,"(+/- 3316 )",30612,"(+/- 3384 )",47426,"(+/- 3553 )",40411,"(+/- 3792 )",39840,"(+/- 4675 )",35523,"(+/- 3726 )",34066,"(+/- 3766 )",39235,"(+/- 3971 )",45603,"(+/- 3664 )",52119,"(+/- 3624 )",43199,"(+/- 4565 )",41685,"(+/- 4199 )",51419,"(+/- 4173 )",37169,"(+/- 3197 )",38347,"(+/- 4249 )",32983,"(+/- 3665 )",41932,"(+/- 4843 )",48032,"(+/- 4573 )",40141,"(+/- 2986 )",43937,"(+/- 4224 )",42482,"(+/- 4460 )"
People,"Sex and Age","5 to 9 years",36963,"(+/- 3221 )",36785,"(+/- 3213 )",50032,"(+/- 3352 )",43316,"(+/- 3432 )",36679,"(+/- 2858 )",43036,"(+/- 3485 )",50125,"(+/- 3874 )",52599,"(+/- 4428 )",53823,"(+/- 4343 )",54289,"(+/- 3605 )",42297,"(+/- 3676 )",25824,"(+/- 2378 )",38205,"(+/- 3396 )",38652,"(+/- 3006 )",47263,"(+/- 3222 )",63217,"(+/- 4519 )",42069,"(+/- 2683 )",41624,"(+/- 3274 )",40666,"(+/- 3923 )",48872,"(+/- 2989 )",58201,"(+/- 4090 )",62560,"(+/- 4908 )",53128,"(+/- 4739 )",39252,"(+/- 3072 )",45724,"(+/- 3370 )",47681,"(+/- 2790 )",37595,"(+/- 3822 )",29920,"(+/- 3202 )",41090,"(+/- 3013 )",43306,"(+/- 4603 )",52857,"(+/- 4770 )",36349,"(+/- 3885 )",30993,"(+/- 3224 )",35500,"(+/- 3792 )",53323,"(+/- 4189 )",43950,"(+/- 4439 )",36699,"(+/- 3696 )",41424,"(+/- 3251 )",39144,"(+/- 3519 )",48032,"(+/- 3798 )",51604,"(+/- 4395 )",62604,"(+/- 4872 )",47555,"(+/- 4681 )",43852,"(+/- 4786 )",51638,"(+/- 4162 )",41050,"(+/- 3450 )",37685,"(+/- 3373 )",34941,"(+/- 3404 )",41420,"(+/- 4017 )",53860,"(+/- 4693 )",46411,"(+/- 3950 )",42630,"(+/- 3963 )",40674,"(+/- 3530 )"
People,"Sex and Age","10 to 14 years",46336,"(+/- 3274 )",41474,"(+/- 3466 )",50917,"(+/- 3016 )",51075,"(+/- 3288 )",43326,"(+/- 2867 )",52288,"(+/- 3761 )",60197,"(+/- 3700 )",63370,"(+/- 5025 )",64100,"(+/- 4556 )",67851,"(+/- 3805 )",53481,"(+/- 3666 )",26544,"(+/- 2312 )",38705,"(+/- 3045 )",38545,"(+/- 3205 )",54866,"(+/- 3781 )",64641,"(+/- 3700 )",42060,"(+/- 3181 )",48208,"(+/- 4003 )",50681,"(+/- 3729 )",54349,"(+/- 3151 )",67670,"(+/- 4201 )",68623,"(+/- 5618 )",64786,"(+/- 5747 )",44910,"(+/- 3245 )",58696,"(+/- 4400 )",47433,"(+/- 2884 )",36057,"(+/- 3788 )",33087,"(+/- 3679 )",45749,"(+/- 3754 )",42681,"(+/- 4074 )",57165,"(+/- 4138 )",48046,"(+/- 3473 )",39090,"(+/- 3788 )",35085,"(+/- 3024 )",57947,"(+/- 3770 )",48009,"(+/- 3562 )",39624,"(+/- 4775 )",48060,"(+/- 3756 )",48676,"(+/- 3537 )",55944,"(+/- 3975 )",57986,"(+/- 4242 )",69645,"(+/- 5304 )",51669,"(+/- 4665 )",51597,"(+/- 4050 )",44640,"(+/- 4830 )",51009,"(+/- 4102 )",42902,"(+/- 3615 )",41357,"(+/- 3623 )",49266,"(+/- 4302 )",53981,"(+/- 4971 )",50837,"(+/- 3781 )",41599,"(+/- 4121 )",40532,"(+/- 4236 )"
People,"Sex and Age","15 to 19 years",44760,"(+/- 2614 )",44205,"(+/- 3216 )",54394,"(+/- 2601 )",44463,"(+/- 3077 )",44013,"(+/- 2919 )",51194,"(+/- 3602 )",47966,"(+/- 3340 )",58579,"(+/- 4250 )",61970,"(+/- 3456 )",55960,"(+/- 1929 )",49620,"(+/- 3465 )",23613,"(+/- 2029 )",44668,"(+/- 2526 )",41702,"(+/- 2499 )",46888,"(+/- 2468 )",61950,"(+/- 2973 )",40447,"(+/- 3099 )",48771,"(+/- 3627 )",47022,"(+/- 3488 )",57739,"(+/- 2547 )",62955,"(+/- 4396 )",60729,"(+/- 3150 )",56524,"(+/- 3958 )",63783,"(+/- 2689 )",51651,"(+/- 3967 )",47808,"(+/- 1625 )",36927,"(+/- 3156 )",30038,"(+/- 3160 )",43983,"(+/- 3653 )",41909,"(+/- 3634 )",52246,"(+/- 4387 )",46414,"(+/- 3400 )",46976,"(+/- 4307 )",39611,"(+/- 3461 )",56204,"(+/- 4039 )",44645,"(+/- 3784 )",33884,"(+/- 3142 )",49190,"(+/- 3737 )",44800,"(+/- 4298 )",51576,"(+/- 3656 )",63926,"(+/- 4341 )",63931,"(+/- 4518 )",42896,"(+/- 3924 )",54104,"(+/- 4340 )",52423,"(+/- 4521 )",53165,"(+/- 3209 )",41590,"(+/- 3491 )",36599,"(+/- 3332 )",49287,"(+/- 4737 )",45842,"(+/- 3484 )",50252,"(+/- 3447 )",48831,"(+/- 4772 )",45057,"(+/- 3688 )"
People,"Sex and Age","20 to 24 years",43266,"(+/- 2088 )",35773,"(+/- 2730 )",63383,"(+/- 3453 )",37276,"(+/- 2198 )",43988,"(+/- 3242 )",54117,"(+/- 3246 )",40758,"(+/- 3198 )",52040,"(+/- 4177 )",55806,"(+/- 2729 )",45717,"(+/- 1912 )",45066,"(+/- 2489 )",35276,"(+/- 2054 )",52600,"(+/- 2911 )",36416,"(+/- 2139 )",33092,"(+/- 2649 )",52978,"(+/- 3001 )",40730,"(+/- 3582 )",37090,"(+/- 3460 )",46301,"(+/- 3431 )",57301,"(+/- 2538 )",54571,"(+/- 4825 )",55039,"(+/- 4286 )",53137,"(+/- 3966 )",72757,"(+/- 2841 )",45388,"(+/- 4209 )",44279,"(+/- 1731 )",37386,"(+/- 2662 )",34867,"(+/- 3997 )",47106,"(+/- 3716 )",41283,"(+/- 4459 )",55361,"(+/- 3952 )",47610,"(+/- 3728 )",40380,"(+/- 4134 )",52126,"(+/- 4945 )",54602,"(+/- 3467 )",36785,"(+/- 3664 )",48848,"(+/- 4240 )",42644,"(+/- 3690 )",44415,"(+/- 4748 )",50977,"(+/- 3400 )",70105,"(+/- 4454 )",49971,"(+/- 4547 )",51151,"(+/- 4092 )",48197,"(+/- 3860 )",48620,"(+/- 4326 )",53033,"(+/- 3852 )",44674,"(+/- 3842 )",38436,"(+/- 3183 )",50632,"(+/- 5681 )",42339,"(+/- 3870 )",57969,"(+/- 4248 )",55471,"(+/- 5372 )",52559,"(+/- 4696 )"
People,"Sex and Age","25 to 34 years",80464,"(+/- 3807 )",77016,"(+/- 4107 )",103709,"(+/- 3361 )",87054,"(+/- 3797 )",89747,"(+/- 3903 )",136135,"(+/- 5527 )",106190,"(+/- 5076 )",103922,"(+/- 6948 )",107710,"(+/- 4967 )",109791,"(+/- 3010 )",103098,"(+/- 4397 )",152170,"(+/- 2630 )",130702,"(+/- 4733 )",101948,"(+/- 3758 )",102323,"(+/- 4648 )",108837,"(+/- 3893 )",154478,"(+/- 6304 )",87499,"(+/- 6353 )",103099,"(+/- 5245 )",102645,"(+/- 2718 )",115826,"(+/- 5686 )",121229,"(+/- 5204 )",110068,"(+/- 5505 )",92820,"(+/- 1651 )",102598,"(+/- 6553 )",95343,"(+/- 2874 )",89708,"(+/- 5047 )",129772,"(+/- 7141 )",116703,"(+/- 5449 )",113976,"(+/- 6743 )",119956,"(+/- 5943 )",100923,"(+/- 5144 )",93706,"(+/- 6135 )",142083,"(+/- 7485 )",124663,"(+/- 5774 )",99019,"(+/- 5371 )",128796,"(+/- 7778 )",96264,"(+/- 5422 )",107922,"(+/- 5658 )",106212,"(+/- 5359 )",123930,"(+/- 5569 )",106764,"(+/- 6424 )",113553,"(+/- 6309 )",105509,"(+/- 5908 )",107274,"(+/- 5833 )",116615,"(+/- 5859 )",111339,"(+/- 5926 )",100757,"(+/- 5508 )",105225,"(+/- 6688 )",96532,"(+/- 6658 )",115347,"(+/- 5664 )",132526,"(+/- 6534 )",136374,"(+/- 6921 )"
People,"Sex and Age","35 to 44 years",85405,"(+/- 2813 )",90740,"(+/- 3688 )",100408,"(+/- 3658 )",99181,"(+/- 3495 )",99474,"(+/- 4641 )",114073,"(+/- 4317 )",110484,"(+/- 3853 )",97854,"(+/- 5660 )",105153,"(+/- 5322 )",106368,"(+/- 3308 )",106909,"(+/- 3642 )",120514,"(+/- 2222 )",115855,"(+/- 3657 )",104501,"(+/- 3506 )",125122,"(+/- 3892 )",100887,"(+/- 4430 )",120996,"(+/- 4869 )",105380,"(+/- 5037 )",101956,"(+/- 4952 )",96927,"(+/- 2301 )",99691,"(+/- 5001 )",107903,"(+/- 4411 )",101213,"(+/- 5385 )",87327,"(+/- 1198 )",94370,"(+/- 5037 )",95476,"(+/- 1910 )",95021,"(+/- 5298 )",111305,"(+/- 6353 )",98106,"(+/- 4523 )",109974,"(+/- 5541 )",105052,"(+/- 6268 )",91662,"(+/- 5609 )",92245,"(+/- 6022 )",108016,"(+/- 6275 )",102352,"(+/- 5159 )",91698,"(+/- 5211 )",101560,"(+/- 5862 )",94491,"(+/- 4597 )",87468,"(+/- 4335 )",89342,"(+/- 3987 )",105567,"(+/- 5060 )",120406,"(+/- 5900 )",104052,"(+/- 6306 )",94238,"(+/- 5601 )",110332,"(+/- 5052 )",100381,"(+/- 5232 )",95571,"(+/- 5604 )",90177,"(+/- 5162 )",95057,"(+/- 5681 )",107546,"(+/- 5801 )",93691,"(+/- 4727 )",112447,"(+/- 6074 )",112762,"(+/- 6104 )"
