Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE"
People,"Sex and Age","Total population",838929,"(+/- 5497 )",820942,"(+/- 6377 )",769771,"(+/- 4618 )",908778,"(+/- 7755 )",840942,"(+/- 1447 )",833948,"(+/- 8734 )",798759,"(+/- 6828 )"
People,"Sex and Age",Male,423948,"(+/- 3481 )",413852,"(+/- 5081 )",388904,"(+/- 3779 )",464592,"(+/- 5754 )",431352,"(+/- 1761 )",416973,"(+/- 5583 )",403416,"(+/- 4322 )"
People,"Sex and Age",Female,414981,"(+/- 3216 )",407090,"(+/- 4070 )",380867,"(+/- 4068 )",444186,"(+/- 5089 )",409590,"(+/- 1737 )",416975,"(+/- 5365 )",395343,"(+/- 4715 )"
People,"Sex and Age","Under 5 years",45150,"(+/- 1161 )",32567,"(+/- 1882 )",34912,"(+/- 1898 )",53596,"(+/- 2119 )",49302,"(+/- 842 )",48081,"(+/- 2289 )",44229,"(+/- 2208 )"
People,"Sex and Age","5 to 9 years",42920,"(+/- 2899 )",40818,"(+/- 3499 )",42393,"(+/- 3261 )",60758,"(+/- 3387 )",53863,"(+/- 3804 )",50709,"(+/- 4199 )",45031,"(+/- 3276 )"
People,"Sex and Age","10 to 14 years",44358,"(+/- 2780 )",48309,"(+/- 3355 )",52929,"(+/- 3307 )",64726,"(+/- 3143 )",52359,"(+/- 3911 )",64246,"(+/- 3505 )",47119,"(+/- 3586 )"
People,"Sex and Age","15 to 19 years",44518,"(+/- 1963 )",60593,"(+/- 2699 )",49306,"(+/- 2540 )",64601,"(+/- 3060 )",55399,"(+/- 1333 )",54673,"(+/- 2434 )",46702,"(+/- 2217 )"
People,"Sex and Age","20 to 24 years",49436,"(+/- 1661 )",71639,"(+/- 2223 )",45048,"(+/- 3290 )",47195,"(+/- 2564 )",61578,"(+/- 1625 )",48729,"(+/- 2838 )",50095,"(+/- 2184 )"
People,"Sex and Age","25 to 34 years",184432,"(+/- 2448 )",115609,"(+/- 3876 )",89290,"(+/- 3660 )",124834,"(+/- 3577 )",130510,"(+/- 1598 )",116529,"(+/- 4077 )",140093,"(+/- 3251 )"
People,"Sex and Age","35 to 44 years",140677,"(+/- 2776 )",109450,"(+/- 3279 )",104515,"(+/- 3326 )",135052,"(+/- 3488 )",115814,"(+/- 1658 )",123966,"(+/- 3414 )",120819,"(+/- 3679 )"
