Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE"
People,"Sex and Age","Total population",716422,"(+/- 7164 )",706620,"(+/- 5304 )",711522,"(+/- 7954 )",745760,"(+/- 6134 )",725273,"(+/- 10931 )"
People,"Sex and Age",Male,353248,"(+/- 4848 )",350766,"(+/- 4057 )",341908,"(+/- 5564 )",368558,"(+/- 4224 )",353565,"(+/- 7008 )"
People,"Sex and Age",Female,363174,"(+/- 5036 )",355854,"(+/- 3542 )",369614,"(+/- 5272 )",377202,"(+/- 4179 )",371708,"(+/- 7331 )"
People,"Sex and Age","Under 5 years",34588,"(+/- 2097 )",30731,"(+/- 1762 )",33549,"(+/- 2741 )",40873,"(+/- 2421 )",37836,"(+/- 3665 )"
People,"Sex and Age","5 to 9 years",39953,"(+/- 2925 )",34919,"(+/- 2785 )",35544,"(+/- 3035 )",43072,"(+/- 3791 )",43308,"(+/- 4457 )"
People,"Sex and Age","10 to 14 years",39527,"(+/- 2578 )",39681,"(+/- 2950 )",41132,"(+/- 3027 )",49231,"(+/- 3442 )",43118,"(+/- 3831 )"
People,"Sex and Age","15 to 19 years",47086,"(+/- 2357 )",52698,"(+/- 2457 )",50268,"(+/- 2578 )",48814,"(+/- 2495 )",45820,"(+/- 3233 )"
People,"Sex and Age","20 to 24 years",45808,"(+/- 2287 )",53615,"(+/- 2431 )",53391,"(+/- 2863 )",46862,"(+/- 2457 )",39797,"(+/- 3251 )"
People,"Sex and Age","25 to 34 years",94338,"(+/- 3719 )",82674,"(+/- 2717 )",95666,"(+/- 3887 )",89448,"(+/- 3020 )",88737,"(+/- 5140 )"
People,"Sex and Age","35 to 44 years",91592,"(+/- 3237 )",82811,"(+/- 2743 )",90169,"(+/- 3019 )",95479,"(+/- 3071 )",91075,"(+/- 4967 )"
People,"Sex and Age","45 to 54 years",88404,"(+/- 2775 )",88357,"(+/- 2902 )",91302,"(+/- 4371 )",97781,"(+/- 2876 )",96593,"(+/- 4991 )"
People,"Sex and Age","55 to 59 years",51073,"(+/- 3284 )",53129,"(+/- 2866 )",47575,"(+/- 3498 )",57778,"(+/- 3127 )",48272,"(+/- 3779 )"
People,"Sex and Age","60 to 64 years",51286,"(+/- 3631 )",54397,"(+/- 2543 )",49023,"(+/- 2695 )",51882,"(+/- 2918 )",56363,"(+/- 3637 )"
People,"Sex and Age","65 to 74 years",76451,"(+/- 2550 )",79496,"(+/- 2029 )",73027,"(+/- 3248 )",72389,"(+/- 2713 )",78076,"(+/- 4228 )"
People,"Sex and Age","75 to 84 years",38063,"(+/- 2428 )",39139,"(+/- 2049 )",36333,"(+/- 2169 )",34253,"(+/- 2204 )",38675,"(+/- 3184 )"
People,"Sex and Age","85 years and over",18253,"(+/- 1857 )",14973,"(+/- 1597 )",14543,"(+/- 1660 )",17898,"(+/- 1867 )",17603,"(+/- 2074 )"
People,"Sex and Age","Median age (years)",40.7,"(+/- 0.7 )",42.0,"(+/- 0.5 )",39.8,"(+/- 0.6 )",41.0,"(+/- 0.6 )",42.4,"(+/- 0.9 )"
People,"Sex and Age","18 years and over",574552,"(+/- 6365 )",575626,"(+/- 4773 )",574200,"(+/- 7566 )",581932,"(+/- 5315 )",572048,"(+/- 9363 )"
People,"Sex and Age","65 years and over",132767,"(+/- 3307 )",133608,"(+/- 2676 )",123903,"(+/- 4139 )",124540,"(+/- 3606 )",134354,"(+/- 5937 )"
People,Race,"Total population",716422,"(+/- 7164 )",706620,"(+/- 5304 )",711522,"(+/- 7954 )",745760,"(+/- 6134 )",725273,"(+/- 10931 )"
People,Race,"One race",634415,"(+/- 8814 )",635746,"(+/- 7908 )",638869,"(+/- 10741 )",647625,"(+/- 10072 )",630260,"(+/- 12352 )"
People,Race,White,433960,"(+/- 8477 )",558344,"(+/- 6827 )",437178,"(+/- 9836 )",437258,"(+/- 8038 )",487840,"(+/- 12923 )"
People,Race,"Black or African American",107971,"(+/- 4482 )",25416,"(+/- 2967 )",105816,"(+/- 7128 )",91015,"(+/- 5388 )",50628,"(+/- 6383 )"
People,Race,"American Indian and Alaska Native",1369,"(+/- 833 )",2480,"(+/- 1044 )",2449,"(+/- 2102 )",3966,"(+/- 2747 )",1974,"(+/- 1091 )"
People,Race,Asian,38651,"(+/- 2959 )",24857,"(+/- 2111 )",31450,"(+/- 2945 )",43690,"(+/- 4070 )",34230,"(+/- 4947 )"
People,Race,"Native Hawaiian and Other Pacific Islander",101,"(+/- 166 )",62,"(+/- 104 )",755,"(+/- 983 )",0,"(+/- 217 )",560,"(+/- 497 )"
People,Race,"Some other race",52363,"(+/- 6208 )",24587,"(+/- 4072 )",61221,"(+/- 7305 )",71696,"(+/- 7460 )",55028,"(+/- 8178 )"
People,Race,"Two or more races",82007,"(+/- 6974 )",70874,"(+/- 6023 )",72653,"(+/- 7844 )",98135,"(+/- 8036 )",95013,"(+/- 9499 )"
People,"Hispanic or Latino and Race","Total population",716422,"(+/- 7164 )",706620,"(+/- 5304 )",711522,"(+/- 7954 )",745760,"(+/- 6134 )",725273,"(+/- 10931 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",132551,"(+/- 5461 )",69546,"(+/- 2603 )",131088,"(+/- 7145 )",161293,"(+/- 5040 )",142635,"(+/- 9633 )"
People,"Hispanic or Latino and Race",Mexican,8845,"(+/- 3515 )",7817,"(+/- 2033 )",19162,"(+/- 4942 )",19415,"(+/- 5715 )",4676,"(+/- 1892 )"
People,"Hispanic or Latino and Race","Puerto Rican",76259,"(+/- 7016 )",39097,"(+/- 4252 )",58736,"(+/- 7144 )",43495,"(+/- 5912 )",71335,"(+/- 7395 )"
People,"Hispanic or Latino and Race",Cuban,4628,"(+/- 2175 )",1032,"(+/- 950 )",3077,"(+/- 1327 )",5641,"(+/- 3171 )",2086,"(+/- 1265 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",42819,"(+/- 5907 )",21600,"(+/- 3872 )",50113,"(+/- 6622 )",92742,"(+/- 7287 )",64538,"(+/- 8073 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",583871,"(+/- 7877 )",637074,"(+/- 5711 )",580434,"(+/- 8562 )",584467,"(+/- 7996 )",582638,"(+/- 10788 )"
People,"Place of Birth","Total population",716422,"(+/- 7164 )",706620,"(+/- 5304 )",711522,"(+/- 7954 )",745760,"(+/- 6134 )",725273,"(+/- 10931 )"
People,"Place of Birth",Native,603993,"(+/- 8350 )",658478,"(+/- 6651 )",600877,"(+/- 8705 )",574241,"(+/- 10494 )",618567,"(+/- 11717 )"
People,"Place of Birth","Born in United States",564225,"(+/- 8148 )",637767,"(+/- 7203 )",577023,"(+/- 8349 )",551949,"(+/- 9760 )",587652,"(+/- 11277 )"
People,"Place of Birth","State of residence",413529,"(+/- 9070 )",391031,"(+/- 9674 )",422986,"(+/- 10052 )",305460,"(+/- 11538 )",390675,"(+/- 12883 )"
People,"Place of Birth","Different state",150696,"(+/- 5972 )",246736,"(+/- 9659 )",154037,"(+/- 8046 )",246489,"(+/- 10214 )",196977,"(+/- 9228 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",39768,"(+/- 5090 )",20711,"(+/- 2948 )",23854,"(+/- 4056 )",22292,"(+/- 3141 )",30915,"(+/- 4216 )"
People,"Place of Birth","Foreign born",112429,"(+/- 7530 )",48142,"(+/- 4382 )",110645,"(+/- 6489 )",171519,"(+/- 8435 )",106706,"(+/- 7069 )"
People,Ancestry,"Total population",716422,"(+/- 7164 )",706620,"(+/- 5304 )",711522,"(+/- 7954 )",745760,"(+/- 6134 )",725273,"(+/- 10931 )"
People,Ancestry,American,24612,"(+/- 3969 )",26759,"(+/- 4425 )",20460,"(+/- 4025 )",35071,"(+/- 4593 )",22336,"(+/- 4306 )"
People,Ancestry,Arab,2932,"(+/- 1144 )",2500,"(+/- 1014 )",3597,"(+/- 2225 )",3800,"(+/- 1558 )",5925,"(+/- 2529 )"
People,Ancestry,Czech,1912,"(+/- 758 )",2129,"(+/- 1028 )",1652,"(+/- 1158 )",2276,"(+/- 906 )",2150,"(+/- 1109 )"
People,Ancestry,Danish,1793,"(+/- 941 )",2318,"(+/- 982 )",1867,"(+/- 871 )",3048,"(+/- 1268 )",1911,"(+/- 1787 )"
People,Ancestry,Dutch,3122,"(+/- 1012 )",4964,"(+/- 1747 )",2416,"(+/- 777 )",5765,"(+/- 1985 )",3427,"(+/- 1222 )"
