Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",1003384,(*****)
People,"Sex and Age",Male,485908,"(+/- 1201 )"
People,"Sex and Age",Female,517476,"(+/- 1201 )"
People,"Sex and Age","Under 5 years",53039,"(+/- 117 )"
People,"Sex and Age","5 to 9 years",58410,"(+/- 3512 )"
People,"Sex and Age","10 to 14 years",59908,"(+/- 3647 )"
People,"Sex and Age","15 to 19 years",63288,"(+/- 1569 )"
People,"Sex and Age","20 to 24 years",57635,"(+/- 1543 )"
People,"Sex and Age","25 to 34 years",128564,"(+/- 1900 )"
People,"Sex and Age","35 to 44 years",122088,"(+/- 1506 )"
People,"Sex and Age","45 to 54 years",115300,"(+/- 1090 )"
People,"Sex and Age","55 to 59 years",67381,"(+/- 3391 )"
People,"Sex and Age","60 to 64 years",76220,"(+/- 3373 )"
People,"Sex and Age","65 to 74 years",125407,"(+/- 615 )"
People,"Sex and Age","75 to 84 years",57183,"(+/- 1961 )"
People,"Sex and Age","85 years and over",18961,"(+/- 1980 )"
People,"Sex and Age","Median age (years)",41.6,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",794867,"(+/- 232 )"
People,"Sex and Age","65 years and over",201551,"(+/- 544 )"
People,Race,"Total population",1003384,(*****)
People,Race,"One race",908737,"(+/- 8713 )"
People,Race,White,609759,"(+/- 4547 )"
People,Race,"Black or African American",208369,"(+/- 6091 )"
People,Race,"American Indian and Alaska Native",3385,"(+/- 1366 )"
People,Race,Asian,41066,"(+/- 1723 )"
People,Race,"Native Hawaiian and Other Pacific Islander",415,"(+/- 426 )"
People,Race,"Some other race",45743,"(+/- 4812 )"
People,Race,"Two or more races",94647,"(+/- 8713 )"
People,"Hispanic or Latino and Race","Total population",1003384,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",101213,(*****)
People,"Hispanic or Latino and Race",Mexican,38020,"(+/- 5543 )"
People,"Hispanic or Latino and Race","Puerto Rican",29914,"(+/- 4336 )"
People,"Hispanic or Latino and Race",Cuban,1598,"(+/- 839 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",31681,"(+/- 5088 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",902171,(*****)
People,"Place of Birth","Total population",1003384,(*****)
People,"Place of Birth",Native,902124,"(+/- 7599 )"
People,"Place of Birth","Born in United States",884690,"(+/- 7504 )"
People,"Place of Birth","State of residence",428008,"(+/- 11354 )"
People,"Place of Birth","Different state",456682,"(+/- 11936 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",17434,"(+/- 2766 )"
People,"Place of Birth","Foreign born",101260,"(+/- 7599 )"
People,Ancestry,"Total population",1003384,(*****)
People,Ancestry,American,48242,"(+/- 6047 )"
People,Ancestry,Arab,8209,"(+/- 3382 )"
People,Ancestry,Czech,1878,"(+/- 593 )"
People,Ancestry,Danish,1997,"(+/- 1189 )"
People,Ancestry,Dutch,7137,"(+/- 2446 )"
People,Ancestry,English,99499,"(+/- 6658 )"
People,Ancestry,"French (except Basque)",11918,"(+/- 2379 )"
People,Ancestry,"French Canadian",2778,"(+/- 1005 )"
People,Ancestry,German,128864,"(+/- 7889 )"
People,Ancestry,Greek,4810,"(+/- 1702 )"
People,Ancestry,Hungarian,3482,"(+/- 858 )"
People,Ancestry,Irish,152153,"(+/- 10626 )"
People,Ancestry,Italian,92882,"(+/- 7004 )"
People,Ancestry,Lithuanian,2095,"(+/- 722 )"
People,Ancestry,Norwegian,6559,"(+/- 2112 )"
People,Ancestry,Polish,34274,"(+/- 3943 )"
People,Ancestry,Portuguese,1669,"(+/- 876 )"
People,Ancestry,Russian,6271,"(+/- 1583 )"
People,Ancestry,Scotch-Irish,5235,"(+/- 1514 )"
People,Ancestry,Scottish,14181,"(+/- 2465 )"
People,Ancestry,Slovak,1711,"(+/- 659 )"
People,Ancestry,"Subsaharan African",14284,"(+/- 3206 )"
People,Ancestry,Swedish,4702,"(+/- 1101 )"
People,Ancestry,Swiss,2038,"(+/- 1118 )"
People,Ancestry,Ukrainian,3982,"(+/- 1014 )"
People,Ancestry,Welsh,4718,"(+/- 1186 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",14778,"(+/- 3769 )"
People,"Veteran Status","Civilian population 18 years and over",790721,"(+/- 1365 )"
People,"Veteran Status","Civilian veterans",55516,"(+/- 3240 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",987964,"(+/- 1320 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",130551,"(+/- 5349 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",208136,"(+/- 232 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",11038,"(+/- 2222 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",581915,"(+/- 1584 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",64774,"(+/- 4036 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",197913,"(+/- 663 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",54739,"(+/- 2877 )"
People,"Residence 1 Year Ago","Population 1 year and over",994669,"(+/- 1764 )"
People,"Residence 1 Year Ago","Same house",889174,"(+/- 6362 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",105495,"(+/- 6719 )"
People,"Residence 1 Year Ago","Different house in the U.S.",100731,"(+/- 6646 )"
People,"Residence 1 Year Ago","Same county",48526,"(+/- 4798 )"
People,"Residence 1 Year Ago","Different county",52205,"(+/- 4913 )"
People,"Residence 1 Year Ago","Same state",9654,"(+/- 2920 )"
People,"Residence 1 Year Ago","Different state",42551,"(+/- 4342 )"
People,"Residence 1 Year Ago",Abroad,4764,"(+/- 1768 )"
Workers,"Employment Status","Population 16 years and over",819868,"(+/- 1789 )"
Workers,"Employment Status","In labor force",492382,"(+/- 5691 )"
Workers,"Employment Status","Civilian labor force",488236,"(+/- 5894 )"
Workers,"Employment Status",Employed,461096,"(+/- 5926 )"
Workers,"Employment Status",Unemployed,27140,"(+/- 3037 )"
Workers,"Employment Status","Armed Forces",4146,"(+/- 1331 )"
Workers,"Employment Status","Not in labor force",327486,"(+/- 6098 )"
Workers,"Employment Status","Civilian labor force",488236,"(+/- 5894 )"
Workers,"Employment Status","Unemployment Rate",5.6,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",455993,"(+/- 6159 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",321370,"(+/- 8243 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",28598,"(+/- 3668 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",7415,"(+/- 2365 )"
Workers,"Commuting to Work",Walked,5931,"(+/- 1204 )"
Workers,"Commuting to Work","Other means",8052,"(+/- 1778 )"
Workers,"Commuting to Work","Worked from home",84627,"(+/- 5141 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.4,"(+/- 0.8 )"
Workers,Occupation,"Civilian employed population 16 years and over",461096,"(+/- 5926 )"
Workers,Occupation,"Management, business, science, and arts occupations",194221,"(+/- 5725 )"
Workers,Occupation,"Service occupations",79742,"(+/- 5048 )"
Workers,Occupation,"Sales and office occupations",93315,"(+/- 5406 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",39838,"(+/- 3545 )"
Workers,Occupation,"Production, transportation, and material moving occupations",53980,"(+/- 4298 )"
Workers,Industry,"Civilian employed population 16 years and over",461096,"(+/- 5926 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",4236,"(+/- 1219 )"
Workers,Industry,Construction,33215,"(+/- 3469 )"
Workers,Industry,Manufacturing,30269,"(+/- 2621 )"
Workers,Industry,"Wholesale trade",6676,"(+/- 1441 )"
Workers,Industry,"Retail trade",59784,"(+/- 4626 )"
Workers,Industry,"Transportation and warehousing, and utilities",25798,"(+/- 2890 )"
Workers,Industry,Information,5458,"(+/- 1340 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",44755,"(+/- 4007 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",57002,"(+/- 4228 )"
Workers,Industry,"Educational services, and health care and social assistance",112722,"(+/- 5303 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",36519,"(+/- 3637 )"
Workers,Industry,"Other services, except public administration",16518,"(+/- 2219 )"
Workers,Industry,"Public administration",28144,"(+/- 3311 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",461096,"(+/- 5926 )"
Workers,"Class of Worker","Private wage and salary workers",367002,"(+/- 7500 )"
Workers,"Class of Worker","Government workers",72560,"(+/- 4670 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",20259,"(+/- 2806 )"
Workers,"Class of Worker","Unpaid family workers",1275,"(+/- 779 )"
Housing,"Housing Occupancy","Total housing units",457978,"(+/- 419 )"
Housing,"Housing Occupancy","Occupied housing units",395656,"(+/- 4126 )"
Housing,"Housing Occupancy","Vacant housing units",62322,"(+/- 4191 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",1.1,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.3,"(+/- 1.3 )"
Housing,"Housing Tenure","Occupied housing units",395656,"(+/- 4126 )"
Housing,"Housing Tenure",Owner-occupied,287111,"(+/- 5513 )"
Housing,"Housing Tenure",Renter-occupied,108545,"(+/- 5060 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.54,"(+/- 0.04 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.29,"(+/- 0.08 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",395656,"(+/- 4126 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",95981,"(+/- 4859 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",87995,"(+/- 4825 )"
Housing,"Year Householder Moved into Unit","Moved in 2014 to 2014",54312,"(+/- 3554 )"
Housing,"Year Householder Moved into Unit","Moved in 2000 to 2009",79008,"(+/- 4126 )"
Housing,"Year Householder Moved into Unit","Moved in 1990 to 1999",40063,"(+/- 2983 )"
Housing,"Year Householder Moved into Unit","Moved in 1989 and earlier",38297,"(+/- 2648 )"
Housing,Value,"Owner-occupied units",287111,"(+/- 5513 )"
Housing,Value,"Less than $50,000",15779,"(+/- 1901 )"
Housing,Value,"$50,000 to $99,999",10566,"(+/- 1844 )"
Housing,Value,"$100,000 to $149,999",13414,"(+/- 1786 )"
Housing,Value,"$150,000 to $199,999",26026,"(+/- 2676 )"
Housing,Value,"$200,000 to $299,999",77450,"(+/- 4095 )"
Housing,Value,"$300,000 to $499,999",104441,"(+/- 4349 )"
Housing,Value,"$500,000 to $999,999",34792,"(+/- 3087 )"
Housing,Value,"$1,000,000 or more",4643,"(+/- 1000 )"
Housing,Value,"Median (dollars)",300500,"(+/- 6189 )"
Housing,"Mortgage Status","Owner-occupied units",287111,"(+/- 5513 )"
Housing,"Mortgage Status","Housing units with a mortgage",182907,"(+/- 5682 )"
Housing,"Mortgage Status","Housing units without a mortgage",104204,"(+/- 3833 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",182907,"(+/- 5682 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",2421,"(+/- 746 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",20486,"(+/- 1991 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",57293,"(+/- 4314 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",54724,"(+/- 3622 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",25242,"(+/- 2923 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",13224,"(+/- 2105 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",9517,"(+/- 1516 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1585,"(+/- 26 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",104204,"(+/- 3833 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $250",10086,"(+/- 1800 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$250 to $399",28695,"(+/- 2342 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$400 to $599",35664,"(+/- 3184 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$600 to $799",16345,"(+/- 2219 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$800 to $999",8140,"(+/- 1378 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 or more",5274,"(+/- 978 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",463,"(+/- 12 )"
Housing,"Gross Rent","Occupied units paying rent",102889,"(+/- 4907 )"
Housing,"Gross Rent","Less than $500",8173,"(+/- 1539 )"
Housing,"Gross Rent","$500 to $999",22635,"(+/- 2788 )"
Housing,"Gross Rent","$1,000 to $1,499",48429,"(+/- 4012 )"
Housing,"Gross Rent","$1,500 to $1,999",16078,"(+/- 2357 )"
Housing,"Gross Rent","$2,000 to $2,499",4989,"(+/- 1532 )"
Housing,"Gross Rent","$2,500 to $2,999",1346,"(+/- 623 )"
Housing,"Gross Rent","$3,000 or more",1239,"(+/- 515 )"
Housing,"Gross Rent","Median (dollars)",1208,"(+/- 30 )"
