Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Sex and Age","Total population",821362,"(+/- 1734 )",749149,"(+/- 12832 )",774718,"(+/- 7665 )",893302,"(+/- 17862 )",747582,"(+/- 18495 )",814531,"(+/- 12192 )",787989,"(+/- 17445 )",793922,"(+/- 3216 )",1002804,"(+/- 25300 )",859992,"(+/- 21270 )",850097,"(+/- 13189 )",829889,"(+/- 8923 )",723346,"(+/- 8713 )",810520,"(+/- 15432 )",820172,"(+/- 20305 )",907070,"(+/- 16904 )",802733,"(+/- 12562 )",809802,"(+/- 11489 )",864808,"(+/- 13259 )",761114,"(+/- 15672 )",797947,"(+/- 11935 )",783681,"(+/- 10237 )",765245,"(+/- 10105 )",735549,"(+/- 17682 )",761486,"(+/- 15207 )",784436,"(+/- 16458 )",727882,"(+/- 18944 )"
People,"Sex and Age",Male,413394,"(+/- 2562 )",383490,"(+/- 7657 )",383853,"(+/- 5722 )",439018,"(+/- 9896 )",362934,"(+/- 10258 )",400269,"(+/- 6766 )",384446,"(+/- 10002 )",389513,"(+/- 3640 )",498320,"(+/- 13704 )",418662,"(+/- 11920 )",414707,"(+/- 7453 )",403660,"(+/- 5291 )",352983,"(+/- 5170 )",393973,"(+/- 9432 )",409245,"(+/- 11996 )",441806,"(+/- 11048 )",399048,"(+/- 8423 )",398602,"(+/- 7388 )",423522,"(+/- 7584 )",371834,"(+/- 10404 )",388646,"(+/- 9057 )",384320,"(+/- 6947 )",371906,"(+/- 7312 )",371260,"(+/- 10136 )",374699,"(+/- 9417 )",385436,"(+/- 10179 )",354974,"(+/- 10903 )"
People,"Sex and Age",Female,407968,"(+/- 2450 )",365659,"(+/- 7850 )",390865,"(+/- 5488 )",454284,"(+/- 10285 )",384648,"(+/- 11025 )",414262,"(+/- 6997 )",403543,"(+/- 9343 )",404409,"(+/- 3449 )",504484,"(+/- 14794 )",441330,"(+/- 12377 )",435390,"(+/- 7980 )",426229,"(+/- 5618 )",370363,"(+/- 5249 )",416547,"(+/- 9550 )",410927,"(+/- 11728 )",465264,"(+/- 8753 )",403685,"(+/- 7142 )",411200,"(+/- 6570 )",441286,"(+/- 7153 )",389280,"(+/- 9258 )",409301,"(+/- 6783 )",399361,"(+/- 8432 )",393339,"(+/- 8068 )",364289,"(+/- 10957 )",386787,"(+/- 8882 )",399000,"(+/- 10741 )",372908,"(+/- 11949 )"
People,"Sex and Age","Under 5 years",46904,"(+/- 1089 )",38209,"(+/- 2675 )",38207,"(+/- 1926 )",48977,"(+/- 3496 )",45513,"(+/- 3686 )",34036,"(+/- 1808 )",39699,"(+/- 2448 )",33823,"(+/- 1083 )",54682,"(+/- 4135 )",54218,"(+/- 3304 )",30439,"(+/- 3071 )",38709,"(+/- 2074 )",28951,"(+/- 2033 )",44743,"(+/- 4239 )",44931,"(+/- 4196 )",41707,"(+/- 3705 )",29799,"(+/- 2894 )",36915,"(+/- 2851 )",37039,"(+/- 2795 )",40312,"(+/- 3906 )",41122,"(+/- 3359 )",38024,"(+/- 3532 )",44220,"(+/- 3691 )",42293,"(+/- 4032 )",34754,"(+/- 3835 )",44930,"(+/- 4781 )",38798,"(+/- 4881 )"
People,"Sex and Age","5 to 9 years",50702,"(+/- 3752 )",39530,"(+/- 3380 )",42547,"(+/- 3681 )",52997,"(+/- 4720 )",48589,"(+/- 4483 )",37290,"(+/- 3928 )",38757,"(+/- 3471 )",35617,"(+/- 3136 )",58908,"(+/- 5960 )",54204,"(+/- 5388 )",35200,"(+/- 4028 )",38111,"(+/- 3340 )",33374,"(+/- 3717 )",47071,"(+/- 3220 )",48537,"(+/- 5177 )",46779,"(+/- 4067 )",34334,"(+/- 4203 )",37102,"(+/- 3624 )",36070,"(+/- 3358 )",45374,"(+/- 4068 )",43756,"(+/- 4195 )",35273,"(+/- 3786 )",44874,"(+/- 4461 )",41527,"(+/- 4348 )",37016,"(+/- 3717 )",46930,"(+/- 4769 )",35730,"(+/- 3767 )"
People,"Sex and Age","10 to 14 years",50491,"(+/- 3803 )",48690,"(+/- 3902 )",50562,"(+/- 4896 )",55093,"(+/- 4539 )",45124,"(+/- 4430 )",41242,"(+/- 4017 )",43515,"(+/- 4053 )",44596,"(+/- 3275 )",70417,"(+/- 5196 )",66158,"(+/- 5254 )",41468,"(+/- 4133 )",55034,"(+/- 4015 )",30516,"(+/- 3867 )",47019,"(+/- 4458 )",54431,"(+/- 4880 )",55572,"(+/- 4442 )",39398,"(+/- 3525 )",43277,"(+/- 4042 )",43949,"(+/- 3717 )",54704,"(+/- 5399 )",46022,"(+/- 3827 )",38232,"(+/- 4031 )",51649,"(+/- 4742 )",45009,"(+/- 4286 )",46443,"(+/- 4469 )",46272,"(+/- 4178 )",36521,"(+/- 4521 )"
People,"Sex and Age","15 to 19 years",49491,"(+/- 2288 )",50420,"(+/- 3558 )",52562,"(+/- 2860 )",51848,"(+/- 3873 )",45873,"(+/- 4006 )",43590,"(+/- 2654 )",57974,"(+/- 4571 )",40313,"(+/- 2118 )",67273,"(+/- 4767 )",52803,"(+/- 3681 )",36552,"(+/- 2989 )",44297,"(+/- 2407 )",32154,"(+/- 2312 )",51943,"(+/- 3189 )",48089,"(+/- 4634 )",43637,"(+/- 3428 )",41741,"(+/- 4087 )",44870,"(+/- 3624 )",40538,"(+/- 2516 )",48706,"(+/- 4936 )",39332,"(+/- 2793 )",41378,"(+/- 3890 )",42309,"(+/- 2978 )",41584,"(+/- 4017 )",46975,"(+/- 3976 )",48294,"(+/- 3701 )",40483,"(+/- 3295 )"
People,"Sex and Age","20 to 24 years",52592,"(+/- 3003 )",43335,"(+/- 4124 )",71181,"(+/- 3158 )",51778,"(+/- 4344 )",68088,"(+/- 4838 )",42909,"(+/- 2604 )",55937,"(+/- 3847 )",38575,"(+/- 2341 )",61635,"(+/- 4344 )",51429,"(+/- 4240 )",30731,"(+/- 3497 )",39732,"(+/- 2304 )",34088,"(+/- 2323 )",57106,"(+/- 3604 )",53575,"(+/- 4337 )",41722,"(+/- 3052 )",33635,"(+/- 3154 )",36756,"(+/- 3128 )",38690,"(+/- 2477 )",47743,"(+/- 4412 )",38257,"(+/- 3491 )",43051,"(+/- 4810 )",37077,"(+/- 4028 )",48280,"(+/- 3409 )",45435,"(+/- 4101 )",44316,"(+/- 3861 )",36767,"(+/- 4441 )"
People,"Sex and Age","25 to 34 years",112204,"(+/- 3225 )",91222,"(+/- 4999 )",96824,"(+/- 3972 )",114894,"(+/- 6343 )",119526,"(+/- 7171 )",90376,"(+/- 3805 )",125265,"(+/- 5981 )",85535,"(+/- 2130 )",142074,"(+/- 6875 )",133799,"(+/- 7990 )",78607,"(+/- 4992 )",88782,"(+/- 3926 )",92589,"(+/- 3697 )",128159,"(+/- 6435 )",110016,"(+/- 7760 )",101082,"(+/- 6302 )",69216,"(+/- 5309 )",85660,"(+/- 4825 )",85611,"(+/- 3543 )",106463,"(+/- 6467 )",88517,"(+/- 4640 )",101117,"(+/- 5652 )",89448,"(+/- 5196 )",113044,"(+/- 6122 )",91585,"(+/- 5020 )",95925,"(+/- 5322 )",101001,"(+/- 5756 )"
People,"Sex and Age","35 to 44 years",106029,"(+/- 3037 )",90559,"(+/- 3953 )",94361,"(+/- 3343 )",123082,"(+/- 5605 )",94422,"(+/- 5227 )",85228,"(+/- 3303 )",106225,"(+/- 4462 )",85828,"(+/- 2262 )",143096,"(+/- 7878 )",135561,"(+/- 6629 )",83861,"(+/- 4591 )",102123,"(+/- 3193 )",83794,"(+/- 2754 )",112020,"(+/- 4736 )",111429,"(+/- 6202 )",105554,"(+/- 5496 )",76143,"(+/- 5223 )",88288,"(+/- 4374 )",85893,"(+/- 3349 )",101777,"(+/- 5883 )",96376,"(+/- 4665 )",94728,"(+/- 5379 )",110384,"(+/- 6342 )",108203,"(+/- 6864 )",100428,"(+/- 5894 )",101533,"(+/- 6483 )",101937,"(+/- 6698 )"
