Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",715138,"(+/- 10512 )",726415,"(+/- 10512 )"
People,"Sex and Age",Male,361787,"(+/- 5345 )",363817,"(+/- 5407 )"
People,"Sex and Age",Female,353351,"(+/- 6217 )",362598,"(+/- 6695 )"
People,"Sex and Age","Under 5 years",38083,"(+/- 2668 )",43137,"(+/- 2796 )"
People,"Sex and Age","5 to 9 years",38503,"(+/- 3104 )",45154,"(+/- 3312 )"
People,"Sex and Age","10 to 14 years",41601,"(+/- 3843 )",50274,"(+/- 3630 )"
People,"Sex and Age","15 to 19 years",35262,"(+/- 1895 )",41637,"(+/- 2167 )"
People,"Sex and Age","20 to 24 years",42359,"(+/- 3156 )",43856,"(+/- 3167 )"
People,"Sex and Age","25 to 34 years",100230,"(+/- 3173 )",97537,"(+/- 3497 )"
People,"Sex and Age","35 to 44 years",98366,"(+/- 3469 )",92527,"(+/- 4055 )"
People,"Sex and Age","45 to 54 years",87120,"(+/- 2219 )",82240,"(+/- 3032 )"
People,"Sex and Age","55 to 59 years",44901,"(+/- 2679 )",43506,"(+/- 2736 )"
People,"Sex and Age","60 to 64 years",45577,"(+/- 2862 )",47116,"(+/- 2771 )"
People,"Sex and Age","65 to 74 years",76209,"(+/- 2229 )",86347,"(+/- 2352 )"
People,"Sex and Age","75 to 84 years",44924,"(+/- 2354 )",39467,"(+/- 2333 )"
People,"Sex and Age","85 years and over",22003,"(+/- 2129 )",13617,"(+/- 1661 )"
People,"Sex and Age","Median age (years)",40.9,"(+/- 0.6 )",39.4,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",575628,"(+/- 6965 )",561724,"(+/- 7011 )"
People,"Sex and Age","65 years and over",143136,"(+/- 2978 )",139431,"(+/- 2917 )"
People,Race,"Total population",715138,"(+/- 10512 )",726415,"(+/- 10512 )"
People,Race,"One race",548751,"(+/- 12839 )",513341,"(+/- 12180 )"
People,Race,White,118345,"(+/- 5707 )",201332,"(+/- 5775 )"
People,Race,"Black or African American",13540,"(+/- 2416 )",14944,"(+/- 2471 )"
People,Race,"American Indian and Alaska Native",1404,"(+/- 890 )",3433,"(+/- 1831 )"
People,Race,Asian,350494,"(+/- 9568 )",185667,"(+/- 9365 )"
People,Race,"Native Hawaiian and Other Pacific Islander",52073,"(+/- 5647 )",93483,"(+/- 6846 )"
People,Race,"Some other race",12895,"(+/- 3217 )",14482,"(+/- 2927 )"
People,Race,"Two or more races",166387,"(+/- 11229 )",213074,"(+/- 10779 )"
People,"Hispanic or Latino and Race","Total population",715138,"(+/- 10512 )",726415,"(+/- 10512 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",64651,"(+/- 4862 )",95483,"(+/- 4862 )"
People,"Hispanic or Latino and Race",Mexican,19880,"(+/- 3521 )",32605,"(+/- 4639 )"
People,"Hispanic or Latino and Race","Puerto Rican",23076,"(+/- 4158 )",28557,"(+/- 5044 )"
People,"Hispanic or Latino and Race",Cuban,616,"(+/- 326 )",1212,"(+/- 708 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",21079,"(+/- 3379 )",33109,"(+/- 5184 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",650487,"(+/- 9059 )",630932,"(+/- 9059 )"
People,"Place of Birth","Total population",715138,"(+/- 10512 )",726415,"(+/- 10512 )"
People,"Place of Birth",Native,548118,"(+/- 11671 )",623090,"(+/- 11556 )"
People,"Place of Birth","Born in United States",521756,"(+/- 11713 )",608248,"(+/- 12096 )"
People,"Place of Birth","State of residence",357208,"(+/- 9974 )",388291,"(+/- 13760 )"
People,"Place of Birth","Different state",164548,"(+/- 8183 )",219957,"(+/- 8736 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",26362,"(+/- 2987 )",14842,"(+/- 2351 )"
People,"Place of Birth","Foreign born",167020,"(+/- 8840 )",103325,"(+/- 6621 )"
People,Ancestry,"Total population",715138,"(+/- 10512 )",726415,"(+/- 10512 )"
People,Ancestry,American,7822,"(+/- 1670 )",8866,"(+/- 2080 )"
People,Ancestry,Arab,864,"(+/- 654 )",1033,"(+/- 490 )"
People,Ancestry,Czech,64,"(+/- 86 )",2255,"(+/- 1233 )"
People,Ancestry,Danish,1235,"(+/- 603 )",1818,"(+/- 796 )"
People,Ancestry,Dutch,2092,"(+/- 825 )",5716,"(+/- 1737 )"
People,Ancestry,English,33727,"(+/- 4263 )",44951,"(+/- 5285 )"
People,Ancestry,"French (except Basque)",7145,"(+/- 1764 )",7272,"(+/- 1667 )"
People,Ancestry,"French Canadian",1241,"(+/- 826 )",2202,"(+/- 893 )"
People,Ancestry,German,37968,"(+/- 5085 )",47609,"(+/- 4706 )"
People,Ancestry,Greek,705,"(+/- 414 )",1498,"(+/- 936 )"
People,Ancestry,Hungarian,832,"(+/- 449 )",2060,"(+/- 1527 )"
People,Ancestry,Irish,21416,"(+/- 2993 )",38084,"(+/- 4225 )"
People,Ancestry,Italian,12462,"(+/- 2579 )",16291,"(+/- 2813 )"
People,Ancestry,Lithuanian,173,"(+/- 208 )",976,"(+/- 542 )"
People,Ancestry,Norwegian,3880,"(+/- 2246 )",6196,"(+/- 1839 )"
People,Ancestry,Polish,4796,"(+/- 1236 )",6753,"(+/- 1454 )"
People,Ancestry,Portuguese,16202,"(+/- 3552 )",32598,"(+/- 4605 )"
People,Ancestry,Russian,4349,"(+/- 1943 )",4755,"(+/- 1572 )"
People,Ancestry,Scotch-Irish,1578,"(+/- 588 )",3923,"(+/- 1322 )"
People,Ancestry,Scottish,4194,"(+/- 1042 )",10743,"(+/- 1990 )"
People,Ancestry,Slovak,459,"(+/- 460 )",493,"(+/- 304 )"
People,Ancestry,"Subsaharan African",2566,"(+/- 1359 )",1926,"(+/- 744 )"
People,Ancestry,Swedish,4242,"(+/- 1326 )",6060,"(+/- 1577 )"
