Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",1007769,"(+/- 7091 )",893154,"(+/- 7091 )"
People,"Sex and Age",Male,505694,"(+/- 5142 )",448619,"(+/- 5205 )"
People,"Sex and Age",Female,502075,"(+/- 4282 )",444535,"(+/- 4909 )"
People,"Sex and Age","Under 5 years",56588,"(+/- 2216 )",56463,"(+/- 2268 )"
People,"Sex and Age","5 to 9 years",69445,"(+/- 4790 )",60485,"(+/- 3252 )"
People,"Sex and Age","10 to 14 years",70520,"(+/- 4520 )",71577,"(+/- 3635 )"
People,"Sex and Age","15 to 19 years",68512,"(+/- 2689 )",69931,"(+/- 3290 )"
People,"Sex and Age","20 to 24 years",57270,"(+/- 3437 )",62566,"(+/- 3790 )"
People,"Sex and Age","25 to 34 years",125657,"(+/- 4787 )",120783,"(+/- 4731 )"
People,"Sex and Age","35 to 44 years",132121,"(+/- 3948 )",121313,"(+/- 4444 )"
People,"Sex and Age","45 to 54 years",118819,"(+/- 3494 )",97623,"(+/- 4444 )"
People,"Sex and Age","55 to 59 years",61785,"(+/- 3903 )",47819,"(+/- 2693 )"
People,"Sex and Age","60 to 64 years",65577,"(+/- 3770 )",52059,"(+/- 3070 )"
People,"Sex and Age","65 to 74 years",112893,"(+/- 3006 )",81652,"(+/- 3049 )"
People,"Sex and Age","75 to 84 years",51188,"(+/- 2604 )",37947,"(+/- 2536 )"
People,"Sex and Age","85 years and over",17394,"(+/- 2459 )",12936,"(+/- 1693 )"
People,"Sex and Age","Median age (years)",39.0,"(+/- 0.5 )",35.4,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",768864,"(+/- 6441 )",662073,"(+/- 6202 )"
People,"Sex and Age","65 years and over",181475,"(+/- 3467 )",132535,"(+/- 3361 )"
People,Race,"Total population",1007769,"(+/- 7091 )",893154,"(+/- 7091 )"
People,Race,"One race",912212,"(+/- 11080 )",810780,"(+/- 9464 )"
People,Race,White,830089,"(+/- 10959 )",717996,"(+/- 10702 )"
People,Race,"Black or African American",6355,"(+/- 2287 )",7880,"(+/- 2028 )"
People,Race,"American Indian and Alaska Native",11331,"(+/- 2729 )",12659,"(+/- 3830 )"
People,Race,Asian,10597,"(+/- 2268 )",15404,"(+/- 2426 )"
People,Race,"Native Hawaiian and Other Pacific Islander",589,"(+/- 414 )",1140,"(+/- 635 )"
People,Race,"Some other race",53251,"(+/- 7089 )",55701,"(+/- 6671 )"
People,Race,"Two or more races",95557,"(+/- 9483 )",82374,"(+/- 6987 )"
People,"Hispanic or Latino and Race","Total population",1007769,"(+/- 7091 )",893154,"(+/- 7091 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",118842,"(+/- 3889 )",133074,"(+/- 3890 )"
People,"Hispanic or Latino and Race",Mexican,94952,"(+/- 5872 )",110342,"(+/- 4764 )"
People,"Hispanic or Latino and Race","Puerto Rican",2745,"(+/- 1606 )",3128,"(+/- 1200 )"
