Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,"Sex and Age","Total population",676454,"(+/- 15806 )",681277,"(+/- 13064 )",722714,"(+/- 18534 )",640957,"(+/- 17022 )",750823,"(+/- 16266 )",754166,"(+/- 11681 )",747262,"(+/- 17159 )",701275,"(+/- 11419 )",735119,"(+/- 15261 )",719131,"(+/- 8210 )",717925,"(+/- 10449 )",667669,"(+/- 3947 )",690804,"(+/- 8093 )",736577,"(+/- 12115 )",675647,"(+/- 5436 )",686140,"(+/- 7373 )",665076,"(+/- 8977 )",702453,"(+/- 8183 )"
People,"Sex and Age",Male,318950,"(+/- 10343 )",325915,"(+/- 8923 )",362996,"(+/- 11219 )",312771,"(+/- 9945 )",373973,"(+/- 9815 )",376745,"(+/- 7557 )",361687,"(+/- 10763 )",352908,"(+/- 7739 )",361471,"(+/- 9509 )",359652,"(+/- 5216 )",355296,"(+/- 6948 )",333761,"(+/- 2913 )",338932,"(+/- 6092 )",368553,"(+/- 7600 )",339281,"(+/- 3932 )",341223,"(+/- 4571 )",331670,"(+/- 5771 )",348580,"(+/- 4691 )"
People,"Sex and Age",Female,357504,"(+/- 9537 )",355362,"(+/- 9328 )",359718,"(+/- 10867 )",328186,"(+/- 10393 )",376850,"(+/- 9786 )",377421,"(+/- 7646 )",385575,"(+/- 11490 )",348367,"(+/- 7192 )",373648,"(+/- 9834 )",359479,"(+/- 5383 )",362629,"(+/- 6853 )",333908,"(+/- 3384 )",351872,"(+/- 4891 )",368024,"(+/- 7176 )",336366,"(+/- 3654 )",344917,"(+/- 4701 )",333406,"(+/- 4906 )",353873,"(+/- 5129 )"
People,"Sex and Age","Under 5 years",39193,"(+/- 4008 )",36985,"(+/- 4127 )",40052,"(+/- 4486 )",32590,"(+/- 3131 )",45197,"(+/- 4078 )",40701,"(+/- 3622 )",42827,"(+/- 4901 )",42630,"(+/- 4131 )",37955,"(+/- 3263 )",40867,"(+/- 2661 )",42025,"(+/- 3153 )",36717,"(+/- 1151 )",37778,"(+/- 2290 )",37839,"(+/- 3184 )",38655,"(+/- 1735 )",37695,"(+/- 1764 )",35924,"(+/- 2200 )",37921,"(+/- 2060 )"
People,"Sex and Age","5 to 9 years",41247,"(+/- 4065 )",44061,"(+/- 4582 )",44346,"(+/- 4198 )",34002,"(+/- 3821 )",42585,"(+/- 3955 )",51869,"(+/- 4485 )",41278,"(+/- 4050 )",44815,"(+/- 3703 )",46654,"(+/- 3989 )",47796,"(+/- 3681 )",46336,"(+/- 3956 )",42197,"(+/- 2477 )",37339,"(+/- 3145 )",49415,"(+/- 4073 )",42098,"(+/- 2746 )",44109,"(+/- 2573 )",41213,"(+/- 3434 )",44824,"(+/- 3011 )"
People,"Sex and Age","10 to 14 years",39805,"(+/- 4310 )",47969,"(+/- 4736 )",48064,"(+/- 5205 )",43611,"(+/- 4116 )",38051,"(+/- 3438 )",54303,"(+/- 4255 )",39329,"(+/- 4210 )",43302,"(+/- 3645 )",44150,"(+/- 3533 )",48412,"(+/- 3528 )",47749,"(+/- 3435 )",40673,"(+/- 2774 )",37575,"(+/- 2380 )",56082,"(+/- 4324 )",44655,"(+/- 2509 )",42025,"(+/- 2808 )",40823,"(+/- 2487 )",48435,"(+/- 2687 )"
People,"Sex and Age","15 to 19 years",43027,"(+/- 4057 )",49144,"(+/- 3383 )",45943,"(+/- 4265 )",46281,"(+/- 4209 )",35485,"(+/- 3093 )",51678,"(+/- 3081 )",39140,"(+/- 4115 )",45715,"(+/- 3623 )",46227,"(+/- 3892 )",54314,"(+/- 2835 )",55239,"(+/- 4101 )",42337,"(+/- 2690 )",58300,"(+/- 3430 )",53889,"(+/- 4345 )",44344,"(+/- 2879 )",44368,"(+/- 2724 )",45048,"(+/- 2515 )",42873,"(+/- 2244 )"
People,"Sex and Age","20 to 24 years",37046,"(+/- 3754 )",43357,"(+/- 4165 )",43518,"(+/- 3945 )",44953,"(+/- 3369 )",48401,"(+/- 4535 )",38683,"(+/- 3391 )",56684,"(+/- 4581 )",43389,"(+/- 3799 )",39925,"(+/- 4217 )",45469,"(+/- 2701 )",49756,"(+/- 4293 )",40795,"(+/- 2249 )",67024,"(+/- 3639 )",40132,"(+/- 3883 )",34859,"(+/- 2659 )",44382,"(+/- 2689 )",40494,"(+/- 2732 )",43805,"(+/- 3541 )"
People,"Sex and Age","25 to 34 years",91630,"(+/- 5822 )",86935,"(+/- 5650 )",85591,"(+/- 5880 )",109275,"(+/- 5908 )",157639,"(+/- 5974 )",84233,"(+/- 5513 )",158124,"(+/- 9033 )",99138,"(+/- 5179 )",94579,"(+/- 5757 )",81136,"(+/- 3246 )",89032,"(+/- 4158 )",82974,"(+/- 2770 )",85754,"(+/- 4313 )",81415,"(+/- 4722 )",76344,"(+/- 2430 )",82059,"(+/- 3362 )",77549,"(+/- 3117 )",82022,"(+/- 3185 )"
People,"Sex and Age","35 to 44 years",86334,"(+/- 5643 )",81590,"(+/- 5448 )",94498,"(+/- 6026 )",97176,"(+/- 5635 )",120060,"(+/- 6266 )",94418,"(+/- 4977 )",110317,"(+/- 6781 )",96156,"(+/- 6117 )",97031,"(+/- 5602 )",95788,"(+/- 3906 )",100942,"(+/- 4653 )",86928,"(+/- 2564 )",82979,"(+/- 4009 )",100861,"(+/- 5113 )",85451,"(+/- 2753 )",85013,"(+/- 2983 )",78667,"(+/- 2700 )",90230,"(+/- 2666 )"
