Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",735140,"(+/- 2800 )",729230,"(+/- 4150 )",761500,"(+/- 2932 )",769259,"(+/- 5145 )",822535,"(+/- 8284 )",721123,"(+/- 4183 )",775837,"(+/- 8086 )",717065,"(+/- 2569 )",774296,"(+/- 5869 )"
People,"Sex and Age",Male,363372,"(+/- 2418 )",360546,"(+/- 3470 )",378835,"(+/- 2011 )",385610,"(+/- 3710 )",405285,"(+/- 5538 )",359729,"(+/- 3360 )",375247,"(+/- 5004 )",359568,"(+/- 2248 )",386739,"(+/- 4484 )"
People,"Sex and Age",Female,371768,"(+/- 2261 )",368684,"(+/- 3070 )",382665,"(+/- 2052 )",383649,"(+/- 3559 )",417250,"(+/- 6978 )",361394,"(+/- 3193 )",400590,"(+/- 6202 )",357497,"(+/- 2223 )",387557,"(+/- 3374 )"
People,"Sex and Age","Under 5 years",39320,"(+/- 1082 )",46775,"(+/- 1545 )",51810,"(+/- 954 )",41023,"(+/- 1154 )",49000,"(+/- 2999 )",41317,"(+/- 1705 )",54150,"(+/- 2783 )",42328,"(+/- 1237 )",42307,"(+/- 1631 )"
People,"Sex and Age","5 to 9 years",42102,"(+/- 2883 )",47124,"(+/- 2792 )",52149,"(+/- 2372 )",44521,"(+/- 2857 )",57076,"(+/- 5040 )",42622,"(+/- 2587 )",50979,"(+/- 3966 )",44710,"(+/- 2672 )",46714,"(+/- 3796 )"
People,"Sex and Age","10 to 14 years",52140,"(+/- 2978 )",52306,"(+/- 3519 )",55285,"(+/- 2498 )",54157,"(+/- 2765 )",55268,"(+/- 4100 )",45489,"(+/- 2551 )",59733,"(+/- 4156 )",43787,"(+/- 2678 )",51117,"(+/- 3881 )"
People,"Sex and Age","15 to 19 years",49218,"(+/- 1668 )",53680,"(+/- 2227 )",50074,"(+/- 1323 )",60560,"(+/- 2624 )",51096,"(+/- 2858 )",47315,"(+/- 2499 )",53540,"(+/- 2436 )",48442,"(+/- 2100 )",58840,"(+/- 3618 )"
People,"Sex and Age","20 to 24 years",44617,"(+/- 1625 )",50248,"(+/- 2537 )",50442,"(+/- 1410 )",64786,"(+/- 2388 )",47963,"(+/- 2891 )",52006,"(+/- 2460 )",54819,"(+/- 2249 )",46207,"(+/- 2262 )",57192,"(+/- 3439 )"
People,"Sex and Age","25 to 34 years",91143,"(+/- 1795 )",88833,"(+/- 2294 )",97886,"(+/- 2072 )",95902,"(+/- 3152 )",106972,"(+/- 4925 )",86095,"(+/- 2633 )",129762,"(+/- 4066 )",88867,"(+/- 2106 )",97265,"(+/- 2573 )"
People,"Sex and Age","35 to 44 years",96351,"(+/- 1513 )",89994,"(+/- 2287 )",94542,"(+/- 1605 )",94369,"(+/- 2490 )",115096,"(+/- 3957 )",86767,"(+/- 2151 )",102855,"(+/- 2783 )",90231,"(+/- 1760 )",101527,"(+/- 2746 )"
People,"Sex and Age","45 to 54 years",90682,"(+/- 1475 )",87950,"(+/- 2041 )",88412,"(+/- 1508 )",93126,"(+/- 2919 )",105128,"(+/- 3602 )",87665,"(+/- 1678 )",88195,"(+/- 2755 )",84384,"(+/- 1500 )",92522,"(+/- 1926 )"
