Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",776069,"(+/- 1870 )",785047,"(+/- 1532 )",867614,"(+/- 1532 )",764349,"(+/- 1870 )"
People,"Sex and Age",Male,387415,"(+/- 1696 )",395954,"(+/- 2817 )",431483,"(+/- 1579 )",388415,"(+/- 1985 )"
People,"Sex and Age",Female,388654,"(+/- 1891 )",389093,"(+/- 2885 )",436131,"(+/- 1824 )",375934,"(+/- 2035 )"
People,"Sex and Age","Under 5 years",45257,"(+/- 1392 )",45345,"(+/- 1354 )",54241,"(+/- 944 )",42414,"(+/- 1455 )"
People,"Sex and Age","5 to 9 years",47155,"(+/- 2489 )",49384,"(+/- 3106 )",58085,"(+/- 3092 )",46862,"(+/- 2532 )"
People,"Sex and Age","10 to 14 years",52655,"(+/- 2848 )",50666,"(+/- 3020 )",62124,"(+/- 3306 )",50851,"(+/- 2367 )"
People,"Sex and Age","15 to 19 years",53913,"(+/- 2111 )",54436,"(+/- 2147 )",56352,"(+/- 1722 )",61187,"(+/- 2472 )"
People,"Sex and Age","20 to 24 years",52087,"(+/- 2003 )",61137,"(+/- 2431 )",53424,"(+/- 1842 )",58243,"(+/- 2756 )"
People,"Sex and Age","25 to 34 years",91267,"(+/- 2096 )",95960,"(+/- 2659 )",117876,"(+/- 2043 )",85704,"(+/- 1795 )"
People,"Sex and Age","35 to 44 years",97385,"(+/- 2082 )",98342,"(+/- 2346 )",123702,"(+/- 2003 )",89537,"(+/- 1889 )"
People,"Sex and Age","45 to 54 years",87149,"(+/- 1659 )",86491,"(+/- 2110 )",102036,"(+/- 1408 )",79790,"(+/- 1792 )"
People,"Sex and Age","55 to 59 years",50413,"(+/- 2080 )",50385,"(+/- 2784 )",48991,"(+/- 2563 )",44998,"(+/- 2671 )"
People,"Sex and Age","60 to 64 years",53208,"(+/- 2235 )",51840,"(+/- 2701 )",57694,"(+/- 2583 )",56912,"(+/- 2738 )"
People,"Sex and Age","65 to 74 years",86099,"(+/- 1162 )",85299,"(+/- 1131 )",81862,"(+/- 1006 )",85465,"(+/- 883 )"
People,"Sex and Age","75 to 84 years",40971,"(+/- 1532 )",39563,"(+/- 1766 )",36307,"(+/- 1574 )",42958,"(+/- 1895 )"
People,"Sex and Age","85 years and over",18510,"(+/- 1512 )",16199,"(+/- 1737 )",14920,"(+/- 1395 )",19428,"(+/- 1680 )"
People,"Sex and Age","Median age (years)",39.6,"(+/- 0.4 )",38.5,"(+/- 0.5 )",37.4,"(+/- 0.3 )",39.2,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",600049,"(+/- 1460 )",607605,"(+/- 2145 )",657242,"(+/- 1442 )",591199,"(+/- 1552 )"
People,"Sex and Age","65 years and over",145580,"(+/- 1323 )",141061,"(+/- 1298 )",133089,"(+/- 1063 )",147851,"(+/- 1204 )"
People,Race,"Total population",776069,"(+/- 1870 )",785047,"(+/- 1532 )",867614,"(+/- 1532 )",764349,"(+/- 1870 )"
People,Race,"One race",730396,"(+/- 4838 )",730819,"(+/- 4964 )",807830,"(+/- 6674 )",707932,"(+/- 5455 )"
People,Race,White,668618,"(+/- 3604 )",662774,"(+/- 4041 )",710667,"(+/- 5058 )",654641,"(+/- 3744 )"
People,Race,"Black or African American",30751,"(+/- 2427 )",27742,"(+/- 2857 )",44520,"(+/- 2767 )",12160,"(+/- 1679 )"
People,Race,"American Indian and Alaska Native",5376,"(+/- 1673 )",2415,"(+/- 1101 )",2315,"(+/- 956 )",5182,"(+/- 1121 )"
People,Race,Asian,11546,"(+/- 1484 )",18132,"(+/- 1996 )",30710,"(+/- 2369 )",14985,"(+/- 2216 )"
People,Race,"Native Hawaiian and Other Pacific Islander",1768,"(+/- 990 )",385,"(+/- 410 )",307,"(+/- 267 )",2399,"(+/- 1567 )"
People,Race,"Some other race",12337,"(+/- 3022 )",19371,"(+/- 3435 )",19311,"(+/- 4032 )",18565,"(+/- 2958 )"
People,Race,"Two or more races",45673,"(+/- 4462 )",54228,"(+/- 4828 )",59784,"(+/- 6248 )",56417,"(+/- 4995 )"
People,"Hispanic or Latino and Race","Total population",776069,"(+/- 1870 )",785047,"(+/- 1532 )",867614,"(+/- 1532 )",764349,"(+/- 1870 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",36230,"(+/- 734 )",49033,"(+/- 1152 )",65493,"(+/- 527 )",61550,"(+/- 501 )"
People,"Hispanic or Latino and Race",Mexican,26429,"(+/- 2063 )",34473,"(+/- 3065 )",49601,"(+/- 3254 )",43355,"(+/- 3044 )"
People,"Hispanic or Latino and Race","Puerto Rican",2090,"(+/- 900 )",2299,"(+/- 1083 )",1792,"(+/- 1279 )",1955,"(+/- 1027 )"
People,"Hispanic or Latino and Race",Cuban,1013,"(+/- 540 )",731,"(+/- 507 )",951,"(+/- 585 )",902,"(+/- 588 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6698,"(+/- 2218 )",11530,"(+/- 2864 )",13149,"(+/- 2954 )",15338,"(+/- 2966 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",739839,"(+/- 1976 )",736014,"(+/- 1730 )",802121,"(+/- 1525 )",702799,"(+/- 1872 )"
People,"Place of Birth","Total population",776069,"(+/- 1870 )",785047,"(+/- 1532 )",867614,"(+/- 1532 )",764349,"(+/- 1870 )"
People,"Place of Birth",Native,741650,"(+/- 3950 )",752024,"(+/- 3427 )",802889,"(+/- 4758 )",723495,"(+/- 3445 )"
People,"Place of Birth","Born in United States",737298,"(+/- 3811 )",744666,"(+/- 3947 )",795654,"(+/- 5157 )",717148,"(+/- 3762 )"
People,"Place of Birth","State of residence",586315,"(+/- 6559 )",538771,"(+/- 8600 )",576988,"(+/- 8868 )",551447,"(+/- 6756 )"
People,"Place of Birth","Different state",150983,"(+/- 6349 )",205895,"(+/- 8428 )",218666,"(+/- 8507 )",165701,"(+/- 6336 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4352,"(+/- 1004 )",7358,"(+/- 2019 )",7235,"(+/- 2009 )",6347,"(+/- 1561 )"
People,"Place of Birth","Foreign born",34419,"(+/- 3629 )",33023,"(+/- 3164 )",64725,"(+/- 4556 )",40854,"(+/- 3106 )"
People,Ancestry,"Total population",776069,"(+/- 1870 )",785047,"(+/- 1532 )",867614,"(+/- 1532 )",764349,"(+/- 1870 )"
People,Ancestry,American,35268,"(+/- 4202 )",34776,"(+/- 3634 )",36454,"(+/- 4997 )",32939,"(+/- 4175 )"
People,Ancestry,Arab,4457,"(+/- 2576 )",2617,"(+/- 2030 )",4686,"(+/- 2098 )",1261,"(+/- 887 )"
People,Ancestry,Czech,24901,"(+/- 3191 )",10343,"(+/- 1840 )",6403,"(+/- 1482 )",7468,"(+/- 1879 )"
People,Ancestry,Danish,7207,"(+/- 1688 )",5992,"(+/- 1461 )",14798,"(+/- 2032 )",15919,"(+/- 2188 )"
People,Ancestry,Dutch,13151,"(+/- 2420 )",29895,"(+/- 4092 )",23130,"(+/- 3601 )",40572,"(+/- 3244 )"
People,Ancestry,English,72976,"(+/- 4961 )",87850,"(+/- 6720 )",108696,"(+/- 7061 )",61006,"(+/- 3946 )"
People,Ancestry,"French (except Basque)",13049,"(+/- 2708 )",12936,"(+/- 2526 )",12986,"(+/- 2996 )",10618,"(+/- 1588 )"
People,Ancestry,"French Canadian",1716,"(+/- 734 )",1081,"(+/- 453 )",1678,"(+/- 828 )",1176,"(+/- 410 )"
People,Ancestry,German,283010,"(+/- 9539 )",222799,"(+/- 8892 )",233496,"(+/- 9360 )",260644,"(+/- 8027 )"
People,Ancestry,Greek,851,"(+/- 392 )",2729,"(+/- 999 )",2106,"(+/- 1017 )",936,"(+/- 436 )"
People,Ancestry,Hungarian,574,"(+/- 347 )",987,"(+/- 582 )",2392,"(+/- 2426 )",304,"(+/- 254 )"
People,Ancestry,Irish,107700,"(+/- 6113 )",99569,"(+/- 5795 )",113119,"(+/- 8582 )",84569,"(+/- 4949 )"
People,Ancestry,Italian,11799,"(+/- 3054 )",12720,"(+/- 2177 )",25785,"(+/- 4115 )",7465,"(+/- 1171 )"
People,Ancestry,Lithuanian,603,"(+/- 416 )",784,"(+/- 811 )",676,"(+/- 470 )",592,"(+/- 493 )"
People,Ancestry,Norwegian,35330,"(+/- 3515 )",17722,"(+/- 3334 )",31405,"(+/- 4409 )",47711,"(+/- 3490 )"
People,Ancestry,Polish,7412,"(+/- 1867 )",12307,"(+/- 2117 )",10715,"(+/- 2231 )",6578,"(+/- 1646 )"
People,Ancestry,Portuguese,311,"(+/- 206 )",92,"(+/- 90 )",559,"(+/- 408 )",569,"(+/- 449 )"
People,Ancestry,Russian,2106,"(+/- 794 )",2330,"(+/- 994 )",2063,"(+/- 847 )",1419,"(+/- 545 )"
People,Ancestry,Scotch-Irish,4732,"(+/- 1523 )",4613,"(+/- 1020 )",6017,"(+/- 1415 )",2922,"(+/- 1023 )"
People,Ancestry,Scottish,9461,"(+/- 1560 )",12435,"(+/- 2662 )",13321,"(+/- 1827 )",10746,"(+/- 1825 )"
People,Ancestry,Slovak,1130,"(+/- 800 )",506,"(+/- 327 )",666,"(+/- 499 )",69,"(+/- 91 )"
People,Ancestry,"Subsaharan African",9059,"(+/- 3526 )",10141,"(+/- 2848 )",19248,"(+/- 4844 )",4151,"(+/- 1535 )"
People,Ancestry,Swedish,9981,"(+/- 1261 )",16015,"(+/- 2135 )",21907,"(+/- 3215 )",19355,"(+/- 2267 )"
People,Ancestry,Swiss,3318,"(+/- 821 )",4506,"(+/- 1317 )",2522,"(+/- 1154 )",3108,"(+/- 1001 )"
People,Ancestry,Ukrainian,569,"(+/- 407 )",734,"(+/- 496 )",543,"(+/- 360 )",329,"(+/- 225 )"
People,Ancestry,Welsh,4136,"(+/- 1493 )",5765,"(+/- 1199 )",5997,"(+/- 1634 )",3021,"(+/- 863 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1254,"(+/- 1173 )",401,"(+/- 284 )",714,"(+/- 776 )",105,"(+/- 125 )"
People,"Veteran Status","Civilian population 18 years and over",599871,"(+/- 1461 )",606522,"(+/- 2174 )",654845,"(+/- 2037 )",590501,"(+/- 1651 )"
People,"Veteran Status","Civilian veterans",43997,"(+/- 2251 )",37256,"(+/- 2722 )",42400,"(+/- 3129 )",38705,"(+/- 2391 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",767047,"(+/- 2436 )",774204,"(+/- 2251 )",856449,"(+/- 2673 )",753482,"(+/- 2222 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",95074,"(+/- 5672 )",105372,"(+/- 5591 )",100872,"(+/- 4806 )",92498,"(+/- 3581 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",175311,"(+/- 1382 )",177316,"(+/- 1642 )",209816,"(+/- 1206 )",172422,"(+/- 1431 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",8421,"(+/- 1788 )",8870,"(+/- 1808 )",8687,"(+/- 1890 )",6322,"(+/- 1140 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",451149,"(+/- 1988 )",460311,"(+/- 2756 )",517247,"(+/- 2737 )",439140,"(+/- 2115 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46817,"(+/- 3971 )",51389,"(+/- 3875 )",51348,"(+/- 4097 )",45062,"(+/- 2887 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",140587,"(+/- 1598 )",136577,"(+/- 1464 )",129386,"(+/- 1281 )",141920,"(+/- 1349 )"
