Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",697903,"(+/- 2566 )",711743,"(+/- 2950 )",794125,"(+/- 2174 )",730811,"(+/- 2001 )"
People,"Sex and Age",Male,356673,"(+/- 3552 )",360228,"(+/- 3083 )",393759,"(+/- 1778 )",363950,"(+/- 1579 )"
People,"Sex and Age",Female,341230,"(+/- 3202 )",351515,"(+/- 2754 )",400366,"(+/- 1662 )",366861,"(+/- 1991 )"
People,"Sex and Age","Under 5 years",43978,"(+/- 1792 )",38399,"(+/- 1168 )",49664,"(+/- 616 )",45526,"(+/- 958 )"
People,"Sex and Age","5 to 9 years",46378,"(+/- 2579 )",45340,"(+/- 2322 )",54217,"(+/- 2857 )",46724,"(+/- 2662 )"
People,"Sex and Age","10 to 14 years",48919,"(+/- 2854 )",44632,"(+/- 2737 )",57762,"(+/- 2795 )",58105,"(+/- 2818 )"
People,"Sex and Age","15 to 19 years",51682,"(+/- 3031 )",54724,"(+/- 2642 )",51473,"(+/- 1725 )",51989,"(+/- 1568 )"
People,"Sex and Age","20 to 24 years",57460,"(+/- 3344 )",52049,"(+/- 3131 )",47619,"(+/- 1702 )",45809,"(+/- 1687 )"
People,"Sex and Age","25 to 34 years",86889,"(+/- 3816 )",85642,"(+/- 3298 )",106846,"(+/- 1319 )",97154,"(+/- 1146 )"
People,"Sex and Age","35 to 44 years",84895,"(+/- 3311 )",89918,"(+/- 2700 )",112910,"(+/- 1028 )",91262,"(+/- 1210 )"
People,"Sex and Age","45 to 54 years",70974,"(+/- 2905 )",77178,"(+/- 2294 )",98126,"(+/- 866 )",80595,"(+/- 1275 )"
People,"Sex and Age","55 to 59 years",39389,"(+/- 2382 )",44485,"(+/- 3006 )",48432,"(+/- 2718 )",43540,"(+/- 3130 )"
People,"Sex and Age","60 to 64 years",48647,"(+/- 2777 )",49501,"(+/- 2566 )",47954,"(+/- 2745 )",48120,"(+/- 3100 )"
People,"Sex and Age","65 to 74 years",68933,"(+/- 1319 )",77940,"(+/- 1412 )",73695,"(+/- 907 )",73981,"(+/- 931 )"
People,"Sex and Age","75 to 84 years",33283,"(+/- 1800 )",37974,"(+/- 1594 )",33661,"(+/- 1846 )",34468,"(+/- 1695 )"
People,"Sex and Age","85 years and over",16476,"(+/- 1420 )",13961,"(+/- 1503 )",11766,"(+/- 1702 )",13538,"(+/- 1437 )"
