Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE"
People,"Sex and Age","Total population",713098,"(+/- 3929 )",786202,"(+/- 4434 )",751181,"(+/- 3697 )",783484,"(+/- 5554 )",689987,"(+/- 4218 )",785442,"(+/- 4955 )"
People,"Sex and Age",Male,354419,"(+/- 3325 )",388032,"(+/- 4005 )",364302,"(+/- 2190 )",391093,"(+/- 3689 )",346044,"(+/- 3346 )",385438,"(+/- 3574 )"
People,"Sex and Age",Female,358679,"(+/- 3150 )",398170,"(+/- 3575 )",386879,"(+/- 2074 )",392391,"(+/- 3638 )",343943,"(+/- 3552 )",400004,"(+/- 4004 )"
People,"Sex and Age","Under 5 years",41262,"(+/- 1562 )",45230,"(+/- 1535 )",44655,"(+/- 1112 )",45569,"(+/- 1917 )",37540,"(+/- 1557 )",45022,"(+/- 1557 )"
People,"Sex and Age","5 to 9 years",45142,"(+/- 3066 )",48847,"(+/- 2942 )",44675,"(+/- 2590 )",50161,"(+/- 3363 )",41866,"(+/- 3347 )",47404,"(+/- 2812 )"
People,"Sex and Age","10 to 14 years",44805,"(+/- 2749 )",56757,"(+/- 3262 )",47102,"(+/- 2662 )",55906,"(+/- 3550 )",46397,"(+/- 3399 )",48149,"(+/- 2569 )"
People,"Sex and Age","15 to 19 years",47445,"(+/- 2743 )",54939,"(+/- 2723 )",45511,"(+/- 813 )",50911,"(+/- 2358 )",48437,"(+/- 2913 )",58851,"(+/- 2683 )"
People,"Sex and Age","20 to 24 years",49391,"(+/- 2474 )",52552,"(+/- 2762 )",47474,"(+/- 752 )",42412,"(+/- 2002 )",35204,"(+/- 2624 )",61911,"(+/- 3051 )"
People,"Sex and Age","25 to 34 years",83248,"(+/- 2917 )",98939,"(+/- 2772 )",111147,"(+/- 1359 )",101262,"(+/- 2753 )",83797,"(+/- 2760 )",104586,"(+/- 2856 )"
People,"Sex and Age","35 to 44 years",89523,"(+/- 2933 )",96856,"(+/- 2788 )",97122,"(+/- 1122 )",105420,"(+/- 2380 )",85821,"(+/- 2640 )",98658,"(+/- 2639 )"
People,"Sex and Age","45 to 54 years",80586,"(+/- 2109 )",96072,"(+/- 2208 )",88252,"(+/- 1315 )",99866,"(+/- 2249 )",86528,"(+/- 1972 )",101002,"(+/- 2592 )"
People,"Sex and Age","55 to 59 years",45846,"(+/- 2633 )",53796,"(+/- 2999 )",46789,"(+/- 2843 )",53464,"(+/- 2789 )",49866,"(+/- 3150 )",48743,"(+/- 3065 )"
People,"Sex and Age","60 to 64 years",49879,"(+/- 2557 )",53231,"(+/- 2939 )",51470,"(+/- 2811 )",52195,"(+/- 3127 )",47865,"(+/- 3072 )",47622,"(+/- 3053 )"
People,"Sex and Age","65 to 74 years",81096,"(+/- 1689 )",79481,"(+/- 1673 )",77972,"(+/- 1319 )",80095,"(+/- 1685 )",79863,"(+/- 2040 )",77253,"(+/- 1637 )"
People,"Sex and Age","75 to 84 years",40425,"(+/- 1926 )",36235,"(+/- 1690 )",33547,"(+/- 2005 )",36752,"(+/- 1567 )",35037,"(+/- 2284 )",35023,"(+/- 1859 )"
People,"Sex and Age","85 years and over",14450,"(+/- 1716 )",13267,"(+/- 1410 )",15465,"(+/- 1877 )",9471,"(+/- 1427 )",11766,"(+/- 1882 )",11218,"(+/- 1431 )"
People,"Sex and Age","Median age (years)",40.1,"(+/- 0.5 )",38.9,"(+/- 0.4 )",38.4,"(+/- 0.3 )",39.6,"(+/- 0.5 )",40.7,"(+/- 0.3 )",37.5,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",553539,"(+/- 3053 )",603714,"(+/- 3488 )",586775,"(+/- 2596 )",598201,"(+/- 3780 )",535835,"(+/- 4250 )",615875,"(+/- 4071 )"
People,"Sex and Age","65 years and over",135971,"(+/- 2269 )",128983,"(+/- 1963 )",126984,"(+/- 1349 )",126318,"(+/- 1841 )",126666,"(+/- 2362 )",123494,"(+/- 2277 )"
People,Race,"Total population",713098,"(+/- 3929 )",786202,"(+/- 4434 )",751181,"(+/- 3697 )",783484,"(+/- 5554 )",689987,"(+/- 4218 )",785442,"(+/- 4955 )"
People,Race,"One race",678784,"(+/- 5512 )",740643,"(+/- 6443 )",672183,"(+/- 7508 )",734740,"(+/- 7060 )",667109,"(+/- 4990 )",729938,"(+/- 6423 )"
People,Race,White,618389,"(+/- 4465 )",673656,"(+/- 5118 )",484534,"(+/- 4081 )",689727,"(+/- 5454 )",652572,"(+/- 4515 )",637561,"(+/- 4932 )"
People,Race,"Black or African American",45228,"(+/- 3200 )",37877,"(+/- 3571 )",157191,"(+/- 5719 )",18187,"(+/- 3289 )",8979,"(+/- 1491 )",57172,"(+/- 3447 )"
People,Race,"American Indian and Alaska Native",2248,"(+/- 791 )",1814,"(+/- 886 )",1083,"(+/- 704 )",2144,"(+/- 1069 )",1133,"(+/- 530 )",1935,"(+/- 815 )"
People,Race,Asian,3282,"(+/- 1171 )",13792,"(+/- 823 )",19124,"(+/- 2552 )",10624,"(+/- 1845 )",1564,"(+/- 778 )",15928,"(+/- 1236 )"
People,Race,"Native Hawaiian and Other Pacific Islander",2039,"(+/- 1903 )",1260,"(+/- 1404 )",179,"(+/- 185 )",1283,"(+/- 1155 )",201,"(+/- 363 )",26,"(+/- 47 )"
People,Race,"Some other race",7598,"(+/- 2169 )",12244,"(+/- 3163 )",10072,"(+/- 2047 )",12775,"(+/- 2142 )",2660,"(+/- 1053 )",17316,"(+/- 3330 )"
People,Race,"Two or more races",34314,"(+/- 3767 )",45559,"(+/- 4585 )",78998,"(+/- 6506 )",48744,"(+/- 3679 )",22878,"(+/- 3381 )",55504,"(+/- 4615 )"
People,"Hispanic or Latino and Race","Total population",713098,"(+/- 3929 )",786202,"(+/- 4434 )",751181,"(+/- 3697 )",783484,"(+/- 5554 )",689987,"(+/- 4218 )",785442,"(+/- 4955 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",23124,"(+/- 1413 )",28933,"(+/- 1184 )",50119,"(+/- 774 )",26902,"(+/- 882 )",7839,"(+/- 1667 )",39830,"(+/- 1220 )"
People,"Hispanic or Latino and Race",Mexican,15284,"(+/- 2240 )",15068,"(+/- 2001 )",17840,"(+/- 3547 )",13380,"(+/- 1913 )",4262,"(+/- 1323 )",26575,"(+/- 3097 )"
People,"Hispanic or Latino and Race","Puerto Rican",2939,"(+/- 1242 )",3765,"(+/- 1301 )",2797,"(+/- 1186 )",2546,"(+/- 990 )",693,"(+/- 685 )",2808,"(+/- 1207 )"
People,"Hispanic or Latino and Race",Cuban,537,"(+/- 655 )",2153,"(+/- 1274 )",16242,"(+/- 4262 )",1396,"(+/- 681 )",60,"(+/- 85 )",953,"(+/- 805 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",4364,"(+/- 1650 )",7947,"(+/- 1896 )",13240,"(+/- 3475 )",9580,"(+/- 1744 )",2824,"(+/- 1008 )",9494,"(+/- 2665 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",689974,"(+/- 3755 )",757269,"(+/- 4478 )",701062,"(+/- 3780 )",756582,"(+/- 5757 )",682148,"(+/- 4435 )",745612,"(+/- 4918 )"
People,"Place of Birth","Total population",713098,"(+/- 3929 )",786202,"(+/- 4434 )",751181,"(+/- 3697 )",783484,"(+/- 5554 )",689987,"(+/- 4218 )",785442,"(+/- 4955 )"
People,"Place of Birth",Native,702113,"(+/- 4365 )",758358,"(+/- 5437 )",682098,"(+/- 8811 )",756458,"(+/- 5400 )",685269,"(+/- 4579 )",743087,"(+/- 6353 )"
People,"Place of Birth","Born in United States",696913,"(+/- 4731 )",749853,"(+/- 5995 )",676118,"(+/- 9465 )",751327,"(+/- 5843 )",682852,"(+/- 4649 )",736601,"(+/- 6440 )"
People,"Place of Birth","State of residence",480284,"(+/- 8403 )",553766,"(+/- 9119 )",489197,"(+/- 10223 )",476466,"(+/- 9954 )",541436,"(+/- 8213 )",529551,"(+/- 9073 )"
People,"Place of Birth","Different state",216629,"(+/- 7094 )",196087,"(+/- 9073 )",186921,"(+/- 7121 )",274861,"(+/- 9173 )",141416,"(+/- 7750 )",207050,"(+/- 8576 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5200,"(+/- 1468 )",8505,"(+/- 1978 )",5980,"(+/- 1457 )",5131,"(+/- 1379 )",2417,"(+/- 870 )",6486,"(+/- 1589 )"
People,"Place of Birth","Foreign born",10985,"(+/- 2588 )",27844,"(+/- 3207 )",69083,"(+/- 8489 )",27026,"(+/- 3607 )",4718,"(+/- 1448 )",42355,"(+/- 4338 )"
People,Ancestry,"Total population",713098,"(+/- 3929 )",786202,"(+/- 4434 )",751181,"(+/- 3697 )",783484,"(+/- 5554 )",689987,"(+/- 4218 )",785442,"(+/- 4955 )"
People,Ancestry,American,77346,"(+/- 7249 )",107538,"(+/- 8241 )",36527,"(+/- 4051 )",67867,"(+/- 6694 )",121756,"(+/- 7360 )",102838,"(+/- 6956 )"
People,Ancestry,Arab,1125,"(+/- 676 )",480,"(+/- 395 )",6839,"(+/- 3162 )",1948,"(+/- 1251 )",155,"(+/- 190 )",4775,"(+/- 2322 )"
People,Ancestry,Czech,1075,"(+/- 652 )",587,"(+/- 429 )",976,"(+/- 432 )",609,"(+/- 438 )",566,"(+/- 688 )",546,"(+/- 318 )"
People,Ancestry,Danish,733,"(+/- 393 )",543,"(+/- 345 )",988,"(+/- 746 )",196,"(+/- 150 )",192,"(+/- 201 )",771,"(+/- 539 )"
People,Ancestry,Dutch,5288,"(+/- 1409 )",5029,"(+/- 2206 )",4988,"(+/- 1151 )",7091,"(+/- 1972 )",1889,"(+/- 800 )",7291,"(+/- 2140 )"
People,Ancestry,English,105521,"(+/- 6957 )",117834,"(+/- 7411 )",94932,"(+/- 7774 )",136143,"(+/- 8065 )",102075,"(+/- 7665 )",124663,"(+/- 7008 )"
People,Ancestry,"French (except Basque)",4363,"(+/- 1368 )",9386,"(+/- 2301 )",12760,"(+/- 1986 )",14940,"(+/- 3343 )",3587,"(+/- 1084 )",10863,"(+/- 2470 )"
People,Ancestry,"French Canadian",747,"(+/- 443 )",2994,"(+/- 1891 )",1321,"(+/- 631 )",942,"(+/- 441 )",355,"(+/- 470 )",1898,"(+/- 927 )"
People,Ancestry,German,63919,"(+/- 5437 )",90735,"(+/- 7695 )",120631,"(+/- 7504 )",201269,"(+/- 9674 )",50719,"(+/- 7056 )",87867,"(+/- 7474 )"
