Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",716258,"(+/- 3737 )",655989,"(+/- 3737 )"
People,"Sex and Age",Male,349351,"(+/- 2707 )",324132,"(+/- 2398 )"
People,"Sex and Age",Female,366907,"(+/- 2339 )",331857,"(+/- 2319 )"
People,"Sex and Age","Under 5 years",32856,"(+/- 647 )",28178,"(+/- 563 )"
People,"Sex and Age","5 to 9 years",34996,"(+/- 2955 )",34077,"(+/- 2238 )"
People,"Sex and Age","10 to 14 years",39410,"(+/- 2911 )",33847,"(+/- 2156 )"
People,"Sex and Age","15 to 19 years",37006,"(+/- 1200 )",39215,"(+/- 1449 )"
People,"Sex and Age","20 to 24 years",40715,"(+/- 1687 )",36869,"(+/- 1280 )"
People,"Sex and Age","25 to 34 years",91820,"(+/- 2161 )",73846,"(+/- 1767 )"
People,"Sex and Age","35 to 44 years",90692,"(+/- 1976 )",76757,"(+/- 1615 )"
People,"Sex and Age","45 to 54 years",88005,"(+/- 1831 )",82694,"(+/- 1743 )"
People,"Sex and Age","55 to 59 years",52346,"(+/- 3011 )",50834,"(+/- 2786 )"
People,"Sex and Age","60 to 64 years",56801,"(+/- 2957 )",54182,"(+/- 2518 )"
People,"Sex and Age","65 to 74 years",93482,"(+/- 1493 )",90489,"(+/- 1267 )"
People,"Sex and Age","75 to 84 years",43392,"(+/- 1824 )",40676,"(+/- 1691 )"
People,"Sex and Age","85 years and over",14737,"(+/- 1778 )",14325,"(+/- 1478 )"
People,"Sex and Age","Median age (years)",43.9,"(+/- 0.3 )",45.7,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",586861,"(+/- 2718 )",535711,"(+/- 2641 )"
People,"Sex and Age","65 years and over",151611,"(+/- 1580 )",145490,"(+/- 1452 )"
People,Race,"Total population",716258,"(+/- 3737 )",655989,"(+/- 3737 )"
People,Race,"One race",672082,"(+/- 5945 )",624288,"(+/- 5099 )"
People,Race,White,638827,"(+/- 5402 )",602658,"(+/- 4875 )"
People,Race,"Black or African American",13632,"(+/- 1432 )",7437,"(+/- 1538 )"
People,Race,"American Indian and Alaska Native",1220,"(+/- 432 )",3550,"(+/- 632 )"
People,Race,Asian,11481,"(+/- 1611 )",5346,"(+/- 884 )"
People,Race,"Native Hawaiian and Other Pacific Islander",191,"(+/- 292 )",174,"(+/- 191 )"
People,Race,"Some other race",6731,"(+/- 2086 )",5123,"(+/- 1383 )"
People,Race,"Two or more races",44176,"(+/- 4910 )",31701,"(+/- 3971 )"
People,"Hispanic or Latino and Race","Total population",716258,"(+/- 3737 )",655989,"(+/- 3737 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",15032,"(+/- 528 )",11195,"(+/- 478 )"
People,"Hispanic or Latino and Race",Mexican,3883,"(+/- 1067 )",4288,"(+/- 1004 )"
People,"Hispanic or Latino and Race","Puerto Rican",2148,"(+/- 1134 )",2154,"(+/- 654 )"
