Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",739031,"(+/- 8336 )",766679,"(+/- 17986 )",752494,"(+/- 19806 )",788525,"(+/- 13761 )",804124,"(+/- 12822 )",791771,"(+/- 13262 )",726949,"(+/- 15440 )",795556,"(+/- 13820 )"
People,"Sex and Age",Male,366127,"(+/- 5489 )",371996,"(+/- 9583 )",359817,"(+/- 12395 )",382479,"(+/- 8338 )",396206,"(+/- 7241 )",392582,"(+/- 7300 )",345374,"(+/- 8777 )",388510,"(+/- 7910 )"
People,"Sex and Age",Female,372904,"(+/- 4686 )",394683,"(+/- 10889 )",392677,"(+/- 9801 )",406046,"(+/- 8086 )",407918,"(+/- 7829 )",399189,"(+/- 7742 )",381575,"(+/- 9057 )",407046,"(+/- 7607 )"
People,"Sex and Age","Under 5 years",35344,"(+/- 1995 )",43295,"(+/- 3524 )",48831,"(+/- 4190 )",48723,"(+/- 2920 )",44414,"(+/- 2976 )",46393,"(+/- 2846 )",42304,"(+/- 3116 )",41346,"(+/- 2784 )"
People,"Sex and Age","5 to 9 years",44051,"(+/- 3009 )",48281,"(+/- 4798 )",42455,"(+/- 4101 )",51820,"(+/- 3836 )",44822,"(+/- 3698 )",47316,"(+/- 3342 )",45305,"(+/- 4189 )",50869,"(+/- 2948 )"
People,"Sex and Age","10 to 14 years",46685,"(+/- 3735 )",46756,"(+/- 4115 )",45385,"(+/- 4024 )",53926,"(+/- 3743 )",52188,"(+/- 4157 )",50386,"(+/- 3611 )",46814,"(+/- 4048 )",55123,"(+/- 3741 )"
People,"Sex and Age","15 to 19 years",50612,"(+/- 3120 )",43242,"(+/- 3723 )",42014,"(+/- 3965 )",44535,"(+/- 2961 )",59242,"(+/- 3377 )",52025,"(+/- 2746 )",49363,"(+/- 4040 )",49377,"(+/- 2711 )"
People,"Sex and Age","20 to 24 years",45166,"(+/- 3288 )",52391,"(+/- 3696 )",46285,"(+/- 4922 )",44373,"(+/- 3477 )",53904,"(+/- 3278 )",46139,"(+/- 3189 )",45305,"(+/- 3006 )",45064,"(+/- 3513 )"
People,"Sex and Age","25 to 34 years",81126,"(+/- 3827 )",118623,"(+/- 5383 )",116107,"(+/- 5668 )",104240,"(+/- 4322 )",103522,"(+/- 3917 )",97732,"(+/- 4143 )",99859,"(+/- 4354 )",95316,"(+/- 4371 )"
People,"Sex and Age","35 to 44 years",89021,"(+/- 4084 )",104599,"(+/- 6104 )",104058,"(+/- 5720 )",111970,"(+/- 4247 )",101234,"(+/- 4373 )",108945,"(+/- 4474 )",96938,"(+/- 4317 )",112526,"(+/- 4644 )"
People,"Sex and Age","45 to 54 years",91913,"(+/- 3276 )",97878,"(+/- 5330 )",85378,"(+/- 4910 )",102514,"(+/- 3488 )",110461,"(+/- 4108 )",108334,"(+/- 4101 )",84746,"(+/- 4346 )",104931,"(+/- 4085 )"
People,"Sex and Age","55 to 59 years",52549,"(+/- 2783 )",49449,"(+/- 3864 )",50196,"(+/- 3990 )",49453,"(+/- 4128 )",62544,"(+/- 3655 )",52786,"(+/- 3647 )",47119,"(+/- 3746 )",51683,"(+/- 3038 )"
People,"Sex and Age","60 to 64 years",57184,"(+/- 2775 )",49659,"(+/- 3610 )",50883,"(+/- 3850 )",57697,"(+/- 3956 )",51149,"(+/- 3094 )",53290,"(+/- 2984 )",49108,"(+/- 3613 )",53157,"(+/- 3112 )"
People,"Sex and Age","65 to 74 years",86375,"(+/- 2518 )",72523,"(+/- 3985 )",70152,"(+/- 3268 )",73210,"(+/- 3617 )",77831,"(+/- 3297 )",78370,"(+/- 3150 )",70883,"(+/- 3129 )",77645,"(+/- 3320 )"
People,"Sex and Age","75 to 84 years",43175,"(+/- 2330 )",28991,"(+/- 2211 )",38084,"(+/- 3156 )",32100,"(+/- 2057 )",31274,"(+/- 2218 )",36649,"(+/- 2722 )",34963,"(+/- 2583 )",42801,"(+/- 2518 )"
People,"Sex and Age","85 years and over",15830,"(+/- 1850 )",10992,"(+/- 1585 )",12666,"(+/- 1525 )",13964,"(+/- 1889 )",11539,"(+/- 1547 )",13406,"(+/- 1528 )",14242,"(+/- 2016 )",15718,"(+/- 1755 )"
People,"Sex and Age","Median age (years)",42.4,"(+/- 0.5 )",38.0,"(+/- 0.6 )",37.9,"(+/- 0.7 )",39.0,"(+/- 0.7 )",39.1,"(+/- 0.7 )",39.8,"(+/- 0.7 )",38.6,"(+/- 0.6 )",40.0,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",582211,"(+/- 6249 )",602293,"(+/- 12764 )",589575,"(+/- 14336 )",603872,"(+/- 11291 )",630245,"(+/- 10050 )",615867,"(+/- 9142 )",564442,"(+/- 11709 )",616527,"(+/- 10305 )"
People,"Sex and Age","65 years and over",145380,"(+/- 3184 )",112506,"(+/- 4992 )",120902,"(+/- 5150 )",119274,"(+/- 4726 )",120644,"(+/- 3997 )",128425,"(+/- 4109 )",120088,"(+/- 4044 )",136164,"(+/- 4047 )"
People,Race,"Total population",739031,"(+/- 8336 )",766679,"(+/- 17986 )",752494,"(+/- 19806 )",788525,"(+/- 13761 )",804124,"(+/- 12822 )",791771,"(+/- 13262 )",726949,"(+/- 15440 )",795556,"(+/- 13820 )"
People,Race,"One race",690812,"(+/- 9918 )",712592,"(+/- 17035 )",692103,"(+/- 18692 )",729029,"(+/- 14500 )",733683,"(+/- 13875 )",713360,"(+/- 13156 )",684893,"(+/- 15076 )",715490,"(+/- 14510 )"
