Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE"
People,"Sex and Age","Total population",730798,"(+/- 6780 )",779662,"(+/- 8920 )",790963,"(+/- 10950 )",767979,"(+/- 8522 )",781372,"(+/- 8486 )",774905,"(+/- 4865 )",779197,"(+/- 8822 )",792652,"(+/- 9709 )",787195,"(+/- 8170 )"
People,"Sex and Age",Male,353852,"(+/- 4604 )",378888,"(+/- 6066 )",390178,"(+/- 7649 )",373250,"(+/- 5091 )",380002,"(+/- 5927 )",382315,"(+/- 4417 )",378547,"(+/- 6163 )",385701,"(+/- 6396 )",385519,"(+/- 5995 )"
People,"Sex and Age",Female,376946,"(+/- 4105 )",400774,"(+/- 5385 )",400785,"(+/- 7196 )",394729,"(+/- 6535 )",401370,"(+/- 6194 )",392590,"(+/- 4382 )",400650,"(+/- 6306 )",406951,"(+/- 7417 )",401676,"(+/- 4740 )"
People,"Sex and Age","Under 5 years",34906,"(+/- 1301 )",36725,"(+/- 2048 )",44264,"(+/- 2941 )",37860,"(+/- 2713 )",39802,"(+/- 2789 )",38706,"(+/- 2507 )",34491,"(+/- 1959 )",42104,"(+/- 2620 )",37317,"(+/- 2008 )"
People,"Sex and Age","5 to 9 years",39612,"(+/- 3120 )",38797,"(+/- 3309 )",47831,"(+/- 3318 )",43136,"(+/- 3436 )",43856,"(+/- 3708 )",40372,"(+/- 3214 )",31494,"(+/- 3240 )",42649,"(+/- 3268 )",37506,"(+/- 3402 )"
People,"Sex and Age","10 to 14 years",44825,"(+/- 3193 )",46569,"(+/- 3276 )",51650,"(+/- 4166 )",49741,"(+/- 4232 )",42374,"(+/- 3718 )",44627,"(+/- 3291 )",36938,"(+/- 3293 )",43132,"(+/- 3438 )",42132,"(+/- 3280 )"
People,"Sex and Age","15 to 19 years",50091,"(+/- 2366 )",62088,"(+/- 2832 )",53566,"(+/- 3779 )",54911,"(+/- 3240 )",48309,"(+/- 3035 )",44924,"(+/- 2427 )",58472,"(+/- 3211 )",43267,"(+/- 2822 )",44776,"(+/- 2899 )"
People,"Sex and Age","20 to 24 years",48153,"(+/- 2711 )",64484,"(+/- 2958 )",47581,"(+/- 3388 )",51759,"(+/- 3660 )",51248,"(+/- 3554 )",42675,"(+/- 2238 )",81487,"(+/- 3794 )",46788,"(+/- 3827 )",41973,"(+/- 3174 )"
People,"Sex and Age","25 to 34 years",88197,"(+/- 2542 )",101388,"(+/- 3510 )",98515,"(+/- 4564 )",84419,"(+/- 4700 )",122126,"(+/- 5201 )",92646,"(+/- 3974 )",173784,"(+/- 6260 )",127792,"(+/- 5883 )",90747,"(+/- 3948 )"
People,"Sex and Age","35 to 44 years",90549,"(+/- 2637 )",95077,"(+/- 3197 )",103375,"(+/- 4944 )",102488,"(+/- 4106 )",112434,"(+/- 4554 )",97844,"(+/- 3748 )",105168,"(+/- 4063 )",108288,"(+/- 4180 )",84312,"(+/- 3634 )"
