Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population",707596,"(+/- 1359 )",761672,"(+/- 3773 )",756944,"(+/- 4102 )",698588,"(+/- 4576 )",664225,"(+/- 4156 )",720214,"(+/- 1079 )",715356,"(+/- 3773 )",742257,"(+/- 5476 )",711987,"(+/- 6798 )",725418,"(+/- 5627 )",757991,"(+/- 6864 )",741026,"(+/- 7744 )",674738,"(+/- 11433 )",672799,"(+/- 10955 )"
People,"Sex and Age",Male,361898,"(+/- 1770 )",378741,"(+/- 3556 )",377251,"(+/- 3855 )",352586,"(+/- 3132 )",322774,"(+/- 2839 )",356448,"(+/- 1592 )",361148,"(+/- 2799 )",369738,"(+/- 3884 )",348564,"(+/- 5143 )",362298,"(+/- 3892 )",374851,"(+/- 5208 )",365757,"(+/- 5136 )",324093,"(+/- 6740 )",320722,"(+/- 7696 )"
People,"Sex and Age",Female,345698,"(+/- 1695 )",382931,"(+/- 2658 )",379693,"(+/- 2694 )",346002,"(+/- 2941 )",341451,"(+/- 2796 )",363766,"(+/- 1554 )",354208,"(+/- 2878 )",372519,"(+/- 4538 )",363423,"(+/- 4074 )",363120,"(+/- 3789 )",383140,"(+/- 5541 )",375269,"(+/- 5814 )",350645,"(+/- 7645 )",352077,"(+/- 7074 )"
People,"Sex and Age","Under 5 years",30409,"(+/- 780 )",43513,"(+/- 1913 )",45377,"(+/- 1837 )",35291,"(+/- 841 )",35989,"(+/- 864 )",39523,"(+/- 1167 )",37378,"(+/- 1202 )",36735,"(+/- 1985 )",35419,"(+/- 2736 )",37867,"(+/- 1944 )",39016,"(+/- 2929 )",39462,"(+/- 3029 )",46878,"(+/- 3772 )",43122,"(+/- 3839 )"
People,"Sex and Age","5 to 9 years",34612,"(+/- 1773 )",48853,"(+/- 3289 )",48429,"(+/- 3503 )",37602,"(+/- 2287 )",36654,"(+/- 2557 )",42060,"(+/- 2647 )",39605,"(+/- 2337 )",43231,"(+/- 3123 )",37653,"(+/- 2977 )",44416,"(+/- 3392 )",42162,"(+/- 3203 )",43693,"(+/- 3487 )",44084,"(+/- 3383 )",42520,"(+/- 3788 )"
People,"Sex and Age","10 to 14 years",37892,"(+/- 1968 )",54345,"(+/- 3458 )",50743,"(+/- 3328 )",40228,"(+/- 2198 )",45281,"(+/- 2908 )",49910,"(+/- 2534 )",45482,"(+/- 2561 )",44814,"(+/- 3210 )",37476,"(+/- 3178 )",44287,"(+/- 3568 )",47847,"(+/- 3392 )",44740,"(+/- 3322 )",51834,"(+/- 4042 )",37192,"(+/- 3145 )"
People,"Sex and Age","15 to 19 years",42217,"(+/- 2139 )",54495,"(+/- 2671 )",50601,"(+/- 2612 )",46777,"(+/- 1736 )",41426,"(+/- 1809 )",47811,"(+/- 1536 )",46533,"(+/- 1692 )",61030,"(+/- 2783 )",36358,"(+/- 2742 )",44842,"(+/- 2200 )",43996,"(+/- 2488 )",56393,"(+/- 2983 )",42977,"(+/- 3570 )",40559,"(+/- 2957 )"
People,"Sex and Age","20 to 24 years",39403,"(+/- 1989 )",55018,"(+/- 2476 )",46626,"(+/- 2480 )",50666,"(+/- 1889 )",38579,"(+/- 1941 )",55800,"(+/- 1866 )",41824,"(+/- 2035 )",57327,"(+/- 2808 )",40485,"(+/- 3370 )",40262,"(+/- 2562 )",41500,"(+/- 3622 )",69381,"(+/- 3677 )",42769,"(+/- 3139 )",39637,"(+/- 3922 )"
People,"Sex and Age","25 to 34 years",75214,"(+/- 1877 )",101392,"(+/- 3584 )",105583,"(+/- 3308 )",81545,"(+/- 1753 )",84846,"(+/- 2228 )",88298,"(+/- 2126 )",84630,"(+/- 2138 )",89955,"(+/- 2821 )",114471,"(+/- 4266 )",81863,"(+/- 3590 )",92317,"(+/- 3631 )",107617,"(+/- 4047 )",109537,"(+/- 5055 )",97086,"(+/- 4564 )"
People,"Sex and Age","35 to 44 years",80638,"(+/- 1459 )",93814,"(+/- 3628 )",100764,"(+/- 2487 )",80702,"(+/- 1735 )",76069,"(+/- 1726 )",84288,"(+/- 1401 )",85837,"(+/- 1941 )",93589,"(+/- 3448 )",85844,"(+/- 3660 )",85728,"(+/- 2962 )",94920,"(+/- 4372 )",86954,"(+/- 3245 )",79822,"(+/- 3778 )",85605,"(+/- 4243 )"
