Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",691635,"(+/- 2325 )",738835,"(+/- 3125 )",734894,"(+/- 8071 )",721132,"(+/- 4765 )",727716,"(+/- 7985 )",744738,"(+/- 6792 )",666533,"(+/- 3901 )",681907,"(+/- 2432 )"
People,"Sex and Age",Male,349054,"(+/- 2284 )",368254,"(+/- 2798 )",361453,"(+/- 5279 )",355718,"(+/- 2874 )",366709,"(+/- 4984 )",374911,"(+/- 4938 )",337950,"(+/- 2761 )",346619,"(+/- 1612 )"
People,"Sex and Age",Female,342581,"(+/- 2295 )",370581,"(+/- 2767 )",373441,"(+/- 7236 )",365414,"(+/- 2731 )",361007,"(+/- 6821 )",369827,"(+/- 4674 )",328583,"(+/- 2517 )",335288,"(+/- 1743 )"
People,"Sex and Age","Under 5 years",39554,"(+/- 1079 )",43451,"(+/- 1034 )",43969,"(+/- 2954 )",43048,"(+/- 1135 )",41551,"(+/- 2822 )",46851,"(+/- 2232 )",37680,"(+/- 1052 )",34630,"(+/- 753 )"
People,"Sex and Age","5 to 9 years",43288,"(+/- 2018 )",49626,"(+/- 3021 )",45547,"(+/- 4055 )",46163,"(+/- 3242 )",43201,"(+/- 3097 )",53159,"(+/- 3608 )",39978,"(+/- 1727 )",38209,"(+/- 1820 )"
People,"Sex and Age","10 to 14 years",47777,"(+/- 2251 )",52407,"(+/- 2867 )",52020,"(+/- 3738 )",50953,"(+/- 3153 )",38744,"(+/- 3523 )",56166,"(+/- 3498 )",48114,"(+/- 2049 )",42446,"(+/- 1815 )"
People,"Sex and Age","15 to 19 years",48496,"(+/- 1917 )",50601,"(+/- 1988 )",44227,"(+/- 3093 )",46798,"(+/- 1661 )",43453,"(+/- 3014 )",54029,"(+/- 2434 )",46050,"(+/- 1842 )",42870,"(+/- 1277 )"
People,"Sex and Age","20 to 24 years",50114,"(+/- 2364 )",44485,"(+/- 2716 )",31368,"(+/- 2745 )",46480,"(+/- 1627 )",57579,"(+/- 3094 )",46320,"(+/- 3202 )",36820,"(+/- 1771 )",40426,"(+/- 1221 )"
People,"Sex and Age","25 to 34 years",83127,"(+/- 2407 )",90560,"(+/- 2228 )",89295,"(+/- 5288 )",106197,"(+/- 1963 )",140167,"(+/- 5613 )",87404,"(+/- 3237 )",73807,"(+/- 2106 )",72005,"(+/- 1060 )"
People,"Sex and Age","35 to 44 years",89249,"(+/- 2124 )",104199,"(+/- 2016 )",101381,"(+/- 4244 )",98914,"(+/- 1814 )",110435,"(+/- 4153 )",103537,"(+/- 3463 )",80842,"(+/- 1890 )",82095,"(+/- 1009 )"
People,"Sex and Age","45 to 54 years",76177,"(+/- 2097 )",95306,"(+/- 2213 )",96326,"(+/- 3443 )",80928,"(+/- 1876 )",77867,"(+/- 2995 )",93002,"(+/- 2944 )",71210,"(+/- 1492 )",78185,"(+/- 1013 )"
People,"Sex and Age","55 to 59 years",41551,"(+/- 2208 )",50249,"(+/- 2861 )",51696,"(+/- 3642 )",42504,"(+/- 2704 )",39906,"(+/- 3429 )",52282,"(+/- 3251 )",42287,"(+/- 2055 )",48142,"(+/- 2012 )"
People,"Sex and Age","60 to 64 years",47851,"(+/- 2014 )",48827,"(+/- 2270 )",54431,"(+/- 3185 )",46234,"(+/- 2625 )",37857,"(+/- 3102 )",46946,"(+/- 3111 )",51174,"(+/- 2050 )",55318,"(+/- 2025 )"
People,"Sex and Age","65 to 74 years",71805,"(+/- 1178 )",66011,"(+/- 1320 )",76581,"(+/- 3532 )",70455,"(+/- 1780 )",58647,"(+/- 3351 )",67598,"(+/- 2185 )",79369,"(+/- 1236 )",90527,"(+/- 897 )"
People,"Sex and Age","75 to 84 years",36650,"(+/- 1406 )",31385,"(+/- 1606 )",35007,"(+/- 2361 )",29650,"(+/- 1848 )",26873,"(+/- 2367 )",26777,"(+/- 2046 )",40790,"(+/- 1209 )",40690,"(+/- 1279 )"
People,"Sex and Age","85 years and over",15996,"(+/- 1391 )",11728,"(+/- 1428 )",13046,"(+/- 1671 )",12808,"(+/- 1483 )",11436,"(+/- 1523 )",10667,"(+/- 1310 )",18412,"(+/- 1189 )",16364,"(+/- 1153 )"
People,"Sex and Age","Median age (years)",38.7,"(+/- 0.4 )",38.4,"(+/- 0.3 )",40.8,"(+/- 0.7 )",36.9,"(+/- 0.4 )",34.9,"(+/- 0.5 )",37.8,"(+/- 0.6 )",40.9,"(+/- 0.3 )",43.5,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",533682,"(+/- 1943 )",560003,"(+/- 3142 )",561813,"(+/- 5919 )",553503,"(+/- 3516 )",581214,"(+/- 6210 )",554322,"(+/- 5489 )",512683,"(+/- 3365 )",541189,"(+/- 1803 )"
People,"Sex and Age","65 years and over",124451,"(+/- 1446 )",109124,"(+/- 1701 )",124634,"(+/- 4437 )",112913,"(+/- 2041 )",96956,"(+/- 4364 )",105042,"(+/- 2894 )",138571,"(+/- 1602 )",147581,"(+/- 1050 )"
People,Race,"Total population",691635,"(+/- 2325 )",738835,"(+/- 3125 )",734894,"(+/- 8071 )",721132,"(+/- 4765 )",727716,"(+/- 7985 )",744738,"(+/- 6792 )",666533,"(+/- 3901 )",681907,"(+/- 2432 )"
People,Race,"One race",648356,"(+/- 4053 )",685332,"(+/- 6364 )",681995,"(+/- 9318 )",667381,"(+/- 6901 )",658606,"(+/- 9147 )",701960,"(+/- 8245 )",627001,"(+/- 4842 )",645336,"(+/- 3360 )"
People,Race,White,580340,"(+/- 3400 )",573378,"(+/- 4435 )",535468,"(+/- 8998 )",463554,"(+/- 5182 )",458808,"(+/- 7766 )",634540,"(+/- 8617 )",577346,"(+/- 4264 )",613423,"(+/- 2875 )"
People,Race,"Black or African American",24753,"(+/- 2100 )",46815,"(+/- 2718 )",69587,"(+/- 7701 )",78345,"(+/- 4185 )",120161,"(+/- 7281 )",32223,"(+/- 4801 )",10308,"(+/- 1813 )",6383,"(+/- 1087 )"
People,Race,"American Indian and Alaska Native",4331,"(+/- 1898 )",3469,"(+/- 1023 )",1849,"(+/- 972 )",2357,"(+/- 868 )",4692,"(+/- 1197 )",2315,"(+/- 930 )",16093,"(+/- 2385 )",13203,"(+/- 1737 )"
People,Race,Asian,19430,"(+/- 1594 )",37469,"(+/- 2129 )",58462,"(+/- 4788 )",99413,"(+/- 2284 )",40295,"(+/- 4064 )",21042,"(+/- 3217 )",7813,"(+/- 929 )",5859,"(+/- 647 )"
People,Race,"Native Hawaiian and Other Pacific Islander",10,"(+/- 14 )",218,"(+/- 269 )",43,"(+/- 57 )",153,"(+/- 260 )",184,"(+/- 187 )",171,"(+/- 224 )",991,"(+/- 477 )",134,"(+/- 147 )"
People,Race,"Some other race",19492,"(+/- 3627 )",23983,"(+/- 3420 )",16586,"(+/- 3814 )",23559,"(+/- 3847 )",34466,"(+/- 5278 )",11669,"(+/- 2977 )",14450,"(+/- 2785 )",6334,"(+/- 1744 )"
People,Race,"Two or more races",43279,"(+/- 4059 )",53503,"(+/- 5746 )",52899,"(+/- 6902 )",53751,"(+/- 5494 )",69110,"(+/- 6846 )",42778,"(+/- 5326 )",39532,"(+/- 3309 )",36571,"(+/- 2574 )"
People,"Hispanic or Latino and Race","Total population",691635,"(+/- 2325 )",738835,"(+/- 3125 )",734894,"(+/- 8071 )",721132,"(+/- 4765 )",727716,"(+/- 7985 )",744738,"(+/- 6792 )",666533,"(+/- 3901 )",681907,"(+/- 2432 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",50154,"(+/- 1140 )",51994,"(+/- 2191 )",37849,"(+/- 4504 )",50148,"(+/- 2003 )",67804,"(+/- 5127 )",24286,"(+/- 2443 )",36150,"(+/- 1039 )",13654,"(+/- 623 )"
People,"Hispanic or Latino and Race",Mexican,33976,"(+/- 2288 )",32821,"(+/- 3810 )",18464,"(+/- 3823 )",34552,"(+/- 3065 )",35143,"(+/- 4507 )",13747,"(+/- 2636 )",23282,"(+/- 2090 )",7990,"(+/- 1155 )"
People,"Hispanic or Latino and Race","Puerto Rican",1972,"(+/- 800 )",2410,"(+/- 1345 )",1708,"(+/- 907 )",2239,"(+/- 949 )",1723,"(+/- 893 )",2018,"(+/- 1192 )",1879,"(+/- 734 )",349,"(+/- 232 )"
People,"Hispanic or Latino and Race",Cuban,493,"(+/- 365 )",509,"(+/- 307 )",1595,"(+/- 1001 )",1523,"(+/- 1044 )",1089,"(+/- 887 )",704,"(+/- 582 )",729,"(+/- 344 )",433,"(+/- 258 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",13713,"(+/- 2029 )",16254,"(+/- 3627 )",16082,"(+/- 3074 )",11834,"(+/- 2621 )",29849,"(+/- 4890 )",7817,"(+/- 2462 )",10260,"(+/- 2351 )",4882,"(+/- 1050 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",641481,"(+/- 2249 )",686841,"(+/- 2841 )",697045,"(+/- 9167 )",670984,"(+/- 4443 )",659912,"(+/- 9292 )",720452,"(+/- 7069 )",630383,"(+/- 3949 )",668253,"(+/- 2454 )"
People,"Place of Birth","Total population",691635,"(+/- 2325 )",738835,"(+/- 3125 )",734894,"(+/- 8071 )",721132,"(+/- 4765 )",727716,"(+/- 7985 )",744738,"(+/- 6792 )",666533,"(+/- 3901 )",681907,"(+/- 2432 )"
People,"Place of Birth",Native,646597,"(+/- 4315 )",671079,"(+/- 5580 )",641023,"(+/- 9055 )",617312,"(+/- 8868 )",624194,"(+/- 9925 )",705822,"(+/- 7615 )",643360,"(+/- 4552 )",670558,"(+/- 2967 )"
People,"Place of Birth","Born in United States",641906,"(+/- 4414 )",663600,"(+/- 5696 )",631544,"(+/- 9431 )",610101,"(+/- 9009 )",615158,"(+/- 9908 )",700725,"(+/- 7675 )",638642,"(+/- 4796 )",667607,"(+/- 3125 )"
People,"Place of Birth","State of residence",474374,"(+/- 6663 )",496618,"(+/- 7106 )",439326,"(+/- 9260 )",437585,"(+/- 9053 )",405888,"(+/- 9165 )",570039,"(+/- 9532 )",475743,"(+/- 5664 )",533031,"(+/- 5214 )"
People,"Place of Birth","Different state",167532,"(+/- 5905 )",166982,"(+/- 7239 )",192218,"(+/- 9138 )",172516,"(+/- 6699 )",209270,"(+/- 7510 )",130686,"(+/- 6562 )",162899,"(+/- 4884 )",134576,"(+/- 4418 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4691,"(+/- 1056 )",7479,"(+/- 1579 )",9479,"(+/- 2278 )",7211,"(+/- 1911 )",9036,"(+/- 2019 )",5097,"(+/- 1805 )",4718,"(+/- 1009 )",2951,"(+/- 625 )"
People,"Place of Birth","Foreign born",45038,"(+/- 3407 )",67756,"(+/- 4464 )",93871,"(+/- 6773 )",103820,"(+/- 7488 )",103522,"(+/- 8052 )",38916,"(+/- 4246 )",23173,"(+/- 2441 )",11349,"(+/- 1395 )"
People,Ancestry,"Total population",691635,"(+/- 2325 )",738835,"(+/- 3125 )",734894,"(+/- 8071 )",721132,"(+/- 4765 )",727716,"(+/- 7985 )",744738,"(+/- 6792 )",666533,"(+/- 3901 )",681907,"(+/- 2432 )"
People,Ancestry,American,28912,"(+/- 4363 )",18969,"(+/- 3325 )",23229,"(+/- 3730 )",14375,"(+/- 2875 )",15432,"(+/- 2800 )",34933,"(+/- 4952 )",21522,"(+/- 2622 )",26152,"(+/- 2576 )"
People,Ancestry,Arab,2616,"(+/- 1759 )",2591,"(+/- 986 )",3165,"(+/- 2081 )",3614,"(+/- 1868 )",5388,"(+/- 1967 )",5054,"(+/- 2260 )",2056,"(+/- 1595 )",1407,"(+/- 691 )"
People,Ancestry,Czech,15361,"(+/- 2470 )",15527,"(+/- 2773 )",9100,"(+/- 2278 )",6741,"(+/- 1368 )",6474,"(+/- 1323 )",9122,"(+/- 1800 )",10849,"(+/- 1690 )",7465,"(+/- 1423 )"
People,Ancestry,Danish,9094,"(+/- 1385 )",8844,"(+/- 1620 )",8750,"(+/- 2069 )",6601,"(+/- 1474 )",7584,"(+/- 1729 )",7103,"(+/- 1662 )",7437,"(+/- 1024 )",6743,"(+/- 1119 )"
People,Ancestry,Dutch,12970,"(+/- 1651 )",7396,"(+/- 1397 )",11298,"(+/- 2888 )",8437,"(+/- 1708 )",7862,"(+/- 1402 )",7783,"(+/- 2131 )",12993,"(+/- 1495 )",7392,"(+/- 1226 )"
People,Ancestry,English,38574,"(+/- 2711 )",52299,"(+/- 4744 )",62562,"(+/- 5135 )",52201,"(+/- 5808 )",59240,"(+/- 4442 )",38874,"(+/- 4190 )",33659,"(+/- 2539 )",47456,"(+/- 4121 )"
People,Ancestry,"French (except Basque)",12135,"(+/- 1650 )",17578,"(+/- 2621 )",20522,"(+/- 2726 )",19165,"(+/- 2833 )",19270,"(+/- 3069 )",22517,"(+/- 3380 )",18095,"(+/- 1832 )",19387,"(+/- 2266 )"
People,Ancestry,"French Canadian",3813,"(+/- 1290 )",4819,"(+/- 2477 )",5857,"(+/- 1539 )",4955,"(+/- 1113 )",4360,"(+/- 1258 )",6613,"(+/- 2059 )",4359,"(+/- 1035 )",7674,"(+/- 1073 )"
People,Ancestry,German,247679,"(+/- 7343 )",235044,"(+/- 9479 )",196814,"(+/- 9764 )",167595,"(+/- 6782 )",166135,"(+/- 7352 )",242035,"(+/- 10089 )",241474,"(+/- 6734 )",188175,"(+/- 6692 )"
People,Ancestry,Greek,800,"(+/- 517 )",1233,"(+/- 518 )",1470,"(+/- 599 )",1218,"(+/- 548 )",2194,"(+/- 847 )",1280,"(+/- 785 )",443,"(+/- 272 )",502,"(+/- 215 )"
People,Ancestry,Hungarian,792,"(+/- 434 )",1474,"(+/- 626 )",1873,"(+/- 740 )",3138,"(+/- 1188 )",1463,"(+/- 588 )",1066,"(+/- 565 )",763,"(+/- 505 )",1465,"(+/- 476 )"
People,Ancestry,Irish,61455,"(+/- 4264 )",82915,"(+/- 6007 )",82146,"(+/- 6865 )",83488,"(+/- 6589 )",75523,"(+/- 4870 )",73732,"(+/- 7606 )",47766,"(+/- 3156 )",65190,"(+/- 4417 )"
People,Ancestry,Italian,8614,"(+/- 1944 )",18382,"(+/- 3506 )",15598,"(+/- 2867 )",24779,"(+/- 4373 )",16630,"(+/- 2565 )",15787,"(+/- 3611 )",4806,"(+/- 1060 )",19590,"(+/- 2468 )"
People,Ancestry,Lithuanian,520,"(+/- 303 )",157,"(+/- 153 )",1435,"(+/- 727 )",1767,"(+/- 1035 )",461,"(+/- 215 )",733,"(+/- 380 )",122,"(+/- 123 )",224,"(+/- 175 )"
People,Ancestry,Norwegian,96658,"(+/- 4927 )",86814,"(+/- 5623 )",85664,"(+/- 7336 )",61190,"(+/- 4459 )",66892,"(+/- 4722 )",78822,"(+/- 7279 )",138068,"(+/- 4604 )",81589,"(+/- 4336 )"
People,Ancestry,Polish,20634,"(+/- 2446 )",23804,"(+/- 2743 )",26913,"(+/- 3533 )",27812,"(+/- 3534 )",27955,"(+/- 3599 )",39609,"(+/- 3901 )",20269,"(+/- 2023 )",33983,"(+/- 2620 )"
People,Ancestry,Portuguese,326,"(+/- 228 )",260,"(+/- 231 )",313,"(+/- 220 )",632,"(+/- 485 )",605,"(+/- 460 )",266,"(+/- 233 )",113,"(+/- 87 )",382,"(+/- 270 )"
People,Ancestry,Russian,1570,"(+/- 575 )",6543,"(+/- 2315 )",6578,"(+/- 1643 )",3839,"(+/- 1205 )",5620,"(+/- 1081 )",2914,"(+/- 1305 )",2481,"(+/- 638 )",2681,"(+/- 882 )"
People,Ancestry,Scotch-Irish,2932,"(+/- 842 )",3836,"(+/- 1474 )",3433,"(+/- 1016 )",3270,"(+/- 909 )",4147,"(+/- 1742 )",1635,"(+/- 592 )",1784,"(+/- 369 )",3542,"(+/- 934 )"
People,Ancestry,Scottish,5793,"(+/- 1122 )",6696,"(+/- 1190 )",7735,"(+/- 1363 )",6700,"(+/- 1378 )",10212,"(+/- 1523 )",6134,"(+/- 1644 )",3918,"(+/- 700 )",7018,"(+/- 1152 )"
People,Ancestry,Slovak,635,"(+/- 333 )",366,"(+/- 247 )",1170,"(+/- 550 )",692,"(+/- 422 )",1786,"(+/- 707 )",575,"(+/- 358 )",405,"(+/- 324 )",835,"(+/- 301 )"
People,Ancestry,"Subsaharan African",13695,"(+/- 3444 )",21655,"(+/- 4592 )",32391,"(+/- 5699 )",30132,"(+/- 5112 )",49939,"(+/- 8359 )",11807,"(+/- 4188 )",5606,"(+/- 1388 )",1680,"(+/- 561 )"
People,Ancestry,Swedish,20019,"(+/- 2270 )",45524,"(+/- 4844 )",53186,"(+/- 5825 )",48939,"(+/- 4186 )",44932,"(+/- 3838 )",46949,"(+/- 5091 )",47847,"(+/- 3553 )",65248,"(+/- 3262 )"
People,Ancestry,Swiss,3657,"(+/- 902 )",2981,"(+/- 774 )",2009,"(+/- 1063 )",3574,"(+/- 1349 )",2261,"(+/- 1109 )",3122,"(+/- 1237 )",1375,"(+/- 377 )",2147,"(+/- 854 )"
