Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",764049,"(+/- 3678 )",660002,"(+/- 6622 )",745609,"(+/- 7266 )",780305,"(+/- 1055 )"
People,"Sex and Age",Male,368239,"(+/- 3505 )",320134,"(+/- 4361 )",364689,"(+/- 4911 )",382361,"(+/- 3624 )"
People,"Sex and Age",Female,395810,"(+/- 3230 )",339868,"(+/- 6060 )",380920,"(+/- 6018 )",397944,"(+/- 3608 )"
People,"Sex and Age","Under 5 years",42993,"(+/- 1985 )",40020,"(+/- 2092 )",43338,"(+/- 2482 )",46931,"(+/- 2382 )"
People,"Sex and Age","5 to 9 years",48170,"(+/- 3560 )",40457,"(+/- 2905 )",40949,"(+/- 3674 )",47302,"(+/- 3818 )"
People,"Sex and Age","10 to 14 years",56395,"(+/- 3514 )",51361,"(+/- 3170 )",56530,"(+/- 3770 )",53001,"(+/- 3672 )"
People,"Sex and Age","15 to 19 years",57506,"(+/- 3207 )",48318,"(+/- 2744 )",57479,"(+/- 3568 )",51779,"(+/- 3974 )"
People,"Sex and Age","20 to 24 years",51070,"(+/- 3632 )",44914,"(+/- 3593 )",48888,"(+/- 3440 )",54397,"(+/- 4041 )"
People,"Sex and Age","25 to 34 years",92236,"(+/- 3651 )",80091,"(+/- 4767 )",87835,"(+/- 4926 )",96782,"(+/- 5004 )"
People,"Sex and Age","35 to 44 years",101198,"(+/- 3626 )",83310,"(+/- 3874 )",98537,"(+/- 4495 )",99990,"(+/- 4837 )"
People,"Sex and Age","45 to 54 years",90889,"(+/- 3099 )",75961,"(+/- 3604 )",89506,"(+/- 3919 )",98691,"(+/- 4597 )"
People,"Sex and Age","55 to 59 years",44772,"(+/- 3224 )",42619,"(+/- 3346 )",43764,"(+/- 3348 )",47314,"(+/- 3662 )"
People,"Sex and Age","60 to 64 years",51085,"(+/- 3232 )",42184,"(+/- 3019 )",48037,"(+/- 4051 )",56421,"(+/- 3590 )"
People,"Sex and Age","65 to 74 years",78979,"(+/- 1956 )",69530,"(+/- 2220 )",80374,"(+/- 3014 )",79670,"(+/- 1709 )"
People,"Sex and Age","75 to 84 years",37580,"(+/- 1675 )",29769,"(+/- 2039 )",38363,"(+/- 2401 )",37119,"(+/- 2186 )"
People,"Sex and Age","85 years and over",11176,"(+/- 1535 )",11468,"(+/- 1682 )",12009,"(+/- 1786 )",10908,"(+/- 1703 )"
People,"Sex and Age","Median age (years)",38.1,"(+/- 0.5 )",38.0,"(+/- 0.6 )",39.0,"(+/- 0.8 )",39.1,"(+/- 0.5 )"
People,"Sex and Age","18 years and over",583657,"(+/- 3430 )",500358,"(+/- 4912 )",572976,"(+/- 5581 )",601089,"(+/- 1922 )"
People,"Sex and Age","65 years and over",127735,"(+/- 1942 )",110767,"(+/- 2262 )",130746,"(+/- 3059 )",127697,"(+/- 2413 )"
People,Race,"Total population",764049,"(+/- 3678 )",660002,"(+/- 6622 )",745609,"(+/- 7266 )",780305,"(+/- 1055 )"
People,Race,"One race",728011,"(+/- 6212 )",634910,"(+/- 7586 )",718460,"(+/- 7906 )",719118,"(+/- 6507 )"
People,Race,White,494138,"(+/- 3412 )",195809,"(+/- 4654 )",436783,"(+/- 5765 )",527281,"(+/- 3354 )"
People,Race,"Black or African American",211584,"(+/- 5890 )",430648,"(+/- 7026 )",256945,"(+/- 8281 )",165773,"(+/- 7213 )"
People,Race,"American Indian and Alaska Native",1815,"(+/- 978 )",1701,"(+/- 628 )",7992,"(+/- 2572 )",4140,"(+/- 2388 )"
People,Race,Asian,4324,"(+/- 970 )",2582,"(+/- 785 )",7303,"(+/- 1221 )",10700,"(+/- 1422 )"
People,Race,"Native Hawaiian and Other Pacific Islander",145,"(+/- 210 )",0,"(+/- 233 )",171,"(+/- 230 )",261,"(+/- 318 )"
People,Race,"Some other race",16005,"(+/- 2548 )",4170,"(+/- 1233 )",9266,"(+/- 3207 )",10963,"(+/- 2754 )"
