Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",710566,"(+/- 9562 )",763765,"(+/- 12613 )",817915,"(+/- 10009 )",783543,"(+/- 4812 )",783027,"(+/- 8831 )",788813,"(+/- 9052 )",799499,"(+/- 3186 )",721059,"(+/- 5738 )"
People,"Sex and Age",Male,335727,"(+/- 5520 )",370900,"(+/- 7839 )",410343,"(+/- 6001 )",396361,"(+/- 3618 )",379245,"(+/- 5226 )",397212,"(+/- 5712 )",392343,"(+/- 2486 )",363050,"(+/- 3627 )"
People,"Sex and Age",Female,374839,"(+/- 5803 )",392865,"(+/- 6442 )",407572,"(+/- 6103 )",387182,"(+/- 3597 )",403782,"(+/- 5114 )",391601,"(+/- 5135 )",407156,"(+/- 2592 )",358009,"(+/- 4146 )"
People,"Sex and Age","Under 5 years",42654,"(+/- 2415 )",41141,"(+/- 2904 )",46232,"(+/- 2163 )",45558,"(+/- 1526 )",48559,"(+/- 2029 )",45139,"(+/- 2372 )",45263,"(+/- 959 )",39400,"(+/- 1579 )"
People,"Sex and Age","5 to 9 years",37239,"(+/- 3075 )",45056,"(+/- 3307 )",50776,"(+/- 3223 )",47376,"(+/- 2918 )",49598,"(+/- 3792 )",49415,"(+/- 3282 )",49970,"(+/- 2903 )",45621,"(+/- 3309 )"
People,"Sex and Age","10 to 14 years",48341,"(+/- 3245 )",46271,"(+/- 2954 )",55844,"(+/- 3722 )",50199,"(+/- 2668 )",48615,"(+/- 3719 )",59597,"(+/- 3410 )",54233,"(+/- 3114 )",49391,"(+/- 3153 )"
People,"Sex and Age","15 to 19 years",41814,"(+/- 1951 )",48238,"(+/- 2699 )",52914,"(+/- 2850 )",64649,"(+/- 3943 )",43826,"(+/- 2480 )",56676,"(+/- 3197 )",54347,"(+/- 2514 )",48716,"(+/- 2789 )"
People,"Sex and Age","20 to 24 years",46633,"(+/- 2683 )",38185,"(+/- 3116 )",46808,"(+/- 2598 )",57736,"(+/- 3368 )",49943,"(+/- 2461 )",46876,"(+/- 2938 )",59723,"(+/- 2410 )",42981,"(+/- 2829 )"
People,"Sex and Age","25 to 34 years",119422,"(+/- 3134 )",88732,"(+/- 4144 )",100037,"(+/- 3264 )",95862,"(+/- 3438 )",124851,"(+/- 3197 )",91018,"(+/- 3915 )",100716,"(+/- 2395 )",80004,"(+/- 3511 )"
People,"Sex and Age","35 to 44 years",95371,"(+/- 2729 )",98724,"(+/- 4465 )",110004,"(+/- 3618 )",97300,"(+/- 2886 )",102964,"(+/- 3739 )",105378,"(+/- 3906 )",96970,"(+/- 2194 )",89589,"(+/- 2939 )"
People,"Sex and Age","45 to 54 years",78340,"(+/- 3497 )",92317,"(+/- 4250 )",100634,"(+/- 3180 )",86416,"(+/- 2383 )",86614,"(+/- 2573 )",97044,"(+/- 3043 )",91579,"(+/- 1789 )",84800,"(+/- 2300 )"
People,"Sex and Age","55 to 59 years",42848,"(+/- 3336 )",53499,"(+/- 3348 )",58697,"(+/- 3450 )",46131,"(+/- 2397 )",44676,"(+/- 2731 )",51198,"(+/- 2787 )",47946,"(+/- 3053 )",47903,"(+/- 3255 )"
People,"Sex and Age","60 to 64 years",49994,"(+/- 3441 )",55241,"(+/- 3451 )",55934,"(+/- 3558 )",56806,"(+/- 2874 )",55593,"(+/- 2705 )",52309,"(+/- 2536 )",54031,"(+/- 3249 )",54374,"(+/- 2966 )"
People,"Sex and Age","65 to 74 years",68608,"(+/- 2900 )",91171,"(+/- 3478 )",86250,"(+/- 2160 )",81267,"(+/- 2139 )",76561,"(+/- 1865 )",80353,"(+/- 2069 )",85551,"(+/- 1103 )",83108,"(+/- 1552 )"
People,"Sex and Age","75 to 84 years",27197,"(+/- 2196 )",45504,"(+/- 2319 )",40416,"(+/- 2164 )",40284,"(+/- 1749 )",35184,"(+/- 1892 )",40145,"(+/- 2069 )",43176,"(+/- 1951 )",41258,"(+/- 2022 )"
People,"Sex and Age","85 years and over",12105,"(+/- 1853 )",19686,"(+/- 1853 )",13369,"(+/- 1921 )",13959,"(+/- 1547 )",16043,"(+/- 1771 )",13665,"(+/- 1424 )",15994,"(+/- 1762 )",13914,"(+/- 1347 )"
People,"Sex and Age","Median age (years)",36.8,"(+/- 0.6 )",42.4,"(+/- 0.7 )",40.2,"(+/- 0.6 )",37.9,"(+/- 0.4 )",37.0,"(+/- 0.4 )",39.2,"(+/- 0.5 )",38.8,"(+/- 0.5 )",41.0,"(+/- 0.5 )"
