Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",1104271,(*****)
People,"Sex and Age",Male,560911,"(+/- 2382 )"
People,"Sex and Age",Female,543360,"(+/- 2382 )"
People,"Sex and Age","Under 5 years",56091,"(+/- 1417 )"
People,"Sex and Age","5 to 9 years",67195,"(+/- 3289 )"
People,"Sex and Age","10 to 14 years",70386,"(+/- 3566 )"
People,"Sex and Age","15 to 19 years",68883,"(+/- 2661 )"
People,"Sex and Age","20 to 24 years",74958,"(+/- 2490 )"
People,"Sex and Age","25 to 34 years",139869,"(+/- 2248 )"
People,"Sex and Age","35 to 44 years",140486,"(+/- 2352 )"
People,"Sex and Age","45 to 54 years",120361,"(+/- 2175 )"
People,"Sex and Age","55 to 59 years",68791,"(+/- 2608 )"
People,"Sex and Age","60 to 64 years",79953,"(+/- 2818 )"
People,"Sex and Age","65 to 74 years",136402,"(+/- 1346 )"
People,"Sex and Age","75 to 84 years",60631,"(+/- 2239 )"
People,"Sex and Age","85 years and over",20265,"(+/- 2182 )"
People,"Sex and Age","Median age (years)",40.1,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",869424,"(+/- 1466 )"
People,"Sex and Age","65 years and over",217298,"(+/- 1441 )"
People,Race,"Total population",1104271,(*****)
People,Race,"One race",1034227,"(+/- 5064 )"
People,Race,White,939189,"(+/- 4341 )"
People,Race,"Black or African American",5703,"(+/- 1128 )"
People,Race,"American Indian and Alaska Native",63896,"(+/- 2785 )"
People,Race,Asian,10309,"(+/- 1780 )"
People,Race,"Native Hawaiian and Other Pacific Islander",397,"(+/- 190 )"
People,Race,"Some other race",14733,"(+/- 3037 )"
People,Race,"Two or more races",70044,"(+/- 5064 )"
People,"Hispanic or Latino and Race","Total population",1104271,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",47420,"(+/- 710 )"
People,"Hispanic or Latino and Race",Mexican,31747,"(+/- 2050 )"
People,"Hispanic or Latino and Race","Puerto Rican",1964,"(+/- 766 )"
People,"Hispanic or Latino and Race",Cuban,651,"(+/- 605 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",13058,"(+/- 2016 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",1056851,"(+/- 710 )"
People,"Place of Birth","Total population",1104271,(*****)
People,"Place of Birth",Native,1079814,"(+/- 3410 )"
People,"Place of Birth","Born in United States",1070596,"(+/- 3830 )"
People,"Place of Birth","State of residence",575002,"(+/- 9246 )"
People,"Place of Birth","Different state",495594,"(+/- 9624 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9218,"(+/- 1609 )"
People,"Place of Birth","Foreign born",24457,"(+/- 3410 )"
People,Ancestry,"Total population",1104271,(*****)
People,Ancestry,American,59617,"(+/- 6612 )"
People,Ancestry,Arab,1823,"(+/- 1451 )"
People,Ancestry,Czech,4773,"(+/- 1339 )"
People,Ancestry,Danish,14147,"(+/- 2773 )"
People,Ancestry,Dutch,20680,"(+/- 3685 )"
People,Ancestry,English,143162,"(+/- 7541 )"
People,Ancestry,"French (except Basque)",27616,"(+/- 3151 )"
People,Ancestry,"French Canadian",5280,"(+/- 1201 )"
People,Ancestry,German,256210,"(+/- 10090 )"
People,Ancestry,Greek,3428,"(+/- 1944 )"
People,Ancestry,Hungarian,6192,"(+/- 2573 )"
People,Ancestry,Irish,155026,"(+/- 8501 )"
People,Ancestry,Italian,39757,"(+/- 4769 )"
People,Ancestry,Lithuanian,906,"(+/- 543 )"
People,Ancestry,Norwegian,82259,"(+/- 6030 )"
People,Ancestry,Polish,16621,"(+/- 2369 )"
People,Ancestry,Portuguese,2898,"(+/- 1498 )"
People,Ancestry,Russian,8662,"(+/- 1950 )"
People,Ancestry,Scotch-Irish,14730,"(+/- 2884 )"
People,Ancestry,Scottish,29557,"(+/- 3387 )"
People,Ancestry,Slovak,1174,"(+/- 414 )"
People,Ancestry,"Subsaharan African",1313,"(+/- 641 )"
People,Ancestry,Swedish,31776,"(+/- 4066 )"
People,Ancestry,Swiss,5845,"(+/- 1348 )"
People,Ancestry,Ukrainian,4973,"(+/- 1953 )"
People,Ancestry,Welsh,7884,"(+/- 1452 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1050,"(+/- 618 )"
People,"Veteran Status","Civilian population 18 years and over",864747,"(+/- 1650 )"
People,"Veteran Status","Civilian veterans",80953,"(+/- 3995 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",1088496,"(+/- 1023 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",153973,"(+/- 6011 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",233925,"(+/- 1477 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",10059,"(+/- 2153 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",641230,"(+/- 1793 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",72758,"(+/- 4739 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",213341,"(+/- 1441 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",71156,"(+/- 3272 )"
People,"Residence 1 Year Ago","Population 1 year and over",1093888,"(+/- 1329 )"
People,"Residence 1 Year Ago","Same house",944443,"(+/- 9690 )"
People,"Residence 1 Year Ago","Different house (in the U.S. or abroad)",149445,"(+/- 9472 )"
People,"Residence 1 Year Ago","Different house in the U.S.",144911,"(+/- 9338 )"
People,"Residence 1 Year Ago","Same county",69229,"(+/- 6276 )"
People,"Residence 1 Year Ago","Different county",75682,"(+/- 6296 )"
People,"Residence 1 Year Ago","Same state",31151,"(+/- 3724 )"
People,"Residence 1 Year Ago","Different state",44531,"(+/- 5330 )"
People,"Residence 1 Year Ago",Abroad,4534,"(+/- 2602 )"
Workers,"Employment Status","Population 16 years and over",895986,"(+/- 2166 )"
Workers,"Employment Status","In labor force",554118,"(+/- 7545 )"
Workers,"Employment Status","Civilian labor force",549441,"(+/- 7444 )"
Workers,"Employment Status",Employed,527565,"(+/- 7222 )"
Workers,"Employment Status",Unemployed,21876,"(+/- 2768 )"
Workers,"Employment Status","Armed Forces",4677,"(+/- 1023 )"
Workers,"Employment Status","Not in labor force",341868,"(+/- 7553 )"
Workers,"Employment Status","Civilian labor force",549441,"(+/- 7444 )"
Workers,"Employment Status","Unemployment Rate",4.0,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",522807,"(+/- 7633 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",372505,"(+/- 7653 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",45401,"(+/- 4034 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",2140,"(+/- 840 )"
Workers,"Commuting to Work",Walked,18629,"(+/- 2387 )"
Workers,"Commuting to Work","Other means",10710,"(+/- 1858 )"
Workers,"Commuting to Work","Worked from home",73422,"(+/- 4683 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",19.1,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",527565,"(+/- 7222 )"
Workers,Occupation,"Management, business, science, and arts occupations",218720,"(+/- 7050 )"
Workers,Occupation,"Service occupations",93097,"(+/- 4968 )"
Workers,Occupation,"Sales and office occupations",96933,"(+/- 5918 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",62453,"(+/- 4078 )"
Workers,Occupation,"Production, transportation, and material moving occupations",56362,"(+/- 3999 )"
Workers,Industry,"Civilian employed population 16 years and over",527565,"(+/- 7222 )"
Workers,Industry,"Agriculture, forestry, fishing and hunting, and mining",32368,"(+/- 2654 )"
Workers,Industry,Construction,49735,"(+/- 4071 )"
Workers,Industry,Manufacturing,21833,"(+/- 2413 )"
Workers,Industry,"Wholesale trade",10419,"(+/- 1850 )"
Workers,Industry,"Retail trade",59962,"(+/- 4045 )"
Workers,Industry,"Transportation and warehousing, and utilities",27061,"(+/- 3185 )"
Workers,Industry,Information,10095,"(+/- 1791 )"
Workers,Industry,"Finance and insurance, and real estate and rental and leasing",26932,"(+/- 2854 )"
Workers,Industry,"Professional, scientific, and management, and administrative and waste management services",52363,"(+/- 4493 )"
Workers,Industry,"Educational services, and health care and social assistance",127378,"(+/- 6075 )"
Workers,Industry,"Arts, entertainment, and recreation, and accommodation and food services",51982,"(+/- 3724 )"
Workers,Industry,"Other services, except public administration",25732,"(+/- 3141 )"
Workers,Industry,"Public administration",31705,"(+/- 2841 )"
Workers,"Class of Worker","Civilian employed population 16 years and over",527565,"(+/- 7222 )"
Workers,"Class of Worker","Private wage and salary workers",383690,"(+/- 7997 )"
Workers,"Class of Worker","Government workers",92156,"(+/- 5020 )"
Workers,"Class of Worker","Self-employed in own not incorporated business workers",50205,"(+/- 4337 )"
Workers,"Class of Worker","Unpaid family workers",1514,"(+/- 604 )"
Housing,"Housing Occupancy","Total housing units",521916,"(+/- 188 )"
Housing,"Housing Occupancy","Occupied housing units",448949,"(+/- 4159 )"
Housing,"Housing Occupancy","Vacant housing units",72967,"(+/- 4190 )"
Housing,"Housing Occupancy","Homeowner vacancy rate",0.9,"(+/- 0.3 )"
Housing,"Housing Occupancy","Rental vacancy rate",5.8,"(+/- 1.1 )"
Housing,"Housing Tenure","Occupied housing units",448949,"(+/- 4159 )"
Housing,"Housing Tenure",Owner-occupied,311861,"(+/- 5221 )"
Housing,"Housing Tenure",Renter-occupied,137088,"(+/- 4642 )"
Housing,"Housing Tenure","Average household size of owner-occupied unit",2.52,"(+/- 0.03 )"
Housing,"Housing Tenure","Average household size of renter-occupied unit",2.13,"(+/- 0.06 )"
Housing,"Year Householder Moved into Unit","Occupied housing units",448949,"(+/- 4159 )"
Housing,"Year Householder Moved into Unit","Moved in 2019 or later",125463,"(+/- 5197 )"
Housing,"Year Householder Moved into Unit","Moved in 2015 to 2018",98216,"(+/- 5404 )"
