Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE"
People,"Sex and Age","Total population",686299,"(+/- 19652 )",766406,"(+/- 3645 )",883132,"(+/- 17995 )",808154,"(+/- 17090 )"
People,"Sex and Age",Male,350590,"(+/- 10930 )",393360,"(+/- 2729 )",433911,"(+/- 10164 )",407346,"(+/- 10493 )"
People,"Sex and Age",Female,335709,"(+/- 11461 )",373046,"(+/- 2529 )",449221,"(+/- 11619 )",400808,"(+/- 10330 )"
People,"Sex and Age","Under 5 years",38301,"(+/- 3706 )",40589,"(+/- 1244 )",53125,"(+/- 4815 )",45062,"(+/- 4308 )"
People,"Sex and Age","5 to 9 years",40931,"(+/- 3409 )",46022,"(+/- 3352 )",53623,"(+/- 4850 )",50187,"(+/- 4820 )"
People,"Sex and Age","10 to 14 years",43869,"(+/- 3873 )",46660,"(+/- 3274 )",57707,"(+/- 5080 )",60374,"(+/- 4905 )"
People,"Sex and Age","15 to 19 years",42467,"(+/- 3386 )",44214,"(+/- 2348 )",48495,"(+/- 3528 )",54160,"(+/- 3284 )"
People,"Sex and Age","20 to 24 years",47242,"(+/- 3764 )",47106,"(+/- 2223 )",43266,"(+/- 3772 )",47765,"(+/- 3689 )"
People,"Sex and Age","25 to 34 years",100915,"(+/- 5419 )",108655,"(+/- 2492 )",126450,"(+/- 6072 )",115743,"(+/- 6525 )"
People,"Sex and Age","35 to 44 years",94363,"(+/- 5558 )",100154,"(+/- 2403 )",133598,"(+/- 5584 )",105704,"(+/- 6078 )"
People,"Sex and Age","45 to 54 years",89792,"(+/- 4788 )",90186,"(+/- 2690 )",116626,"(+/- 6256 )",100362,"(+/- 5748 )"
People,"Sex and Age","55 to 59 years",40436,"(+/- 3443 )",50062,"(+/- 3372 )",50225,"(+/- 4104 )",53604,"(+/- 4289 )"
People,"Sex and Age","60 to 64 years",45309,"(+/- 3556 )",51508,"(+/- 3176 )",55348,"(+/- 3898 )",44218,"(+/- 3775 )"
People,"Sex and Age","65 to 74 years",66278,"(+/- 3293 )",89232,"(+/- 1780 )",86251,"(+/- 3717 )",81962,"(+/- 4240 )"
People,"Sex and Age","75 to 84 years",28636,"(+/- 2572 )",37589,"(+/- 2018 )",47577,"(+/- 3142 )",38451,"(+/- 2527 )"
People,"Sex and Age","85 years and over",7760,"(+/- 1451 )",14429,"(+/- 1721 )",10841,"(+/- 1620 )",10562,"(+/- 1572 )"
People,"Sex and Age","Median age (years)",38.1,"(+/- 0.8 )",40.1,"(+/- 0.4 )",39.0,"(+/- 0.7 )",37.8,"(+/- 0.7 )"
People,"Sex and Age","18 years and over",539003,"(+/- 14197 )",604871,"(+/- 2784 )",686751,"(+/- 12524 )",615747,"(+/- 12860 )"
People,"Sex and Age","65 years and over",102674,"(+/- 4109 )",141250,"(+/- 1971 )",144669,"(+/- 4131 )",130975,"(+/- 4994 )"
People,Race,"Total population",686299,"(+/- 19652 )",766406,"(+/- 3645 )",883132,"(+/- 17995 )",808154,"(+/- 17090 )"
