Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
People,"Sex and Age","Total population",708467,"(+/- 6016 )",680525,"(+/- 6016 )"
People,"Sex and Age",Male,350040,"(+/- 4231 )",343194,"(+/- 3785 )"
People,"Sex and Age",Female,358427,"(+/- 4203 )",337331,"(+/- 4408 )"
People,"Sex and Age","Under 5 years",33250,"(+/- 1825 )",28970,"(+/- 1623 )"
People,"Sex and Age","5 to 9 years",35784,"(+/- 2728 )",31625,"(+/- 2276 )"
People,"Sex and Age","10 to 14 years",37381,"(+/- 3045 )",41509,"(+/- 2832 )"
People,"Sex and Age","15 to 19 years",43363,"(+/- 2622 )",42336,"(+/- 2072 )"
People,"Sex and Age","20 to 24 years",44619,"(+/- 2966 )",41837,"(+/- 2829 )"
People,"Sex and Age","25 to 34 years",94684,"(+/- 2839 )",83610,"(+/- 2780 )"
People,"Sex and Age","35 to 44 years",88265,"(+/- 2900 )",78221,"(+/- 2898 )"
People,"Sex and Age","45 to 54 years",89734,"(+/- 3325 )",88742,"(+/- 3281 )"
People,"Sex and Age","55 to 59 years",53749,"(+/- 3740 )",51170,"(+/- 2519 )"
People,"Sex and Age","60 to 64 years",57866,"(+/- 3200 )",54536,"(+/- 3280 )"
People,"Sex and Age","65 to 74 years",81032,"(+/- 3031 )",85821,"(+/- 3117 )"
People,"Sex and Age","75 to 84 years",36597,"(+/- 2014 )",38622,"(+/- 2306 )"
People,"Sex and Age","85 years and over",12143,"(+/- 1608 )",13526,"(+/- 1634 )"
People,"Sex and Age","Median age (years)",42.2,"(+/- 0.6 )",44.1,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",577780,"(+/- 5355 )",554958,"(+/- 5354 )"
People,"Sex and Age","65 years and over",129772,"(+/- 3710 )",137969,"(+/- 3892 )"
People,Race,"Total population",708467,"(+/- 6016 )",680525,"(+/- 6016 )"
People,Race,"One race",660109,"(+/- 8253 )",639607,"(+/- 7861 )"
People,Race,White,620451,"(+/- 8851 )",600980,"(+/- 7598 )"
People,Race,"Black or African American",12693,"(+/- 1928 )",7598,"(+/- 1703 )"
People,Race,"American Indian and Alaska Native",615,"(+/- 461 )",935,"(+/- 536 )"
People,Race,Asian,14623,"(+/- 3040 )",21799,"(+/- 2980 )"
People,Race,"Native Hawaiian and Other Pacific Islander",0,"(+/- 198 )",39,"(+/- 57 )"
People,Race,"Some other race",11727,"(+/- 3579 )",8256,"(+/- 2323 )"
People,Race,"Two or more races",48358,"(+/- 5990 )",40918,"(+/- 4722 )"
People,"Hispanic or Latino and Race","Total population",708467,"(+/- 6016 )",680525,"(+/- 6016 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",30633,"(+/- 3491 )",29690,"(+/- 3505 )"
People,"Hispanic or Latino and Race",Mexican,6774,"(+/- 2410 )",4668,"(+/- 1623 )"
People,"Hispanic or Latino and Race","Puerto Rican",9534,"(+/- 2243 )",11238,"(+/- 2581 )"
People,"Hispanic or Latino and Race",Cuban,1553,"(+/- 1220 )",404,"(+/- 369 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",12772,"(+/- 3015 )",13380,"(+/- 2851 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",677834,"(+/- 6966 )",650835,"(+/- 6999 )"
People,"Place of Birth","Total population",708467,"(+/- 6016 )",680525,"(+/- 6016 )"
People,"Place of Birth",Native,667035,"(+/- 7360 )",639830,"(+/- 6331 )"
People,"Place of Birth","Born in United States",657872,"(+/- 7428 )",632845,"(+/- 6150 )"
People,"Place of Birth","State of residence",282799,"(+/- 7978 )",291905,"(+/- 8294 )"
People,"Place of Birth","Different state",375073,"(+/- 7937 )",340940,"(+/- 8595 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",9163,"(+/- 2314 )",6985,"(+/- 1472 )"
People,"Place of Birth","Foreign born",41432,"(+/- 4522 )",40695,"(+/- 3712 )"
People,Ancestry,"Total population",708467,"(+/- 6016 )",680525,"(+/- 6016 )"
People,Ancestry,American,28709,"(+/- 6029 )",32695,"(+/- 3928 )"
People,Ancestry,Arab,4125,"(+/- 1816 )",4654,"(+/- 1443 )"
People,Ancestry,Czech,1528,"(+/- 762 )",1186,"(+/- 560 )"
People,Ancestry,Danish,1358,"(+/- 565 )",1695,"(+/- 821 )"
People,Ancestry,Dutch,4925,"(+/- 1523 )",4944,"(+/- 1091 )"
People,Ancestry,English,118767,"(+/- 8290 )",127540,"(+/- 8410 )"
People,Ancestry,"French (except Basque)",71633,"(+/- 6809 )",78551,"(+/- 5849 )"
People,Ancestry,"French Canadian",50652,"(+/- 4985 )",47664,"(+/- 4705 )"
People,Ancestry,German,54225,"(+/- 4202 )",56281,"(+/- 5181 )"
People,Ancestry,Greek,11882,"(+/- 3044 )",5568,"(+/- 1497 )"
