Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE"
People,"Sex and Age","Total population",749827,"(+/- 7719 )",739987,"(+/- 7283 )",761771,"(+/- 5843 )",804956,"(+/- 8724 )",757022,"(+/- 11362 )",762208,"(+/- 9284 )",761486,"(+/- 11976 )",797874,"(+/- 12983 )",778948,"(+/- 12069 )",808433,"(+/- 13813 )",761290,"(+/- 11430 )",783328,"(+/- 6650 )"
People,"Sex and Age",Male,364642,"(+/- 4388 )",364928,"(+/- 3872 )",374863,"(+/- 4225 )",393771,"(+/- 5787 )",377391,"(+/- 7205 )",377080,"(+/- 6229 )",378654,"(+/- 7156 )",393589,"(+/- 7705 )",379808,"(+/- 7623 )",394220,"(+/- 8564 )",374595,"(+/- 6577 )",390019,"(+/- 5937 )"
People,"Sex and Age",Female,385185,"(+/- 4293 )",375059,"(+/- 5272 )",386908,"(+/- 3998 )",411185,"(+/- 5970 )",379631,"(+/- 5880 )",385128,"(+/- 5750 )",382832,"(+/- 7302 )",404285,"(+/- 8468 )",399140,"(+/- 6596 )",414213,"(+/- 7770 )",386695,"(+/- 7226 )",393309,"(+/- 6192 )"
People,"Sex and Age","Under 5 years",43095,"(+/- 1750 )",36703,"(+/- 2005 )",35135,"(+/- 2419 )",56078,"(+/- 3352 )",35485,"(+/- 3090 )",42416,"(+/- 3500 )",35944,"(+/- 2149 )",49892,"(+/- 3561 )",44991,"(+/- 3069 )",55844,"(+/- 3828 )",40003,"(+/- 3158 )",40614,"(+/- 3687 )"
People,"Sex and Age","5 to 9 years",47966,"(+/- 3370 )",43472,"(+/- 3490 )",36514,"(+/- 2954 )",57065,"(+/- 4121 )",42123,"(+/- 3227 )",41288,"(+/- 3099 )",45298,"(+/- 3113 )",48217,"(+/- 3996 )",44605,"(+/- 3409 )",48159,"(+/- 3581 )",45367,"(+/- 3391 )",51610,"(+/- 3765 )"
People,"Sex and Age","10 to 14 years",44476,"(+/- 2914 )",47738,"(+/- 3136 )",46576,"(+/- 3196 )",57475,"(+/- 3710 )",51676,"(+/- 3470 )",47558,"(+/- 3976 )",51789,"(+/- 3601 )",44565,"(+/- 4179 )",51417,"(+/- 4227 )",51453,"(+/- 3975 )",48327,"(+/- 3421 )",49828,"(+/- 3736 )"
People,"Sex and Age","15 to 19 years",46157,"(+/- 1746 )",43164,"(+/- 2152 )",45002,"(+/- 2327 )",50234,"(+/- 3266 )",50106,"(+/- 3284 )",57414,"(+/- 3266 )",47682,"(+/- 2980 )",42414,"(+/- 3212 )",48398,"(+/- 3246 )",51969,"(+/- 3324 )",47460,"(+/- 3670 )",49783,"(+/- 3391 )"
People,"Sex and Age","20 to 24 years",45304,"(+/- 1994 )",42406,"(+/- 2195 )",47134,"(+/- 2191 )",41493,"(+/- 3347 )",45011,"(+/- 2791 )",51209,"(+/- 2943 )",38858,"(+/- 2391 )",46117,"(+/- 4233 )",46853,"(+/- 2769 )",50896,"(+/- 4050 )",44755,"(+/- 2610 )",52122,"(+/- 2938 )"
People,"Sex and Age","25 to 34 years",103751,"(+/- 2951 )",86155,"(+/- 3824 )",89497,"(+/- 3374 )",89860,"(+/- 4476 )",76133,"(+/- 4495 )",98776,"(+/- 4408 )",78653,"(+/- 3958 )",149438,"(+/- 4532 )",111941,"(+/- 4734 )",124836,"(+/- 5289 )",79773,"(+/- 4248 )",96884,"(+/- 5580 )"
People,"Sex and Age","35 to 44 years",97346,"(+/- 2825 )",90264,"(+/- 3529 )",90761,"(+/- 2921 )",89190,"(+/- 4265 )",94093,"(+/- 4105 )",106350,"(+/- 4631 )",98264,"(+/- 4213 )",131789,"(+/- 4737 )",107337,"(+/- 4580 )",112969,"(+/- 5344 )",101582,"(+/- 4032 )",103182,"(+/- 5157 )"
People,"Sex and Age","45 to 54 years",95494,"(+/- 2226 )",92720,"(+/- 3603 )",98909,"(+/- 3400 )",92515,"(+/- 4350 )",107776,"(+/- 4340 )",100738,"(+/- 4100 )",111273,"(+/- 3661 )",104686,"(+/- 4757 )",103090,"(+/- 4328 )",104504,"(+/- 3961 )",100329,"(+/- 4670 )",105119,"(+/- 4310 )"
People,"Sex and Age","55 to 59 years",52497,"(+/- 2498 )",52405,"(+/- 3571 )",57588,"(+/- 3756 )",55914,"(+/- 3319 )",58801,"(+/- 3415 )",53994,"(+/- 3650 )",62165,"(+/- 3646 )",45619,"(+/- 4403 )",49017,"(+/- 4020 )",51851,"(+/- 4538 )",56956,"(+/- 4174 )",55089,"(+/- 4075 )"
People,"Sex and Age","60 to 64 years",50406,"(+/- 3115 )",58179,"(+/- 3172 )",60507,"(+/- 3649 )",56344,"(+/- 3850 )",58913,"(+/- 3966 )",49217,"(+/- 3510 )",56341,"(+/- 3844 )",42070,"(+/- 4309 )",51252,"(+/- 3611 )",47037,"(+/- 4005 )",52986,"(+/- 3770 )",49681,"(+/- 3797 )"
People,"Sex and Age","65 to 74 years",74126,"(+/- 2034 )",90522,"(+/- 2492 )",89028,"(+/- 2691 )",89878,"(+/- 4069 )",81463,"(+/- 3390 )",71116,"(+/- 3097 )",79286,"(+/- 3464 )",54551,"(+/- 3709 )",72148,"(+/- 4112 )",65669,"(+/- 3463 )",79463,"(+/- 3290 )",75938,"(+/- 3484 )"
People,"Sex and Age","75 to 84 years",34581,"(+/- 1951 )",40836,"(+/- 2406 )",44862,"(+/- 2376 )",48856,"(+/- 3610 )",39682,"(+/- 2693 )",30991,"(+/- 2339 )",38298,"(+/- 2782 )",28501,"(+/- 2637 )",32919,"(+/- 2720 )",31612,"(+/- 2609 )",43247,"(+/- 3073 )",39546,"(+/- 2481 )"
People,"Sex and Age","85 years and over",14628,"(+/- 1688 )",15423,"(+/- 1546 )",20258,"(+/- 2192 )",20054,"(+/- 2614 )",15760,"(+/- 1978 )",11141,"(+/- 1595 )",17635,"(+/- 2371 )",10015,"(+/- 1433 )",14980,"(+/- 2300 )",11634,"(+/- 1935 )",21042,"(+/- 2478 )",13932,"(+/- 1869 )"
People,"Sex and Age","Median age (years)",39.2,"(+/- 0.4 )",42.7,"(+/- 0.6 )",44.1,"(+/- 0.6 )",40.4,"(+/- 0.9 )",43.4,"(+/- 0.6 )",39.0,"(+/- 0.6 )",43.4,"(+/- 0.6 )",36.3,"(+/- 0.5 )",39.0,"(+/- 0.7 )",36.6,"(+/- 0.6 )",42.5,"(+/- 0.6 )",40.4,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",584800,"(+/- 5319 )",585030,"(+/- 6001 )",613134,"(+/- 5577 )",601867,"(+/- 9196 )",596046,"(+/- 8157 )",601263,"(+/- 7041 )",597097,"(+/- 8938 )",629798,"(+/- 11584 )",607903,"(+/- 9078 )",620649,"(+/- 10204 )",597771,"(+/- 9860 )",610896,"(+/- 6087 )"
