Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",698553,"(+/- 8466 )",712769,"(+/- 6017 )",704555,"(+/- 6984 )"
People,"Sex and Age",Male,345958,"(+/- 4676 )",360359,"(+/- 5348 )",346038,"(+/- 4904 )"
People,"Sex and Age",Female,352595,"(+/- 5145 )",352410,"(+/- 5269 )",358517,"(+/- 4628 )"
People,"Sex and Age","Under 5 years",32727,"(+/- 1233 )",44778,"(+/- 1995 )",37597,"(+/- 1848 )"
People,"Sex and Age","5 to 9 years",38857,"(+/- 3211 )",48803,"(+/- 3739 )",42180,"(+/- 3302 )"
People,"Sex and Age","10 to 14 years",44730,"(+/- 3124 )",48954,"(+/- 3341 )",49038,"(+/- 3503 )"
People,"Sex and Age","15 to 19 years",46139,"(+/- 2176 )",51661,"(+/- 3060 )",47953,"(+/- 2657 )"
People,"Sex and Age","20 to 24 years",43565,"(+/- 2101 )",48917,"(+/- 3738 )",39429,"(+/- 2555 )"
People,"Sex and Age","25 to 34 years",97292,"(+/- 3228 )",94098,"(+/- 5326 )",88085,"(+/- 4185 )"
People,"Sex and Age","35 to 44 years",95141,"(+/- 2640 )",90308,"(+/- 4330 )",88512,"(+/- 3175 )"
People,"Sex and Age","45 to 54 years",82194,"(+/- 2428 )",71277,"(+/- 4448 )",81558,"(+/- 3222 )"
People,"Sex and Age","55 to 59 years",43217,"(+/- 3204 )",39485,"(+/- 3050 )",44026,"(+/- 2566 )"
People,"Sex and Age","60 to 64 years",46836,"(+/- 3239 )",46501,"(+/- 2559 )",50222,"(+/- 3076 )"
People,"Sex and Age","65 to 74 years",79797,"(+/- 2126 )",75370,"(+/- 2381 )",84871,"(+/- 2171 )"
People,"Sex and Age","75 to 84 years",35423,"(+/- 2281 )",37069,"(+/- 2362 )",38815,"(+/- 2204 )"
People,"Sex and Age","85 years and over",12635,"(+/- 1882 )",15548,"(+/- 1986 )",12269,"(+/- 1420 )"
People,"Sex and Age","Median age (years)",39.9,"(+/- 0.4 )",37.0,"(+/- 0.6 )",40.3,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",556202,"(+/- 6505 )",541019,"(+/- 5435 )",546848,"(+/- 5470 )"
People,"Sex and Age","65 years and over",127855,"(+/- 2582 )",127987,"(+/- 2520 )",135955,"(+/- 3044 )"
People,Race,"Total population",698553,"(+/- 8466 )",712769,"(+/- 6017 )",704555,"(+/- 6984 )"
People,Race,"One race",482629,"(+/- 12447 )",487621,"(+/- 13519 )",563102,"(+/- 10532 )"
People,Race,White,328181,"(+/- 8751 )",310939,"(+/- 10247 )",315904,"(+/- 10579 )"
People,Race,"Black or African American",21220,"(+/- 2959 )",11891,"(+/- 1889 )",9713,"(+/- 1842 )"
People,Race,"American Indian and Alaska Native",36620,"(+/- 4819 )",34171,"(+/- 3612 )",126240,"(+/- 4442 )"
People,Race,Asian,19700,"(+/- 1855 )",7460,"(+/- 1790 )",7579,"(+/- 1183 )"
People,Race,"Native Hawaiian and Other Pacific Islander",383,"(+/- 481 )",741,"(+/- 583 )",226,"(+/- 205 )"
People,Race,"Some other race",76525,"(+/- 9107 )",122419,"(+/- 10479 )",103440,"(+/- 9021 )"
People,Race,"Two or more races",215924,"(+/- 12447 )",225148,"(+/- 12820 )",141453,"(+/- 8484 )"
