Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE"
People,"Sex and Age","Total population","747,139","(+/-4,793)","752,758","(+/-13,694)","749,741","(+/-7,209)","750,874",(+/-572),"743,662","(+/-8,572)","754,077","(+/-8,173)","757,948","(+/-4,245)","756,029","(+/-6,556)","755,891","(+/-6,589)","754,893","(+/-5,827)","750,100","(+/-3,065)","743,616","(+/-14,800)","770,237","(+/-16,397)","764,197","(+/-14,129)"
People,"Sex and Age",Male,"361,447","(+/-4,681)","366,383","(+/-8,158)","383,985","(+/-4,954)","363,233","(+/-2,125)","362,450","(+/-5,579)","360,045","(+/-5,049)","365,541","(+/-4,014)","374,199","(+/-5,320)","371,004","(+/-4,911)","369,149","(+/-3,973)","366,411","(+/-3,048)","355,681","(+/-7,930)","377,364","(+/-9,613)","372,431","(+/-7,884)"
People,"Sex and Age",Female,"385,692","(+/-3,964)","386,375","(+/-7,575)","365,756","(+/-5,121)","387,641","(+/-2,218)","381,212","(+/-5,613)","394,032","(+/-4,870)","392,407","(+/-3,514)","381,830","(+/-4,345)","384,887","(+/-4,686)","385,744","(+/-4,057)","383,689","(+/-3,451)","387,935","(+/-9,561)","392,873","(+/-9,040)","391,766","(+/-8,496)"
People,"Sex and Age","Under 5 years","37,710","(+/-2,371)","43,340","(+/-3,433)","44,794","(+/-2,675)","40,111","(+/-1,140)","35,031","(+/-2,438)","43,585","(+/-2,170)","38,234","(+/-1,764)","42,376","(+/-2,651)","50,153","(+/-2,327)","39,000","(+/-1,882)","33,659","(+/-1,734)","45,904","(+/-3,854)","42,965","(+/-3,636)","45,939","(+/-3,229)"
People,"Sex and Age","5 to 9 years","43,933","(+/-3,106)","43,322","(+/-3,771)","46,420","(+/-3,869)","41,116","(+/-2,386)","38,375","(+/-3,196)","44,133","(+/-3,733)","41,845","(+/-3,337)","45,190","(+/-3,185)","50,830","(+/-3,907)","41,088","(+/-2,689)","35,454","(+/-2,482)","47,758","(+/-4,437)","52,016","(+/-4,065)","46,247","(+/-3,617)"
People,"Sex and Age","10 to 14 years","46,130","(+/-3,113)","50,225","(+/-3,833)","46,027","(+/-3,247)","44,688","(+/-2,715)","44,552","(+/-3,889)","51,210","(+/-4,182)","47,162","(+/-2,523)","55,480","(+/-3,551)","49,428","(+/-3,849)","49,505","(+/-3,040)","40,501","(+/-2,704)","55,781","(+/-4,271)","61,248","(+/-4,499)","47,823","(+/-3,800)"
People,"Sex and Age","15 to 19 years","53,766","(+/-3,627)","55,319","(+/-2,499)","46,908","(+/-3,511)","52,583","(+/-2,557)","57,989","(+/-3,612)","54,234","(+/-2,267)","45,861","(+/-2,401)","55,073","(+/-2,728)","49,346","(+/-3,322)","48,079","(+/-2,141)","42,440","(+/-2,665)","52,180","(+/-4,382)","50,984","(+/-3,256)","44,949","(+/-3,711)"
People,"Sex and Age","20 to 24 years","52,816","(+/-3,658)","50,456","(+/-2,939)","71,235","(+/-3,690)","63,470","(+/-3,028)","49,790","(+/-3,331)","46,974","(+/-2,429)","48,700","(+/-3,048)","43,392","(+/-3,076)","55,497","(+/-3,238)","46,142","(+/-2,569)","39,990","(+/-2,341)","48,522","(+/-3,701)","44,999","(+/-3,267)","43,548","(+/-3,393)"
People,"Sex and Age","25 to 34 years","87,107","(+/-4,284)","115,615","(+/-5,333)","92,078","(+/-3,572)","103,422","(+/-2,628)","83,963","(+/-3,188)","98,259","(+/-2,718)","95,244","(+/-3,710)","80,252","(+/-3,527)","106,408","(+/-3,284)","88,774","(+/-3,586)","86,213","(+/-3,124)","109,653","(+/-5,724)","97,995","(+/-5,674)","131,681","(+/-5,010)"
People,"Sex and Age","35 to 44 years","88,995","(+/-4,314)","111,916","(+/-4,288)","86,527","(+/-3,828)","97,171","(+/-2,501)","88,103","(+/-3,265)","92,559","(+/-2,860)","84,953","(+/-2,232)","96,478","(+/-3,616)","95,956","(+/-3,765)","85,927","(+/-2,596)","90,693","(+/-3,026)","107,006","(+/-6,223)","112,431","(+/-4,789)","112,222","(+/-4,835)"
