Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",3263584,(*****)
People,"Sex and Age",Male,1543991,"(+/- 3969 )"
People,"Sex and Age",Female,1719593,"(+/- 3969 )"
People,"Sex and Age","Under 5 years",103841,"(+/- 2131 )"
People,"Sex and Age","5 to 9 years",150197,"(+/- 5863 )"
People,"Sex and Age","10 to 14 years",176442,"(+/- 5847 )"
People,"Sex and Age","15 to 19 years",205814,"(+/- 5445 )"
People,"Sex and Age","20 to 24 years",225881,"(+/- 5361 )"
People,"Sex and Age","25 to 34 years",402204,"(+/- 5408 )"
People,"Sex and Age","35 to 44 years",400607,"(+/- 4315 )"
People,"Sex and Age","45 to 54 years",415974,"(+/- 2915 )"
People,"Sex and Age","55 to 59 years",220356,"(+/- 6469 )"
People,"Sex and Age","60 to 64 years",221782,"(+/- 6466 )"
People,"Sex and Age","65 to 74 years",384163,(*****)
People,"Sex and Age","75 to 84 years",259065,"(+/- 6385 )"
People,"Sex and Age","85 years and over",97258,"(+/- 6382 )"
People,"Sex and Age","Median age (years)",44.1,"(+/- 0.2 )"
People,"Sex and Age","18 years and over",2717796,(*****)
People,"Sex and Age","65 years and over",740486,(*****)
People,Race,"Total population",3263584,(*****)
People,Race,"One race",2096414,"(+/- 25230 )"
People,Race,White,914840,"(+/- 20303 )"
People,Race,"Black or African American",200391,"(+/- 16369 )"
People,Race,"American Indian and Alaska Native",6340,"(+/- 2214 )"
People,Race,Asian,6615,"(+/- 2013 )"
People,Race,"Native Hawaiian and Other Pacific Islander",84,"(+/- 139 )"
People,Race,"Some other race",968144,"(+/- 26102 )"
People,Race,"Two or more races",1167170,"(+/- 25230 )"
People,"Hispanic or Latino and Race","Total population",3263584,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",3239060,"(+/- 3905 )"
People,"Hispanic or Latino and Race",Mexican,6062,"(+/- 1868 )"
People,"Hispanic or Latino and Race","Puerto Rican",3128427,"(+/- 9953 )"
People,"Hispanic or Latino and Race",Cuban,10041,"(+/- 1926 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",94530,"(+/- 8213 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",24524,"(+/- 3905 )"
People,"Place of Birth","Total population",2859,"(+/- 1312 )"
People,"Place of Birth",Native,3263584,(*****)
People,"Place of Birth","Born in Puerto Rico or the United States",3175946,"(+/- 7382 )"
People,"Place of Birth","In Puerto Rico",3165593,"(+/- 7678 )"
People,"Place of Birth","In the United States",3011918,"(+/- 12174 )"
People,"Place of Birth","Born in U.S. Island areas, or born abroad of American parents",153675,"(+/- 8893 )"
People,"Place of Birth","Foreign born",10353,"(+/- 2573 )"
People,Ancestry,"Total population",3263584,(*****)
People,Ancestry,American,33625,"(+/- 4890 )"
People,Ancestry,Arab,720,"(+/- 415 )"
People,Ancestry,Czech,0,"(+/- 254 )"
People,Ancestry,Danish,147,"(+/- 240 )"
People,Ancestry,Dutch,0,"(+/- 254 )"
People,Ancestry,English,738,"(+/- 440 )"
People,Ancestry,"French (except Basque)",2803,"(+/- 1308 )"
People,Ancestry,"French Canadian",175,"(+/- 179 )"
People,Ancestry,German,1834,"(+/- 699 )"
People,Ancestry,Greek,0,"(+/- 254 )"
People,Ancestry,Hungarian,0,"(+/- 254 )"
People,Ancestry,Irish,2117,"(+/- 858 )"
People,Ancestry,Italian,3872,"(+/- 1465 )"
People,Ancestry,Lithuanian,0,"(+/- 254 )"
People,Ancestry,Norwegian,72,"(+/- 62 )"
People,Ancestry,Polish,127,"(+/- 155 )"
People,Ancestry,Portuguese,227,"(+/- 212 )"
People,Ancestry,Russian,283,"(+/- 244 )"
People,Ancestry,Scotch-Irish,0,"(+/- 254 )"
People,Ancestry,Scottish,289,"(+/- 263 )"
People,Ancestry,Slovak,0,"(+/- 254 )"
People,Ancestry,"Subsaharan African",2721,"(+/- 1121 )"
People,Ancestry,Swedish,133,"(+/- 236 )"
People,Ancestry,Swiss,116,"(+/- 191 )"
People,Ancestry,Ukrainian,83,"(+/- 138 )"
People,Ancestry,Welsh,0,"(+/- 254 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",6382,"(+/- 1737 )"
People,"Veteran Status","Civilian population 18 years and over",2714280,"(+/- 1450 )"
People,"Veteran Status","Civilian veterans",64295,"(+/- 4070 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",3237924,"(+/- 1448 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",712517,"(+/- 12484 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",545504,"(+/- 182 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42913,"(+/- 4316 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",1959901,"(+/- 1614 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",319046,"(+/- 11055 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",732519,"(+/- 782 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",350558,"(+/- 7435 )"
People,"Residence 1 Year Ago","Population 1 year and over",3248011,"(+/- 2728 )"
People,"Residence 1 Year Ago","Same house",3040178,"(+/- 12763 )"
People,"Residence 1 Year Ago","Different house (in Puerto Rico, the U.S., or elsewhere)",207833,"(+/- 12313 )"
People,"Residence 1 Year Ago","Different house in Puerto Rico or the U.S.",204974,"(+/- 12374 )"
People,"Residence 1 Year Ago","In Puerto Rico",177594,"(+/- 12122 )"
People,"Residence 1 Year Ago","Same Municipio",105575,"(+/- 9300 )"
People,"Residence 1 Year Ago","Different Municipio",72019,"(+/- 7177 )"
People,"Residence 1 Year Ago","In the United States",27380,"(+/- 3989 )"
People,"Residence 1 Year Ago",Elsewhere,2859,"(+/- 1312 )"
Workers,"Employment Status","Population 16 years and over",2794959,"(+/- 2852 )"
Workers,"Employment Status","In labor force",1252484,"(+/- 15116 )"
Workers,"Employment Status","Civilian labor force",1248968,"(+/- 15432 )"
Workers,"Employment Status",Employed,1085614,"(+/- 16223 )"
Workers,"Employment Status",Unemployed,163354,"(+/- 9354 )"
Workers,"Employment Status","Armed Forces",3516,"(+/- 1447 )"
Workers,"Employment Status","Not in labor force",1542475,"(+/- 15849 )"
Workers,"Employment Status","Civilian labor force",1248968,"(+/- 15432 )"
Workers,"Employment Status","Unemployment Rate",13.1,"(+/- 0.7 )"
Workers,"Commuting to Work","Workers 16 years and over",1055607,"(+/- 15745 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",862533,"(+/- 17544 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",66006,"(+/- 6844 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",7914,"(+/- 1656 )"
Workers,"Commuting to Work",Walked,26107,"(+/- 2842 )"
Workers,"Commuting to Work","Other means",14714,"(+/- 2471 )"
Workers,"Commuting to Work","Worked from home",78333,"(+/- 5882 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",27.1,"(+/- 0.4 )"
