Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",645570,(*****)
People,"Sex and Age",Male,320293,"(+/- 1405 )"
People,"Sex and Age",Female,325277,"(+/- 1405 )"
People,"Sex and Age","Under 5 years",27160,"(+/- 604 )"
People,"Sex and Age","5 to 9 years",30530,"(+/- 1919 )"
People,"Sex and Age","10 to 14 years",37604,"(+/- 2112 )"
People,"Sex and Age","15 to 19 years",41810,"(+/- 1507 )"
People,"Sex and Age","20 to 24 years",45761,"(+/- 2081 )"
People,"Sex and Age","25 to 34 years",76472,"(+/- 1561 )"
People,"Sex and Age","35 to 44 years",78268,"(+/- 1112 )"
People,"Sex and Age","45 to 54 years",77822,"(+/- 923 )"
People,"Sex and Age","55 to 59 years",46986,"(+/- 2145 )"
People,"Sex and Age","60 to 64 years",49984,"(+/- 2294 )"
People,"Sex and Age","65 to 74 years",82361,"(+/- 635 )"
People,"Sex and Age","75 to 84 years",36980,"(+/- 1516 )"
People,"Sex and Age","85 years and over",13832,"(+/- 1605 )"
People,"Sex and Age","Median age (years)",42.9,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",528803,"(+/- 884 )"
People,"Sex and Age","65 years and over",133173,"(+/- 720 )"
People,Race,"Total population",645570,(*****)
People,Race,"One race",612430,"(+/- 3377 )"
People,Race,White,588142,"(+/- 2542 )"
People,Race,"Black or African American",7120,"(+/- 1222 )"
People,Race,"American Indian and Alaska Native",1234,"(+/- 668 )"
People,Race,Asian,11345,"(+/- 1165 )"
People,Race,"Native Hawaiian and Other Pacific Islander",101,"(+/- 186 )"
People,Race,"Some other race",4488,"(+/- 996 )"
People,Race,"Two or more races",33140,"(+/- 3377 )"
People,"Hispanic or Latino and Race","Total population",645570,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",13206,"(+/- 414 )"
People,"Hispanic or Latino and Race",Mexican,4026,"(+/- 1049 )"
People,"Hispanic or Latino and Race","Puerto Rican",1649,"(+/- 750 )"
People,"Hispanic or Latino and Race",Cuban,668,"(+/- 421 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",6863,"(+/- 1132 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",632364,"(+/- 414 )"
People,"Place of Birth","Total population",645570,(*****)
People,"Place of Birth",Native,618367,"(+/- 2560 )"
People,"Place of Birth","Born in United States",612483,"(+/- 2819 )"
People,"Place of Birth","State of residence",307063,"(+/- 7916 )"
People,"Place of Birth","Different state",305420,"(+/- 7269 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",5884,"(+/- 973 )"
People,"Place of Birth","Foreign born",27203,"(+/- 2560 )"
People,Ancestry,"Total population",645570,(*****)
People,Ancestry,American,37789,"(+/- 4395 )"
People,Ancestry,Arab,1503,"(+/- 649 )"
People,Ancestry,Czech,1744,"(+/- 772 )"
People,Ancestry,Danish,1709,"(+/- 686 )"
People,Ancestry,Dutch,7869,"(+/- 1815 )"
People,Ancestry,English,129235,"(+/- 5520 )"
People,Ancestry,"French (except Basque)",58773,"(+/- 4600 )"
People,Ancestry,"French Canadian",45495,"(+/- 4337 )"
People,Ancestry,German,65827,"(+/- 4914 )"
People,Ancestry,Greek,2486,"(+/- 786 )"
People,Ancestry,Hungarian,2596,"(+/- 665 )"
