Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE"
People,"Sex and Age","Total population",836319,"(+/- 12075 )",748533,"(+/- 7736 )",761402,"(+/- 9305 )",781353,"(+/- 13031 )",742839,"(+/- 6693 )",763436,"(+/- 4851 )",830040,"(+/- 11302 )",788119,"(+/- 13227 )",693122,"(+/- 4180 )",895085,"(+/- 12606 )",802026,"(+/- 17952 )"
People,"Sex and Age",Male,418464,"(+/- 7364 )",370976,"(+/- 5379 )",372241,"(+/- 6538 )",380075,"(+/- 8478 )",366303,"(+/- 4988 )",371787,"(+/- 4603 )",406593,"(+/- 6809 )",389253,"(+/- 7509 )",347004,"(+/- 3253 )",450266,"(+/- 7373 )",400969,"(+/- 9821 )"
People,"Sex and Age",Female,417855,"(+/- 7036 )",377557,"(+/- 4883 )",389161,"(+/- 5191 )",401278,"(+/- 7884 )",376536,"(+/- 4451 )",391649,"(+/- 4770 )",423447,"(+/- 6762 )",398866,"(+/- 8038 )",346118,"(+/- 3902 )",444819,"(+/- 7650 )",401057,"(+/- 9821 )"
People,"Sex and Age","Under 5 years",44569,"(+/- 2617 )",41508,"(+/- 1754 )",50993,"(+/- 2162 )",44802,"(+/- 3324 )",33310,"(+/- 2079 )",38799,"(+/- 1929 )",43651,"(+/- 2957 )",49269,"(+/- 3252 )",30663,"(+/- 1398 )",53283,"(+/- 2343 )",50145,"(+/- 3757 )"
People,"Sex and Age","5 to 9 years",55218,"(+/- 3708 )",41575,"(+/- 3261 )",42509,"(+/- 3298 )",40068,"(+/- 3562 )",42094,"(+/- 2962 )",44376,"(+/- 2869 )",54602,"(+/- 4164 )",46716,"(+/- 3466 )",31832,"(+/- 2510 )",62031,"(+/- 3538 )",53198,"(+/- 3446 )"
People,"Sex and Age","10 to 14 years",57582,"(+/- 3838 )",50111,"(+/- 3418 )",49508,"(+/- 3222 )",47585,"(+/- 3240 )",42427,"(+/- 3163 )",43780,"(+/- 2869 )",58075,"(+/- 3831 )",43224,"(+/- 3794 )",39316,"(+/- 2587 )",71722,"(+/- 4050 )",55690,"(+/- 3912 )"
People,"Sex and Age","15 to 19 years",56859,"(+/- 3024 )",47436,"(+/- 2262 )",53649,"(+/- 3181 )",48332,"(+/- 3705 )",53211,"(+/- 3114 )",56098,"(+/- 2920 )",51841,"(+/- 3350 )",36299,"(+/- 2511 )",48235,"(+/- 3088 )",66286,"(+/- 3217 )",52579,"(+/- 3067 )"
People,"Sex and Age","20 to 24 years",52310,"(+/- 4422 )",58653,"(+/- 2959 )",62987,"(+/- 3251 )",53368,"(+/- 3541 )",44096,"(+/- 3926 )",61328,"(+/- 3563 )",39846,"(+/- 3142 )",45992,"(+/- 3026 )",55102,"(+/- 3194 )",48803,"(+/- 2926 )",52061,"(+/- 3412 )"
People,"Sex and Age","25 to 34 years",101051,"(+/- 4937 )",112953,"(+/- 3180 )",119376,"(+/- 4245 )",124031,"(+/- 5246 )",86054,"(+/- 3537 )",94266,"(+/- 3414 )",99676,"(+/- 4449 )",134651,"(+/- 4553 )",75050,"(+/- 2731 )",94894,"(+/- 3482 )",114785,"(+/- 5607 )"
People,"Sex and Age","35 to 44 years",109803,"(+/- 4617 )",98752,"(+/- 2675 )",101369,"(+/- 3653 )",104997,"(+/- 4483 )",88249,"(+/- 3817 )",92196,"(+/- 3644 )",118496,"(+/- 4382 )",132481,"(+/- 4611 )",79339,"(+/- 2580 )",132819,"(+/- 3875 )",119929,"(+/- 5643 )"
