Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE"
People,"Sex and Age","Total population",801211,"(+/- 13441 )",767914,"(+/- 10252 )",781241,"(+/- 3265 )",752581,"(+/- 3778 )",763080,"(+/- 2952 )",738969,"(+/- 8758 )",799770,"(+/- 9370 )",783018,"(+/- 13466 )",760454,"(+/- 10066 )",790454,"(+/- 12073 )"
People,"Sex and Age",Male,407315,"(+/- 9114 )",384456,"(+/- 6704 )",391382,"(+/- 2552 )",381923,"(+/- 2548 )",383171,"(+/- 2245 )",371035,"(+/- 5853 )",401458,"(+/- 8133 )",396304,"(+/- 8115 )",384563,"(+/- 8207 )",395713,"(+/- 6872 )"
People,"Sex and Age",Female,393896,"(+/- 8756 )",383458,"(+/- 6341 )",389859,"(+/- 2591 )",370658,"(+/- 2519 )",379909,"(+/- 2587 )",367934,"(+/- 5975 )",398312,"(+/- 7289 )",386714,"(+/- 7866 )",375891,"(+/- 6690 )",394741,"(+/- 6907 )"
People,"Sex and Age","Under 5 years",47235,"(+/- 3111 )",41209,"(+/- 2521 )",43055,"(+/- 1555 )",51801,"(+/- 1407 )",41267,"(+/- 1178 )",37827,"(+/- 2320 )",35160,"(+/- 2936 )",43916,"(+/- 3675 )",43704,"(+/- 3321 )",47350,"(+/- 2521 )"
People,"Sex and Age","5 to 9 years",54588,"(+/- 3637 )",40674,"(+/- 2959 )",50061,"(+/- 3366 )",57148,"(+/- 3685 )",44894,"(+/- 2756 )",38741,"(+/- 3184 )",30377,"(+/- 3019 )",51996,"(+/- 4204 )",44618,"(+/- 4016 )",54754,"(+/- 3892 )"
People,"Sex and Age","10 to 14 years",55763,"(+/- 3625 )",42113,"(+/- 3587 )",50675,"(+/- 3298 )",66194,"(+/- 3611 )",45944,"(+/- 2478 )",41124,"(+/- 2962 )",32837,"(+/- 3034 )",60866,"(+/- 4201 )",46439,"(+/- 3662 )",50159,"(+/- 3528 )"
People,"Sex and Age","15 to 19 years",48274,"(+/- 3135 )",44270,"(+/- 2835 )",47306,"(+/- 1990 )",55473,"(+/- 2489 )",54491,"(+/- 2199 )",35879,"(+/- 2488 )",36688,"(+/- 2927 )",53014,"(+/- 2920 )",40262,"(+/- 2799 )",47742,"(+/- 2679 )"
People,"Sex and Age","20 to 24 years",35965,"(+/- 3864 )",56144,"(+/- 3031 )",42103,"(+/- 1863 )",49976,"(+/- 2121 )",57058,"(+/- 2565 )",43738,"(+/- 3052 )",58122,"(+/- 4491 )",42929,"(+/- 3420 )",41430,"(+/- 3318 )",54190,"(+/- 3004 )"
People,"Sex and Age","25 to 34 years",114371,"(+/- 6727 )",112559,"(+/- 4527 )",101546,"(+/- 2251 )",99462,"(+/- 2204 )",105892,"(+/- 2102 )",101138,"(+/- 3661 )",182316,"(+/- 7378 )",90925,"(+/- 5965 )",133949,"(+/- 6610 )",123025,"(+/- 4393 )"
People,"Sex and Age","35 to 44 years",125924,"(+/- 6288 )",106215,"(+/- 4468 )",102335,"(+/- 2037 )",97578,"(+/- 2322 )",96816,"(+/- 2092 )",94566,"(+/- 3580 )",129391,"(+/- 4978 )",121462,"(+/- 6328 )",113390,"(+/- 5100 )",112675,"(+/- 4111 )"
People,"Sex and Age","45 to 54 years",103138,"(+/- 4900 )",89600,"(+/- 3639 )",98077,"(+/- 1955 )",80727,"(+/- 2288 )",83602,"(+/- 1693 )",83673,"(+/- 3253 )",97974,"(+/- 4594 )",103878,"(+/- 4361 )",98619,"(+/- 4953 )",88158,"(+/- 3529 )"
People,"Sex and Age","55 to 59 years",47554,"(+/- 3712 )",48152,"(+/- 3474 )",53373,"(+/- 3330 )",42996,"(+/- 3007 )",44565,"(+/- 2667 )",47760,"(+/- 3145 )",41903,"(+/- 3678 )",50280,"(+/- 4557 )",45106,"(+/- 3527 )",45111,"(+/- 3335 )"
People,"Sex and Age","60 to 64 years",46246,"(+/- 3091 )",53012,"(+/- 3480 )",51625,"(+/- 3247 )",42244,"(+/- 2890 )",51948,"(+/- 2627 )",54815,"(+/- 3396 )",44459,"(+/- 4415 )",53663,"(+/- 3336 )",44758,"(+/- 3625 )",46958,"(+/- 3212 )"
People,"Sex and Age","65 to 74 years",75591,"(+/- 4035 )",83635,"(+/- 3224 )",89827,"(+/- 1686 )",68014,"(+/- 1320 )",84415,"(+/- 1558 )",100053,"(+/- 2714 )",68405,"(+/- 4120 )",71507,"(+/- 3232 )",64871,"(+/- 3401 )",74712,"(+/- 2484 )"
People,"Sex and Age","75 to 84 years",36454,"(+/- 2889 )",38043,"(+/- 2073 )",36372,"(+/- 1726 )",30091,"(+/- 1802 )",38673,"(+/- 1512 )",45214,"(+/- 2373 )",30586,"(+/- 2731 )",28719,"(+/- 2779 )",29766,"(+/- 2484 )",33229,"(+/- 2069 )"
People,"Sex and Age","85 years and over",10108,"(+/- 1665 )",12288,"(+/- 1543 )",14886,"(+/- 1741 )",10877,"(+/- 1653 )",13515,"(+/- 1396 )",14441,"(+/- 1832 )",11552,"(+/- 1788 )",9863,"(+/- 1751 )",13542,"(+/- 1786 )",12391,"(+/- 1499 )"
People,"Sex and Age","Median age (years)",38.3,"(+/- 0.5 )",39.2,"(+/- 0.7 )",40.5,"(+/- 0.4 )",34.5,"(+/- 0.3 )",38.1,"(+/- 0.5 )",42.4,"(+/- 0.6 )",36.5,"(+/- 0.4 )",39.2,"(+/- 0.6 )",37.5,"(+/- 0.8 )",36.7,"(+/- 0.6 )"
People,"Sex and Age","18 years and over",612357,"(+/- 9662 )",619709,"(+/- 7533 )",606878,"(+/- 2967 )",540621,"(+/- 2899 )",602086,"(+/- 2945 )",597725,"(+/- 6730 )",682441,"(+/- 9657 )",591080,"(+/- 10833 )",600947,"(+/- 8862 )",609066,"(+/- 8835 )"
