Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
People,"Sex and Age","Total population",600701,"(+/- 4617 )",620298,"(+/- 4340 )",561960,"(+/- 1162 )"
People,"Sex and Age",Male,303309,"(+/- 3432 )",307151,"(+/- 2950 )",276900,"(+/- 2137 )"
People,"Sex and Age",Female,297392,"(+/- 3235 )",313147,"(+/- 3374 )",285060,"(+/- 2359 )"
People,"Sex and Age","Under 5 years",29868,"(+/- 1489 )",31161,"(+/- 1536 )",27755,"(+/- 998 )"
People,"Sex and Age","5 to 9 years",31323,"(+/- 2145 )",35302,"(+/- 2941 )",30905,"(+/- 2589 )"
People,"Sex and Age","10 to 14 years",36523,"(+/- 2673 )",38848,"(+/- 2958 )",35083,"(+/- 2412 )"
People,"Sex and Age","15 to 19 years",38347,"(+/- 1962 )",38567,"(+/- 2484 )",31308,"(+/- 2481 )"
People,"Sex and Age","20 to 24 years",44661,"(+/- 2166 )",33259,"(+/- 2166 )",34610,"(+/- 2716 )"
People,"Sex and Age","25 to 34 years",73513,"(+/- 2647 )",69354,"(+/- 2424 )",59090,"(+/- 2524 )"
People,"Sex and Age","35 to 44 years",73128,"(+/- 2479 )",80050,"(+/- 2806 )",69333,"(+/- 2361 )"
People,"Sex and Age","45 to 54 years",71530,"(+/- 1931 )",80522,"(+/- 2529 )",70019,"(+/- 1947 )"
People,"Sex and Age","55 to 59 years",41433,"(+/- 2465 )",42493,"(+/- 3164 )",36109,"(+/- 2474 )"
People,"Sex and Age","60 to 64 years",40426,"(+/- 2426 )",46789,"(+/- 3174 )",42875,"(+/- 2575 )"
People,"Sex and Age","65 to 74 years",73836,"(+/- 1544 )",76210,"(+/- 2080 )",76540,"(+/- 1628 )"
People,"Sex and Age","75 to 84 years",33683,"(+/- 1564 )",35676,"(+/- 1709 )",37009,"(+/- 1825 )"
People,"Sex and Age","85 years and over",12430,"(+/- 1290 )",12067,"(+/- 1851 )",11324,"(+/- 1757 )"
People,"Sex and Age","Median age (years)",41.4,"(+/- 0.6 )",42.8,"(+/- 0.5 )",44.2,"(+/- 0.3 )"
People,"Sex and Age","18 years and over",482262,"(+/- 3471 )",491223,"(+/- 3424 )",448082,"(+/- 1347 )"
People,"Sex and Age","65 years and over",119949,"(+/- 2068 )",123953,"(+/- 2487 )",124873,"(+/- 1831 )"
People,Race,"Total population",600701,"(+/- 4617 )",620298,"(+/- 4340 )",561960,"(+/- 1162 )"
People,Race,"One race",572344,"(+/- 4860 )",581586,"(+/- 5413 )",540006,"(+/- 2735 )"
People,Race,White,552221,"(+/- 4800 )",546444,"(+/- 4906 )",518721,"(+/- 2079 )"
People,Race,"Black or African American",10956,"(+/- 1460 )",22823,"(+/- 2079 )",16991,"(+/- 2365 )"
People,Race,"American Indian and Alaska Native",785,"(+/- 526 )",494,"(+/- 340 )",998,"(+/- 880 )"
People,Race,Asian,5888,"(+/- 1037 )",6027,"(+/- 1119 )",2191,"(+/- 986 )"
People,Race,"Native Hawaiian and Other Pacific Islander",205,"(+/- 262 )",279,"(+/- 302 )",7,"(+/- 16 )"
People,Race,"Some other race",2289,"(+/- 981 )",5519,"(+/- 1719 )",1098,"(+/- 696 )"
People,Race,"Two or more races",28357,"(+/- 2357 )",38712,"(+/- 3743 )",21954,"(+/- 2667 )"
People,"Hispanic or Latino and Race","Total population",600701,"(+/- 4617 )",620298,"(+/- 4340 )",561960,"(+/- 1162 )"
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",8838,"(+/- 761 )",15780,"(+/- 988 )",5732,"(+/- 976 )"
People,"Hispanic or Latino and Race",Mexican,3567,"(+/- 1382 )",5135,"(+/- 1444 )",2203,"(+/- 890 )"
People,"Hispanic or Latino and Race","Puerto Rican",1503,"(+/- 798 )",3425,"(+/- 1579 )",417,"(+/- 311 )"
People,"Hispanic or Latino and Race",Cuban,394,"(+/- 388 )",165,"(+/- 169 )",336,"(+/- 321 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",3374,"(+/- 914 )",7055,"(+/- 1638 )",2776,"(+/- 1011 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",591863,"(+/- 4624 )",604518,"(+/- 4247 )",556228,"(+/- 1618 )"
People,"Place of Birth","Total population",600701,"(+/- 4617 )",620298,"(+/- 4340 )",561960,"(+/- 1162 )"
People,"Place of Birth",Native,590907,"(+/- 5157 )",608198,"(+/- 4739 )",555993,"(+/- 1797 )"
People,"Place of Birth","Born in United States",587861,"(+/- 5130 )",603414,"(+/- 4962 )",553752,"(+/- 2026 )"
