Topic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE"
People,"Sex and Age","Total population",722922,"(+/- 5523 )",793162,"(+/- 2235 )",733081,"(+/- 3984 )",685822,"(+/- 3648 )",741458,"(+/- 4802 )",727054,"(+/- 2964 )",739235,"(+/- 4147 )",753174,"(+/- 1719 )"
People,"Sex and Age",Male,360147,"(+/- 3800 )",397403,"(+/- 1758 )",372476,"(+/- 3036 )",333506,"(+/- 3053 )",365981,"(+/- 3814 )",369811,"(+/- 2476 )",375793,"(+/- 2610 )",380132,"(+/- 1916 )"
People,"Sex and Age",Female,362775,"(+/- 3687 )",395759,"(+/- 1977 )",360605,"(+/- 2548 )",352316,"(+/- 3076 )",375477,"(+/- 3281 )",357243,"(+/- 2341 )",363442,"(+/- 2388 )",373042,"(+/- 1864 )"
People,"Sex and Age","Under 5 years",36778,"(+/- 1835 )",43216,"(+/- 931 )",37791,"(+/- 1384 )",46817,"(+/- 1794 )",37400,"(+/- 1937 )",35879,"(+/- 1561 )",36119,"(+/- 1119 )",41264,"(+/- 986 )"
People,"Sex and Age","5 to 9 years",41308,"(+/- 2671 )",45478,"(+/- 2625 )",42744,"(+/- 2086 )",45626,"(+/- 3030 )",41099,"(+/- 2815 )",41415,"(+/- 2303 )",42920,"(+/- 2096 )",43492,"(+/- 2305 )"
People,"Sex and Age","10 to 14 years",50124,"(+/- 3356 )",47169,"(+/- 2476 )",45290,"(+/- 1798 )",51696,"(+/- 2833 )",45171,"(+/- 2711 )",45585,"(+/- 2646 )",46880,"(+/- 2354 )",52231,"(+/- 2164 )"
People,"Sex and Age","15 to 19 years",46981,"(+/- 2520 )",53916,"(+/- 2129 )",54433,"(+/- 1514 )",50796,"(+/- 1463 )",45834,"(+/- 1923 )",45756,"(+/- 1846 )",44311,"(+/- 1412 )",46478,"(+/- 1341 )"
People,"Sex and Age","20 to 24 years",42844,"(+/- 2689 )",67010,"(+/- 2037 )",63424,"(+/- 1930 )",48640,"(+/- 2021 )",43878,"(+/- 2615 )",43921,"(+/- 1858 )",34282,"(+/- 1493 )",43573,"(+/- 1594 )"
People,"Sex and Age","25 to 34 years",82389,"(+/- 3250 )",114276,"(+/- 1913 )",84654,"(+/- 1926 )",110829,"(+/- 3290 )",90894,"(+/- 3240 )",86412,"(+/- 1589 )",77364,"(+/- 1629 )",91081,"(+/- 1417 )"
People,"Sex and Age","35 to 44 years",95377,"(+/- 2996 )",107481,"(+/- 1847 )",86318,"(+/- 1870 )",93913,"(+/- 2393 )",93400,"(+/- 3126 )",88550,"(+/- 1779 )",87645,"(+/- 1697 )",95219,"(+/- 1739 )"
