Topic,Subject,Title,"District (At Large) Estimate","District (At Large) MOE"
People,"Sex and Age","Total population",578803,(*****)
People,"Sex and Age",Male,296007,"(+/- 2518 )"
People,"Sex and Age",Female,282796,"(+/- 2518 )"
People,"Sex and Age","Under 5 years",30233,"(+/- 928 )"
People,"Sex and Age","5 to 9 years",36056,"(+/- 2342 )"
People,"Sex and Age","10 to 14 years",41288,"(+/- 2449 )"
People,"Sex and Age","15 to 19 years",40161,"(+/- 2401 )"
People,"Sex and Age","20 to 24 years",35717,"(+/- 2479 )"
People,"Sex and Age","25 to 34 years",70511,"(+/- 3007 )"
People,"Sex and Age","35 to 44 years",80122,"(+/- 2551 )"
People,"Sex and Age","45 to 54 years",65531,"(+/- 2328 )"
People,"Sex and Age","55 to 59 years",33776,"(+/- 2460 )"
People,"Sex and Age","60 to 64 years",41586,"(+/- 2497 )"
People,"Sex and Age","65 to 74 years",66418,"(+/- 1244 )"
People,"Sex and Age","75 to 84 years",26372,"(+/- 1619 )"
People,"Sex and Age","85 years and over",11032,"(+/- 1335 )"
People,"Sex and Age","Median age (years)",39.0,"(+/- 0.4 )"
People,"Sex and Age","18 years and over",447274,"(+/- 1001 )"
People,"Sex and Age","65 years and over",103822,"(+/- 1337 )"
People,Race,"Total population",578803,(*****)
People,Race,"One race",531686,"(+/- 4024 )"
People,Race,White,489477,"(+/- 3294 )"
People,Race,"Black or African American",6687,"(+/- 1105 )"
People,Race,"American Indian and Alaska Native",10356,"(+/- 1329 )"
People,Race,Asian,5020,"(+/- 905 )"
People,Race,"Native Hawaiian and Other Pacific Islander",96,"(+/- 156 )"
People,Race,"Some other race",20050,"(+/- 3643 )"
People,Race,"Two or more races",47117,"(+/- 4024 )"
People,"Hispanic or Latino and Race","Total population",578803,(*****)
People,"Hispanic or Latino and Race","Hispanic or Latino (of any race)",61090,(*****)
People,"Hispanic or Latino and Race",Mexican,43678,"(+/- 3144 )"
People,"Hispanic or Latino and Race","Puerto Rican",1458,"(+/- 848 )"
People,"Hispanic or Latino and Race",Cuban,276,"(+/- 302 )"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",15678,"(+/- 3151 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",517713,(*****)
People,"Place of Birth","Total population",578803,(*****)
People,"Place of Birth",Native,558905,"(+/- 2684 )"
People,"Place of Birth","Born in United States",553959,"(+/- 2715 )"
People,"Place of Birth","State of residence",242958,"(+/- 7193 )"
People,"Place of Birth","Different state",311001,"(+/- 7003 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",4946,"(+/- 1149 )"
People,"Place of Birth","Foreign born",19898,"(+/- 2684 )"
People,Ancestry,"Total population",578803,(*****)
People,Ancestry,American,28407,"(+/- 4096 )"
People,Ancestry,Arab,1522,"(+/- 1145 )"
People,Ancestry,Czech,3912,"(+/- 1597 )"
People,Ancestry,Danish,6741,"(+/- 1447 )"
People,Ancestry,Dutch,8249,"(+/- 2197 )"
People,Ancestry,English,91924,"(+/- 6966 )"
People,Ancestry,"French (except Basque)",10769,"(+/- 2006 )"
People,Ancestry,"French Canadian",2603,"(+/- 1061 )"
People,Ancestry,German,124019,"(+/- 6972 )"
People,Ancestry,Greek,1521,"(+/- 766 )"
People,Ancestry,Hungarian,733,"(+/- 491 )"
People,Ancestry,Irish,65907,"(+/- 5751 )"
People,Ancestry,Italian,17563,"(+/- 2775 )"
People,Ancestry,Lithuanian,193,"(+/- 217 )"
People,Ancestry,Norwegian,20867,"(+/- 4215 )"
People,Ancestry,Polish,10232,"(+/- 2836 )"
People,Ancestry,Portuguese,623,"(+/- 396 )"
People,Ancestry,Russian,3319,"(+/- 1101 )"
People,Ancestry,Scotch-Irish,5232,"(+/- 1387 )"
People,Ancestry,Scottish,21775,"(+/- 3131 )"
People,Ancestry,Slovak,1003,"(+/- 882 )"
