,Handle,Type,Gender,FirstName,LastName,Age,Party,Experience,State,District,City
0,SenatorBaldwin,Senator,F,Tammy,Baldwin,60,D,"['U.S. House', 'Wisconsin Assembly', 'Dane County, Wisconsin Board of Supervisors']",WI,,
1,SenJohnBarrasso,Senator,M,John,Barrasso,70,R,['Wyoming Senate'],WY,,
2,SenatorBennet,Senator,M,Michael,Bennet,57,D,['None'],CO,,
3,MarshaBlackburn,Senator,F,Marsha,Blackburn,70,R,"['U.S. House', 'Tennessee Senate']",TN,,
4,SenBlumenthal,Senator,M,Richard,Blumenthal,76,D,"['Connecticut Attorney General', 'Connecticut Senate', 'Connecticut House of Representatives']",CT,,
5,RoyBlunt,Senator,M,Roy,Blunt,72,R,"['U.S. House', 'Missouri Secretary of State', 'Greene County, Missouri Clerk']",MO,,
6,CoryBooker,Senator,M,Cory,Booker,53,D,"['Mayor of Newark, New Jersey', 'Newark Municipal Council']",NJ,,
7,JohnBoozman,Senator,M,John,Boozman,71,R,"['U.S. House', 'Rogers Public Schools Board']",AR,,
8,SenatorBraun,Senator,M,Mike,Braun,68,R,"['Indiana House of Representatives Jasper, Indiana School Board']",IN,,
9,SenSherrodBrown,Senator,M,Sherrod,Brown,70,D,"['U.S. House', 'Ohio Secretary of State', 'Ohio House of Representatives']",OH,,
10,SenatorBurr,Senator,M,Richard,Burr,66,R,['U.S. House'],NC,,
11,SenatorCantwell,Senator,F,Maria,Cantwell,64,D,"['U.S. House', 'Washington House of Representatives']",WA,,
12,SenCapito,Senator,F,Shelley,Capito,68,R,"['U.S. House', 'West Virginia House of Delegates']",WV,,
13,SenatorCardin,Senator,M,Benjamin,Cardin,79,D,"['U.S. House', 'Speaker of the Maryland House of Delegates']",MD,,
14,SenatorCarper,Senator,M,Thomas,Carper,75,D,"['Governor of Delaware', 'U.S. House', 'Delaware Treasurer']",DE,,
15,SenBobCasey,Senator,M,Robert,Casey,62,D,"['Pennsylvania Treasurer', 'Pennsylvania Auditor']",PA,,
16,SenBillCassidy,Senator,M,Bill,Cassidy,65,R,"['U.S. House', 'Louisiana Senate']",LA,,
17,SenatorCollins,Senator,F,Susan,Collins,69,R,['None'],ME,,
18,ChrisCoons,Senator,M,Christopher,Coons,59,D,"['New Castle County, Delaware County Executive', 'New Castle County Council']",DE,,
19,JohnCornyn,Senator,M,John,Cornyn,70,R,"['San Antonio District Judge', 'Texas Attorney General', 'Texas Supreme Court', '(Associate Justice)']",TX,,
20,SenCortezMasto,Senator,F,Catherine,Masto,58,D,['Nevada Attorney General'],NV,,
21,SenTomCotton,Senator,M,Tom,Cotton,45,R,['U.S. House'],AR,,
22,SenKevinCramer,Senator,M,Kevin,Cramer,61,R,"['U.S. House', 'North Dakota Public Service Commissioner']",ND,,
23,MikeCrapo,Senator,M,Mike,Crapo,71,R,"['U.S. House', 'Idaho Senate']",ID,,
24,SenTedCruz,Senator,M,Ted,Cruz,51,R,['None'],TX,,
25,SteveDaines,Senator,M,Steve,Daines,60,R,['U.S. House'],MT,,
26,SenDuckworth,Senator,F,Tammy,Duckworth,54,D,['U.S. House'],IL,,
27,SenatorDurbin,Senator,M,Richard,Durbin,77,D,['U.S. House'],IL,,
28,SenJoniErnst,Senator,F,Joni,Ernst,52,R,['Iowa Senate'],IA,,
29,SenFeinstein,Senator,F,Dianne,Feinstein,89,D,"['Mayor of San Francisco', 'San Francisco Board of Supervisors']",CA,,
30,SenatorFischer,Senator,F,Deb,Fischer,71,R,['Nebraska Legislature'],NE,,
31,SenGillibrand,Senator,F,Kirsten,Gillibrand,55,D,['U.S. House'],NY,,
32,LindseyGrahamSC,Senator,F,Lindsey,Graham,67,R,"['U.S. House', 'South Carolina House of Representatives']",SC,,
33,ChuckGrassley,Senator,M,Chuck,Grassley,89,R,"['U.S. House', 'Iowa House of Representatives']",IA,,
34,SenatorHagerty,Senator,M,Bill,Hagerty,63,R,['None'],TN,,
35,SenatorHassan,Senator,F,Margaret,Hassan,64,D,"['Governor of New Hampshire', 'New Hampshire Senate']",NH,,
36,HawleyMO,Senator,M,Josh,Hawley,42,R,['Attorney General of Missouri'],MO,,
37,MartinHeinrich,Senator,M,Martin,Heinrich,51,D,"['U.S. House', 'Albuquerque City Council']",NM,,
38,SenatorHick,Senator,M,John,Hickenlooper,70,D,"['Governor of Colorado', 'Mayor of Denver']",CO,,
39,maziehirono,Senator,F,Mazie,Hirono,75,D,"['U.S. House', 'Lieutenant Governor of Hawaii', 'Hawaii House of Representatives']",HI,,
40,SenJohnHoeven,Senator,M,John,Hoeven,65,R,['Governor of North Dakota'],ND,,
41,SenHydeSmith,Senator,F,Cindy,Hyde-Smith,63,R,"['Mississippi Commissioner of Agriculture and Commerce', 'Mississippi Senate']",MS,,
42,JimInhofe,Senator,M,James,Inhofe,87,R,"['U.S. House', 'Mayor of Tulsa, Oklahoma', 'Oklahoma Senate', 'Oklahoma House of Representatives']",OK,,
43,SenRonJohnson,Senator,M,Ron,Johnson,67,R,['None'],WI,,
44,timkaine,Senator,M,Tim,Kaine,64,D,"['Governor of Virginia', 'Lieutenant Governor of Virginia', 'Mayor of Richmond, Virginia']",VA,,
45,SenMarkKelly,Senator,M,Mark,Kelly,58,D,['None'],AZ,,
46,SenJohnKennedy,Senator,M,John,Kennedy,70,R,['Louisiana Treasurer'],LA,,
47,SenAngusKing,Senator,M,Angus,King,78,I,['Governor of Maine'],ME,,
48,SenAmyKlobuchar,Senator,F,Amy,Klobuchar,62,D,"['Hennepin County, Minnesota County Attorney']",MN,,
49,SenatorLankford,Senator,M,James,Lankford,54,R,['U.S. House'],OK,,
50,SenatorLeahy,Senator,M,Patrick,Leahy,82,D,"[""State's Attorney, Chittenden County, Vermont""]",VT,,
51,SenMikeLee,Senator,M,Mike,Lee,51,R,['None'],UT,,
52,SenatorLujan,Senator,M,Ben,Luján,50,D,"['U.S. House', 'New Mexico Public Regulation Commission']",NM,,
53,SenLummis,Senator,F,Cynthia,Lummis,68,R,"['U.S. House', 'Wyoming Treasurer', 'Wyoming Senate', 'Wyoming House of Representatives']",WY,,
54,Sen_JoeManchin,Senator,M,Joe,Manchin,75,D,"['Governor of West Virginia', 'Secretary of State of West Virginia', 'West Virginia Senate', 'West Virginia House of Delegates']",WV,,
55,SenMarkey,Senator,M,Edward,Markey,76,D,"['U.S. House', 'Massachusetts House of Representatives']",MA,,
56,SenatorMarshall,Senator,M,Roger,Marshall,62,R,['U.S. House'],KS,,
57,senatemajldr,Senator,M,Mitch,McConnell,80,R,"['Judge/Executive of Jefferson County, Kentucky']",KY,,
58,SenatorMenendez,Senator,M,Bob,Menendez,68,D,"['U.S. House', 'New Jersey Senate', 'New Jersey General Assembly', 'Mayor of Union City', 'Union City Board of Education']",NJ,,
59,SenJeffMerkley,Senator,M,Jeff,Merkley,66,D,['Oregon House Speaker'],OR,,
60,JerryMoran,Senator,M,Jerry,Moran,68,R,"['U.S. House', 'Kansas Senate']",KS,,
61,lisamurkowski,Senator,F,Lisa,Murkowski,65,R,['Alaska House of Representatives'],AK,,
62,ChrisMurphyCT,Senator,M,Christopher,Murphy,49,D,"['U.S. House', 'Connecticut Senate', 'Connecticut House of Representatives']",CT,,
63,PattyMurray,Senator,F,Patty,Murray,72,D,"['Washington Senate', 'Shoreline School Board']",WA,,
64,ossoff,Senator,M,Jon,Ossoff,35,D,['None'],GA,,
65,SenAlexPadilla,Senator,M,Alex,Padilla,49,D,"['Secretary of State of California', 'California Senate', 'Los Angeles City Council President']",CA,,
66,RandPaul,Senator,M,Rand,Paul,59,R,['None'],KY,,
67,SenGaryPeters,Senator,M,Gary,Peters,63,D,"['U.S. House', 'Michigan Senate']",MI,,
68,senrobportman,Senator,M,Rob,Portman,66,R,['U.S. House'],OH,,
69,SenJackReed,Senator,M,Jack,Reed,73,D,"['U.S. House', 'Rhode Island Senate']",RI,,
70,SenatorRisch,Senator,M,James,Risch,79,R,"['Governor of Idaho', 'Lieutenant Governor of Idaho', 'Idaho Senate President pro tempore']",ID,,
71,SenatorRomney,Senator,M,Mitt,Romney,75,R,['Governor of Massachusetts'],UT,,
72,SenJackyRosen,Senator,F,Jacky,Rosen,65,D,['U.S. House'],NV,,
73,SenatorRounds,Senator,M,Mike,Rounds,68,R,"['Governor of South Dakota', 'South Dakota Senate']",SD,,
74,marcorubio,Senator,M,Marco,Rubio,51,R,"['Florida House Speaker', 'West Miami City Commission']",FL,,
75,SenSanders,Senator,M,Bernard,Sanders,81,I,"['U.S. House', 'Mayor of Burlington, Vermont']",VT,,
76,SenSasse,Senator,M,Ben,Sasse,50,R,['None'],NE,,
77,SenBrianSchatz,Senator,M,Brian,Schatz,50,D,"['Lieutenant Governor of Hawaii', 'Hawaii House of Representatives']",HI,,
78,SenSchumer,Senator,M,Charles,Schumer,71,D,"['U.S. House', 'New York State Assembly']",NY,,
79,SenRickScott,Senator,M,Rick,Scott,69,R,['Governor of Florida'],FL,,
80,SenatorTimScott,Senator,M,Tim,Scott,57,R,"['U.S. House', 'South Carolina House of Representatives', 'Charleston County Council']",SC,,
81,SenatorShaheen,Senator,F,Jeanne,Shaheen,75,D,"['Governor of New Hampshire', 'New Hampshire Senate']",NH,,
82,SenShelby,Senator,M,Richard,Shelby,88,R,"['U.S. House', 'Alabama Senate']",AL,,
83,SenatorSinema,Senator,F,Kyrsten,Sinema,46,D,"['U.S. House', 'Arizona Senate', 'Arizona House of Representatives']",AZ,,
84,SenTinaSmith,Senator,F,Tina,Smith,64,D,['Lieutenant Governor of Minnesota'],MN,,
85,SenStabenow,Senator,F,Debbie,Stabenow,72,D,"['U.S. House', 'Michigan House of Representatives', 'Michigan Senate']",MI,,
86,SenDanSullivan,Senator,M,Dan,Sullivan,58,R,['Alaska Attorney General'],AK,,
87,SenatorTester,Senator,M,Jon,Tester,66,D,"['Montana Senate President', 'Big Sandy, Montana School Board']",MT,,
88,SenJohnThune,Senator,M,John,Thune,61,R,['U.S. House'],SD,,
89,SenThomTillis,Senator,M,Thom,Tillis,62,R,['Speaker of the North Carolina House of Representatives'],NC,,
90,SenToomey,Senator,M,Patrick,Toomey,60,R,['U.S. House'],PA,,
91,SenTuberville,Senator,M,Tommy,Tuberville,68,R,['None'],AL,,
92,ChrisVanHollen,Senator,M,Christopher,Van Hollen,63,D,"['U.S. House', 'Maryland Senate', 'Maryland House of Delegates']",MD,,
93,MarkWarner,Senator,M,Mark,Warner,67,D,['Governor of Virginia'],VA,,
94,SenatorWarnock,Senator,M,Raphael,Warnock,53,D,['None'],GA,,
95,SenWarren,Senator,F,Elizabeth,Warren,73,D,['None'],MA,,
96,SenWhitehouse,Senator,M,Sheldon,Whitehouse,67,D,['Attorney General of Rhode Island'],RI,,
97,SenatorWicker,Senator,M,Roger,Wicker,71,R,"['U.S. House', 'Mississippi Senate']",MS,,
98,RonWyden,Senator,M,Ron,Wyden,73,D,['U.S. House'],OR,,
99,SenToddYoung,Senator,M,Todd,Young,50,R,['U.S. House'],IN,,
100,RepAdams,Representative,F,Alma,Adams,76,D,North Carolina House of Representatives,NC,12,
101,Robert_Aderholt,Representative,M,Robert,Aderholt,57,R,Haleyville Municipal Judge,AL,4,
102,RepPeteAguilar,Representative,M,Pete,Aguilar,43,D,Mayor of Redlands,CA,31,
103,RepRickAllen,Representative,M,Rick,Allen,71,R,Businessman,GA,12,
104,RepColinAllred,Representative,M,Colin,Allred,39,D,"Attorney
Football player",TX,32,
105,MarkAmodeiNV2,Representative,M,Mark,Amodei,64,R,"Nevada Senate
Nevada Assembly",NV,2,
106,RepArmstrongND,Representative,M,Kelly,Armstrong,46,R,"North Dakota Senate
Chair of the North Dakota Republican Party",ND,0,
107,RepArrington,Representative,M,Jodey,Arrington,50,R,"Educator
Public administrator
White House aide",TX,19,
108,RepAuchincloss,Representative,M,Jake,Auchincloss,34,D,Newton City Council,MA,4,
109,RepCindyAxne,Representative,F,Cynthia,Axne,57,D,Businesswoman,IA,3,
110,RepBrianBabin,Representative,M,Brian,Babin,74,R,"Lower Neches Valley Authority
Texas Historical Commission
Mayor of Woodville",TX,36,
111,RepDonBacon,Representative,M,Don,Bacon,59,R,U.S. Air Force Brigadier General,NE,2,
112,RepJimBaird,Representative,M,James,Baird,77,R,"Indiana House of Representatives
Putnam County Commission",IN,4,
113,RepBalderson,Representative,M,Troy,Balderson,60,R,Ohio Senate,OH,12,
114,RepJimBanks,Representative,M,Jim,Banks,43,R,Indiana Senate,IN,3,
115,RepAndyBarr,Representative,M,Andy,Barr,49,R,Attorney,KY,6,
116,RepBarragan,Representative,F,Nanette,Barragán,46,D,Hermosa Beach City Council,CA,44,
117,RepKarenBass,Representative,F,Karen,Bass,69,D,Speaker of the California State Assembly,CA,37,
118,RepBeatty,Representative,F,Joyce,Beatty,72,D,Ohio House of Representatives,OH,3,
119,RepBentz,Representative,M,Cliff,Bentz,70,R,Oregon State Senate,OR,2,
120,RepBera,Representative,M,Ami,Bera,57,D,Chief Medical Officer of Sacramento County,CA,7,
121,RepJackBergman,Representative,M,Jack,Bergman,75,R,U.S. Marine Corps Lieutenant General,MI,1,
122,RepDonBeyer,Representative,M,Donald,Beyer,72,D,"U.S. Ambassador to Switzerland and Liechtenstein
Lieutenant Governor of Virginia",VA,8,
123,RepBice,Representative,F,Stephanie,Bice,49,R,Oklahoma Senate,OK,5,
124,RepAndyBiggsAZ,Representative,M,Andy,Biggs,64,R,Arizona Senate,AZ,5,
125,RepGusBilirakis,Representative,M,Gus,Bilirakis,59,R,Florida House of Representatives,FL,12,
