,State,District,City,Bachelor's Degree or Higher Proportion,Foreign Born Proportion,Mean Income,Median Age,Median Income,Racial Diversity (Simpson Index),Total Population,Unmployment Rate (%)
0,AK,0.0,,0.328,0.08061,100519.0,35.6,77845.0,0.60497,732673.0,0.07
1,AK,,,0.328,0.08061,100519.0,35.6,77845.0,0.60497,732673.0,0.07
2,AL,1.0,,0.254,0.03043,72809.0,41.1,52226.0,0.50217,735373.0,0.059
3,AL,2.0,,0.233,0.02784,70206.0,39.2,49565.0,0.53115,690107.0,0.058
4,AL,3.0,,0.253,0.03418,67286.0,39.4,50787.0,0.49118,742147.0,0.054
5,AL,4.0,,0.195,0.03747,69343.0,40.7,51145.0,0.30092,708532.0,0.054
6,AL,5.0,,0.359,0.04629,91975.0,40.3,65701.0,0.45039,773212.0,0.037
7,AL,6.0,,0.397,0.03874,98111.0,40.1,70962.0,0.4031,723686.0,0.036
8,AL,7.0,,0.212,0.02878,58371.0,37.3,40217.0,0.50963,666820.0,0.084
9,AL,,,0.2718571428571428,0.0348185714285714,75443.0,39.72857142857144,54371.857142857145,0.4555057142857143,719982.4285714285,0.0545714285714285
10,AR,1.0,,0.184,0.01672,63388.0,39.8,45540.0,0.41647,714143.0,0.078
11,AR,2.0,,0.33,0.038,79236.0,37.9,55374.0,0.49612,771880.0,0.051
12,AR,3.0,,0.296,0.09471,83305.0,36.0,61687.0,0.49432,851053.0,0.043
13,AR,4.0,,0.186,0.03066,63492.0,40.9,46983.0,0.45293,688815.0,0.053
14,AR,,,0.249,0.0450225,72355.25,38.65,52396.0,0.46496,756472.75,0.0562499999999999
15,AZ,1.0,,0.269,0.0639,81914.0,40.1,61701.0,0.64619,774354.0,0.071
16,AZ,2.0,,0.368,0.09826,82305.0,40.9,60920.0,0.54464,754647.0,0.062
17,AZ,3.0,,0.193,0.19094,72173.0,33.6,58784.0,0.7071,780337.0,0.078
18,AZ,4.0,,0.217,0.08062,78109.0,48.5,60569.0,0.42452,848908.0,0.057
19,AZ,5.0,,0.42,0.09717,116422.0,39.0,91844.0,0.47854,891118.0,0.04
20,AZ,6.0,,0.474,0.12635,126467.0,42.8,84001.0,0.4847,786168.0,0.058
21,AZ,7.0,,0.188,0.25295,71069.0,31.2,55664.0,0.73578,791774.0,0.068
22,AZ,8.0,,0.324,0.09763,100471.0,41.4,80144.0,0.50519,863775.0,0.045
23,AZ,9.0,,0.432,0.13287,98920.0,34.1,69645.0,0.60914,785235.0,0.05
24,AZ,,,0.3205555555555555,0.1267433333333333,91983.33333333331,39.06666666666667,69252.44444444444,0.5706444444444444,808479.5555555555,0.0587777777777777
25,CA,1.0,,0.275,0.0604,86416.0,42.5,63062.0,0.39981,701063.0,0.086
26,CA,2.0,,0.43,0.14287,137442.0,45.1,85737.0,0.497,718090.0,0.075
